id,date,id_attraction,attraction_name,interrompu,ouvert,operation,hour,min,week,day,month,year
3,2024-02-10 00:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,0,0,6,10,2,2024
17,2024-02-10 01:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,1,0,6,10,2,2024
31,2024-02-10 02:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,2,0,6,10,2,2024
45,2024-02-10 03:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,3,0,6,10,2,2024
59,2024-02-10 04:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,4,0,6,10,2,2024
73,2024-02-10 05:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,5,0,6,10,2,2024
87,2024-02-10 06:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,6,0,6,10,2,2024
101,2024-02-10 07:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,7,0,6,10,2,2024
115,2024-02-10 08:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,8,0,6,10,2,2024
129,2024-02-10 09:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.25,0.25,9,0,6,10,2,2024
143,2024-02-10 10:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,10,0,6,10,2,2024
157,2024-02-10 11:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,11,0,6,10,2,2024
171,2024-02-10 12:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,12,0,6,10,2,2024
185,2024-02-10 13:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,13,0,6,10,2,2024
199,2024-02-10 14:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,14,0,6,10,2,2024
213,2024-02-10 15:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,15,0,6,10,2,2024
227,2024-02-10 16:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,16,0,6,10,2,2024
241,2024-02-10 17:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,17,0,6,10,2,2024
255,2024-02-10 18:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,18,0,6,10,2,2024
269,2024-02-10 19:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,19,0,6,10,2,2024
283,2024-02-10 20:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.55,0.55,20,0,6,10,2,2024
297,2024-02-10 21:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,21,0,6,10,2,2024
311,2024-02-10 22:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,22,0,6,10,2,2024
325,2024-02-10 23:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,23,0,6,10,2,2024
339,2024-02-11 00:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,0,0,7,11,2,2024
353,2024-02-11 01:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,1,0,7,11,2,2024
367,2024-02-11 02:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,2,0,7,11,2,2024
381,2024-02-11 03:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,3,0,7,11,2,2024
395,2024-02-11 04:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,4,0,7,11,2,2024
409,2024-02-11 05:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,5,0,7,11,2,2024
423,2024-02-11 06:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,6,0,7,11,2,2024
437,2024-02-11 07:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,7,0,7,11,2,2024
451,2024-02-11 08:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,8,0,7,11,2,2024
465,2024-02-11 09:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.25,0.25,9,0,7,11,2,2024
479,2024-02-11 10:00:00.000,D11,CHASSEURS DE TORNADES,0.6,1.0,0.4,10,0,7,11,2,2024
493,2024-02-11 11:00:00.000,D11,CHASSEURS DE TORNADES,0.3,1.0,0.7,11,0,7,11,2,2024
507,2024-02-11 12:00:00.000,D11,CHASSEURS DE TORNADES,0.35,1.0,0.65,12,0,7,11,2,2024
521,2024-02-11 13:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,13,0,7,11,2,2024
535,2024-02-11 14:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,14,0,7,11,2,2024
549,2024-02-11 15:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,15,0,7,11,2,2024
563,2024-02-11 16:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,16,0,7,11,2,2024
577,2024-02-11 17:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,17,0,7,11,2,2024
591,2024-02-11 18:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,18,0,7,11,2,2024
605,2024-02-11 19:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,19,0,7,11,2,2024
619,2024-02-11 20:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.55,0.55,20,0,7,11,2,2024
633,2024-02-11 21:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,21,0,7,11,2,2024
647,2024-02-11 22:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,22,0,7,11,2,2024
661,2024-02-11 23:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,23,0,7,11,2,2024
675,2024-02-12 00:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,0,0,7,12,2,2024
689,2024-02-12 01:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,1,0,7,12,2,2024
703,2024-02-12 02:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,2,0,7,12,2,2024
717,2024-02-12 03:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,3,0,7,12,2,2024
731,2024-02-12 04:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,4,0,7,12,2,2024
745,2024-02-12 05:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,5,0,7,12,2,2024
759,2024-02-12 06:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,6,0,7,12,2,2024
773,2024-02-12 07:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,7,0,7,12,2,2024
787,2024-02-12 08:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,8,0,7,12,2,2024
801,2024-02-12 09:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.25,0.25,9,0,7,12,2,2024
815,2024-02-12 10:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,10,0,7,12,2,2024
829,2024-02-12 11:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,11,0,7,12,2,2024
843,2024-02-12 12:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,12,0,7,12,2,2024
857,2024-02-12 13:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,13,0,7,12,2,2024
871,2024-02-12 14:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,14,0,7,12,2,2024
885,2024-02-12 15:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,15,0,7,12,2,2024
899,2024-02-12 16:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,16,0,7,12,2,2024
913,2024-02-12 17:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,17,0,7,12,2,2024
927,2024-02-12 18:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,18,0,7,12,2,2024
941,2024-02-12 19:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,19,0,7,12,2,2024
955,2024-02-12 20:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.55,0.55,20,0,7,12,2,2024
969,2024-02-12 21:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,21,0,7,12,2,2024
983,2024-02-12 22:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,22,0,7,12,2,2024
997,2024-02-12 23:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,23,0,7,12,2,2024
1011,2024-02-13 00:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,0,0,7,13,2,2024
1025,2024-02-13 01:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,1,0,7,13,2,2024
1039,2024-02-13 02:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,2,0,7,13,2,2024
1053,2024-02-13 03:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,3,0,7,13,2,2024
1067,2024-02-13 04:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,4,0,7,13,2,2024
1081,2024-02-13 05:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,5,0,7,13,2,2024
1095,2024-02-13 06:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,6,0,7,13,2,2024
1109,2024-02-13 07:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,7,0,7,13,2,2024
1123,2024-02-13 08:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,8,0,7,13,2,2024
1137,2024-02-13 09:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.25,0.25,9,0,7,13,2,2024
1151,2024-02-13 10:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,10,0,7,13,2,2024
1165,2024-02-13 11:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,11,0,7,13,2,2024
1179,2024-02-13 12:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,12,0,7,13,2,2024
1193,2024-02-13 13:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,13,0,7,13,2,2024
1207,2024-02-13 14:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,14,0,7,13,2,2024
1221,2024-02-13 15:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,15,0,7,13,2,2024
1235,2024-02-13 16:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,16,0,7,13,2,2024
1249,2024-02-13 17:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,17,0,7,13,2,2024
1263,2024-02-13 18:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,18,0,7,13,2,2024
1277,2024-02-13 19:00:00.000,D11,CHASSEURS DE TORNADES,0.0,1.0,1.0,19,0,7,13,2,2024
1291,2024-02-13 20:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.55,0.55,20,0,7,13,2,2024
1305,2024-02-13 21:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,21,0,7,13,2,2024
1319,2024-02-13 22:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,22,0,7,13,2,2024
1333,2024-02-13 23:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,23,0,7,13,2,2024
1347,2024-02-14 00:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,0,0,7,14,2,2024
1361,2024-02-14 01:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,1,0,7,14,2,2024
1375,2024-02-14 02:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,2,0,7,14,2,2024
1389,2024-02-14 03:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,3,0,7,14,2,2024
1403,2024-02-14 04:00:00.000,D11,CHASSEURS DE TORNADES,0.0,0.0,0.0,4,0,7,14,2,2024
