id,date,id_attraction,attraction_name,interrompu,ouvert,operation,hour,min,week,day,month,year
8,2024-02-10 00:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,0.0,0.0,0.0,0,0,6,10,2,2024
22,2024-02-10 01:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,0.0,0.0,0.0,1,0,6,10,2,2024
36,2024-02-10 02:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,0.0,0.0,0.0,2,0,6,10,2,2024
50,2024-02-10 03:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,0.0,0.0,0.0,3,0,6,10,2,2024
64,2024-02-10 04:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,0.0,0.0,0.0,4,0,6,10,2,2024
78,2024-02-10 05:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,0.0,0.0,0.0,5,0,6,10,2,2024
92,2024-02-10 06:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,0.0,0.0,0.0,6,0,6,10,2,2024
106,2024-02-10 07:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,0.0,0.0,0.0,7,0,6,10,2,2024
120,2024-02-10 08:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,0.0,0.0,0.0,8,0,6,10,2,2024
134,2024-02-10 09:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,0.0,0.0,0.0,9,0,6,10,2,2024
148,2024-02-10 10:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,0.0,0.0,0.0,10,0,6,10,2,2024
162,2024-02-10 11:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,0.0,0.0,0.0,11,0,6,10,2,2024
176,2024-02-10 12:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,0.0,1.0,1.0,12,0,6,10,2,2024
190,2024-02-10 13:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,0.0,1.0,1.0,13,0,6,10,2,2024
204,2024-02-10 14:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,0.0,1.0,1.0,14,0,6,10,2,2024
218,2024-02-10 15:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,0.0,0.45,0.45,15,0,6,10,2,2024
232,2024-02-10 16:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,0.0,0.0,0.0,16,0,6,10,2,2024
246,2024-02-10 17:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,0.0,0.0,0.0,17,0,6,10,2,2024
260,2024-02-10 18:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,0.0,0.0,0.0,18,0,6,10,2,2024
274,2024-02-10 19:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,0.0,0.0,0.0,19,0,6,10,2,2024
288,2024-02-10 20:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,0.0,0.0,0.0,20,0,6,10,2,2024
302,2024-02-10 21:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,0.0,0.0,0.0,21,0,6,10,2,2024
