id,date,id_attraction,attraction_name,interrompu,ouvert,operation,hour,min,week,day,month,year
27944,2024-05-08 07:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,7,0,19,8,5,2024
27959,2024-05-08 08:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,8,0,19,8,5,2024
27974,2024-05-08 09:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,9,0,19,8,5,2024
27989,2024-05-08 10:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,10,0,19,8,5,2024
28004,2024-05-08 11:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,11,0,19,8,5,2024
28019,2024-05-08 12:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,12,0,19,8,5,2024
28034,2024-05-08 13:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,13,0,19,8,5,2024
28049,2024-05-08 14:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,14,0,19,8,5,2024
28064,2024-05-08 15:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,15,0,19,8,5,2024
28079,2024-05-08 16:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,16,0,19,8,5,2024
28094,2024-05-08 17:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,17,0,19,8,5,2024
28109,2024-05-08 18:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,18,0,19,8,5,2024
28124,2024-05-08 19:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,19,0,19,8,5,2024
28139,2024-05-08 20:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.45,0.45,20,0,19,8,5,2024
28154,2024-05-08 21:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,21,0,19,8,5,2024
28169,2024-05-08 22:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,22,0,19,8,5,2024
28184,2024-05-08 23:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,23,0,19,8,5,2024
28199,2024-05-09 00:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,0,0,19,9,5,2024
28214,2024-05-09 01:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,1,0,19,9,5,2024
28229,2024-05-09 02:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,2,0,19,9,5,2024
28244,2024-05-09 03:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,3,0,19,9,5,2024
28259,2024-05-09 04:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,4,0,19,9,5,2024
28274,2024-05-09 05:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,5,0,19,9,5,2024
28289,2024-05-09 06:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,6,0,19,9,5,2024
28304,2024-05-09 07:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,7,0,19,9,5,2024
28319,2024-05-09 08:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,8,0,19,9,5,2024
28334,2024-05-09 09:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,9,0,19,9,5,2024
28349,2024-05-09 10:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,10,0,19,9,5,2024
28364,2024-05-09 11:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,11,0,19,9,5,2024
28379,2024-05-09 12:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,12,0,19,9,5,2024
28394,2024-05-09 13:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,13,0,19,9,5,2024
28409,2024-05-09 14:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,14,0,19,9,5,2024
28424,2024-05-09 15:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,15,0,19,9,5,2024
28439,2024-05-09 16:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,16,0,19,9,5,2024
28454,2024-05-09 17:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,17,0,19,9,5,2024
28469,2024-05-09 18:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,18,0,19,9,5,2024
28484,2024-05-09 19:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,19,0,19,9,5,2024
28499,2024-05-09 20:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.05,0.05,20,0,19,9,5,2024
28514,2024-05-09 21:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,21,0,19,9,5,2024
28529,2024-05-09 22:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,22,0,19,9,5,2024
28544,2024-05-09 23:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,23,0,19,9,5,2024
28559,2024-05-10 00:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,0,0,19,10,5,2024
28574,2024-05-10 01:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,1,0,19,10,5,2024
28589,2024-05-10 02:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,2,0,19,10,5,2024
28604,2024-05-10 03:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,3,0,19,10,5,2024
28619,2024-05-10 04:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,4,0,19,10,5,2024
28634,2024-05-10 05:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,5,0,19,10,5,2024
28649,2024-05-10 06:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,6,0,19,10,5,2024
28664,2024-05-10 07:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,7,0,19,10,5,2024
28679,2024-05-10 08:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,8,0,19,10,5,2024
28694,2024-05-10 09:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,9,0,19,10,5,2024
28709,2024-05-10 10:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,10,0,19,10,5,2024
28724,2024-05-10 11:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,11,0,19,10,5,2024
28740,2024-05-10 12:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,12,0,19,10,5,2024
28756,2024-05-10 13:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,13,0,19,10,5,2024
28772,2024-05-10 14:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,14,0,19,10,5,2024
28788,2024-05-10 15:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,15,0,19,10,5,2024
28804,2024-05-10 16:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,16,0,19,10,5,2024
28820,2024-05-10 17:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,17,0,19,10,5,2024
28836,2024-05-10 18:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,18,0,19,10,5,2024
28852,2024-05-10 19:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,19,0,19,10,5,2024
28868,2024-05-10 20:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.05,0.05,20,0,19,10,5,2024
28884,2024-05-10 21:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,21,0,19,10,5,2024
28900,2024-05-10 22:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,22,0,19,10,5,2024
28916,2024-05-10 23:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,23,0,19,10,5,2024
28932,2024-05-11 00:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,0,0,19,11,5,2024
28948,2024-05-11 01:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,1,0,19,11,5,2024
28964,2024-05-11 02:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,2,0,19,11,5,2024
28980,2024-05-11 03:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,3,0,19,11,5,2024
28996,2024-05-11 04:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,4,0,19,11,5,2024
29012,2024-05-11 05:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,5,0,19,11,5,2024
29028,2024-05-11 06:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,6,0,19,11,5,2024
29044,2024-05-11 07:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,7,0,19,11,5,2024
29060,2024-05-11 08:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,8,0,19,11,5,2024
29076,2024-05-11 09:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,9,0,19,11,5,2024
29092,2024-05-11 10:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,10,0,19,11,5,2024
29108,2024-05-11 11:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,11,0,19,11,5,2024
29124,2024-05-11 12:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,12,0,19,11,5,2024
29140,2024-05-11 13:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,13,0,19,11,5,2024
29156,2024-05-11 14:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,14,0,19,11,5,2024
29172,2024-05-11 15:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,15,0,19,11,5,2024
29188,2024-05-11 16:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,16,0,19,11,5,2024
29204,2024-05-11 17:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,17,0,19,11,5,2024
29220,2024-05-11 18:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,18,0,19,11,5,2024
29236,2024-05-11 19:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,19,0,19,11,5,2024
29252,2024-05-11 20:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.45,0.45,20,0,19,11,5,2024
29268,2024-05-11 21:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,21,0,19,11,5,2024
29284,2024-05-11 22:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,22,0,19,11,5,2024
29300,2024-05-11 23:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,23,0,19,11,5,2024
29316,2024-05-12 00:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,0,0,20,12,5,2024
29332,2024-05-12 01:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,1,0,20,12,5,2024
29348,2024-05-12 02:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,2,0,20,12,5,2024
29364,2024-05-12 03:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,3,0,20,12,5,2024
29380,2024-05-12 04:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,4,0,20,12,5,2024
29396,2024-05-12 05:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,5,0,20,12,5,2024
29412,2024-05-12 06:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,6,0,20,12,5,2024
29428,2024-05-12 07:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,7,0,20,12,5,2024
29444,2024-05-12 08:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,8,0,20,12,5,2024
29460,2024-05-12 09:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,9,0,20,12,5,2024
29476,2024-05-12 10:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.5,0.5,10,0,20,12,5,2024
29492,2024-05-12 11:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,11,0,20,12,5,2024
29508,2024-05-12 12:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,12,0,20,12,5,2024
29524,2024-05-12 13:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,13,0,20,12,5,2024
29540,2024-05-12 14:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,14,0,20,12,5,2024
29556,2024-05-12 15:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,15,0,20,12,5,2024
29572,2024-05-12 16:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,1.0,1.0,16,0,20,12,5,2024
29588,2024-05-12 17:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.95,0.95,17,0,20,12,5,2024
29604,2024-05-12 18:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,18,0,20,12,5,2024
29620,2024-05-12 19:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,19,0,20,12,5,2024
29636,2024-05-12 20:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,20,0,20,12,5,2024
29652,2024-05-12 21:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,21,0,20,12,5,2024
29668,2024-05-12 22:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,22,0,20,12,5,2024
29684,2024-05-12 23:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,23,0,20,12,5,2024
29700,2024-05-13 00:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,0,0,20,13,5,2024
29716,2024-05-13 01:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,1,0,20,13,5,2024
29732,2024-05-13 02:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,2,0,20,13,5,2024
29748,2024-05-13 03:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,3,0,20,13,5,2024
29764,2024-05-13 04:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,4,0,20,13,5,2024
29780,2024-05-13 05:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,5,0,20,13,5,2024
29796,2024-05-13 06:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.0,0.0,0.0,6,0,20,13,5,2024
