date,id_attraction,attraction_name,visitor_count,id,hour,min,week,day,month,year
2025-01-01 00:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,4,9,0,0,1,1,1,2025
2025-01-01 01:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,4,25,1,0,1,1,1,2025
2025-01-01 02:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,4,41,2,0,1,1,1,2025
2025-01-01 03:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,4,57,3,0,1,1,1,2025
2025-01-01 04:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,4,73,4,0,1,1,1,2025
2025-01-01 05:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,4,89,5,0,1,1,1,2025
2025-01-01 06:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,4,105,6,0,1,1,1,2025
2025-01-01 07:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,4,121,7,0,1,1,1,2025
2025-01-01 08:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,4,137,8,0,1,1,1,2025
2025-01-01 09:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,4,153,9,0,1,1,1,2025
2025-01-01 10:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,91,169,10,0,1,1,1,2025
2025-01-01 11:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,156,185,11,0,1,1,1,2025
2025-01-01 12:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,55,201,12,0,1,1,1,2025
2025-01-01 13:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,130,217,13,0,1,1,1,2025
2025-01-01 14:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,141,233,14,0,1,1,1,2025
2025-01-01 15:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,179,249,15,0,1,1,1,2025
2025-01-01 16:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,88,265,16,0,1,1,1,2025
2025-01-01 17:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,0,281,17,0,1,1,1,2025
2025-01-01 18:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,0,297,18,0,1,1,1,2025
2025-01-01 19:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,0,313,19,0,1,1,1,2025
2025-01-01 20:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,1,329,20,0,1,1,1,2025
2025-01-01 21:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,2,345,21,0,1,1,1,2025
2025-01-01 22:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,2,361,22,0,1,1,1,2025
2025-01-01 23:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,2,377,23,0,1,1,1,2025
2025-01-02 00:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,2,393,0,0,1,2,1,2025
2025-01-02 01:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,2,409,1,0,1,2,1,2025
2025-01-02 02:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,2,425,2,0,1,2,1,2025
2025-01-02 03:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,2,441,3,0,1,2,1,2025
2025-01-02 04:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,2,457,4,0,1,2,1,2025
2025-01-02 05:00:00.000,G03,ILLUSIO UN DESTIN MAGIQUE,2,473,5,0,1,2,1,2025
