Date,Hour,H03_ELEC_General_TGBT [kWh] [H03 - Tapis Magique (Extraordinaire voyage)],H03_ELEC_General_TGBT_Existant [kWh] [H03 - Tapis Magique (Extraordinaire voyage)]
2025-01-01 00:00:00.000,00:00,13.175,21.975
2025-01-01 01:00:00.000,01:00,13,22
2025-01-01 02:00:00.000,02:00,13,22
2025-01-01 03:00:00.000,03:00,13.899999999999999,22
2025-01-01 04:00:00.000,04:00,15,22
2025-01-01 05:00:00.000,05:00,17.7,20.799999999999997
2025-01-01 06:00:00.000,06:00,34.8,25.6
2025-01-01 07:00:00.000,07:00,50.199999999999996,22.2
2025-01-01 08:00:00.000,08:00,51.8,22.8
2025-01-01 09:00:00.000,09:00,51.199999999999996,29.8
2025-01-01 10:00:00.000,10:00,51,39.800000000000004
2025-01-01 11:00:00.000,11:00,51,40
2025-01-01 12:00:00.000,12:00,52.82222222222222,39.06666666666666
2025-01-01 13:00:00.000,13:00,52.77777777777778,34.53333333333333
2025-01-01 14:00:00.000,14:00,52.6,40.699999999999996
2025-01-01 15:00:00.000,15:00,53.699999999999996,38.300000000000004
2025-01-01 16:00:00.000,16:00,52.300000000000004,39
2025-01-01 17:00:00.000,17:00,57.4,37
2025-01-01 18:00:00.000,18:00,58,38
2025-01-01 19:00:00.000,19:00,58.3,38.7
2025-01-01 20:00:00.000,20:00,56.7,39
2025-01-01 21:00:00.000,21:00,55.9,36.9
2025-01-01 22:00:00.000,22:00,44,21
2025-01-01 23:00:00.000,23:00,36.85,20.825
2025-01-02 00:00:00.000,00:00,16.95,21.075
2025-01-02 01:00:00.000,01:00,16,21.900000000000002
2025-01-02 02:00:00.000,02:00,19,21
2025-01-02 03:00:00.000,03:00,18,21.1
2025-01-02 04:00:00.000,04:00,19,20.900000000000002
2025-01-02 05:00:00.000,05:00,22.5,20.6
2025-01-02 06:00:00.000,06:00,38,24.6
2025-01-02 07:00:00.000,07:00,54,21.599999999999998
2025-01-02 08:00:00.000,08:00,55,22.4
2025-01-02 09:00:00.000,09:00,53.199999999999996,32
2025-01-02 10:00:00.000,10:00,56.8,38.8
2025-01-02 11:00:00.000,11:00,57,38.199999999999996
2025-01-02 12:00:00.000,12:00,53.099999999999994,38.400000000000006
2025-01-02 13:00:00.000,13:00,56,38.7
2025-01-02 14:00:00.000,14:00,59.7,39
2025-01-02 15:00:00.000,15:00,55.3,38.3
2025-01-02 16:00:00.000,16:00,55,37.7
2025-01-02 17:00:00.000,17:00,59.400000000000006,38
2025-01-02 18:00:00.000,18:00,60.3,37
2025-01-02 19:00:00.000,19:00,59,39.300000000000004
2025-01-02 20:00:00.000,20:00,59.7,37.699999999999996
2025-01-02 21:00:00.000,21:00,55.199999999999996,35.9
2025-01-02 22:00:00.000,22:00,43.7,22
2025-01-02 23:00:00.000,23:00,36.025,20.825
2025-01-03 00:00:00.000,00:00,18.075,21.075
2025-01-03 01:00:00.000,01:00,16.1,21
2025-01-03 02:00:00.000,02:00,17.9,21
2025-01-03 03:00:00.000,03:00,17,21
2025-01-03 04:00:00.000,04:00,17.1,21
2025-01-03 05:00:00.000,05:00,22.4,20.7
2025-01-03 06:00:00.000,06:00,34,22.8
2025-01-03 07:00:00.000,07:00,54,22
2025-01-03 08:00:00.000,08:00,56,22.8
2025-01-03 09:00:00.000,09:00,55,31.6
2025-01-03 10:00:00.000,10:00,56,37.2
2025-01-03 11:00:00.000,11:00,55,40.800000000000004
2025-01-03 12:00:00.000,12:00,55.8,38.3
2025-01-03 13:00:00.000,13:00,56,39.3
2025-01-03 14:00:00.000,14:00,57,39
2025-01-03 15:00:00.000,15:00,54.3,39
2025-01-03 16:00:00.000,16:00,56,39
2025-01-03 17:00:00.000,17:00,57.7,37.699999999999996
2025-01-03 18:00:00.000,18:00,59,39.300000000000004
2025-01-03 19:00:00.000,19:00,59,38
2025-01-03 20:00:00.000,20:00,59,39.699999999999996
2025-01-03 21:00:00.000,21:00,54.9,35.900000000000006
2025-01-03 22:00:00.000,22:00,41,20.3
2025-01-03 23:00:00.000,23:00,34.85,19.65
2025-01-04 00:00:00.000,00:00,16.95,19.95
2025-01-04 01:00:00.000,01:00,17,20
2025-01-04 02:00:00.000,02:00,18,20
2025-01-04 03:00:00.000,03:00,17,19.900000000000002
2025-01-04 04:00:00.000,04:00,19,19.1
2025-01-04 05:00:00.000,05:00,20.7,18.7
2025-01-04 06:00:00.000,06:00,26,20.6
2025-01-04 07:00:00.000,07:00,52.8,23.4
2025-01-04 08:00:00.000,08:00,54,23.400000000000002
2025-01-04 09:00:00.000,09:00,54,29.799999999999997
2025-01-04 10:00:00.000,10:00,54.199999999999996,39
2025-01-04 11:00:00.000,11:00,54.8,40.2
2025-01-04 12:00:00.000,12:00,55.8,39.4
2025-01-04 13:00:00.000,13:00,55.3,38.699999999999996
2025-01-04 14:00:00.000,14:00,57,40.300000000000004
2025-01-04 15:00:00.000,15:00,56,38
2025-01-04 16:00:00.000,16:00,58.7,40
2025-01-04 17:00:00.000,17:00,59,39
2025-01-04 18:00:00.000,18:00,61,38.699999999999996
2025-01-04 19:00:00.000,19:00,59.3,37.300000000000004
2025-01-04 20:00:00.000,20:00,58.7,39
2025-01-04 21:00:00.000,21:00,46.9,23.6
2025-01-04 22:00:00.000,22:00,46.7,21.3
2025-01-04 23:00:00.000,23:00,37.025,20.65
2025-01-05 00:00:00.000,00:00,18.075,20.95
2025-01-05 01:00:00.000,01:00,21,20.900000000000002
2025-01-05 02:00:00.000,02:00,17,21
2025-01-05 03:00:00.000,03:00,19.900000000000002,20.099999999999998
2025-01-05 04:00:00.000,04:00,20.099999999999998,21
2025-01-05 05:00:00.000,05:00,20.754545454545454,20.572727272727274
2025-01-05 06:00:00.000,06:00,21.745454545454546,20.127272727272725
2025-01-05 07:00:00.000,07:00,52,25
2025-01-05 08:00:00.000,08:00,51.8,22.6
2025-01-05 09:00:00.000,09:00,57.2,28.8
2025-01-05 10:00:00.000,10:00,54,37.800000000000004
2025-01-05 11:00:00.000,11:00,57,33.4
2025-01-05 12:00:00.000,12:00,53.8,30.5
2025-01-05 13:00:00.000,13:00,57,29.4
2025-01-05 14:00:00.000,14:00,56.3,31.3
2025-01-05 15:00:00.000,15:00,55.7,32.7
2025-01-05 16:00:00.000,16:00,54.3,32.3
2025-01-05 17:00:00.000,17:00,53.300000000000004,26.900000000000002
2025-01-05 18:00:00.000,18:00,42.3,19.7
2025-01-05 19:00:00.000,19:00,41,19.3
2025-01-05 20:00:00.000,20:00,43.7,19
2025-01-05 21:00:00.000,21:00,40.3,19
