Date,Hour,A11_ELEC_General_Chenil [kWh] [A11_Nouveau Chenil GSF]
2025-01-01 00:00:00.000,00:00,14.7
2025-01-01 01:00:00.000,01:00,14
2025-01-01 02:00:00.000,02:00,14
2025-01-01 03:00:00.000,03:00,14.754545454545454
2025-01-01 04:00:00.000,04:00,14.145454545454545
2025-01-01 05:00:00.000,05:00,14
2025-01-01 06:00:00.000,06:00,16.4
2025-01-01 07:00:00.000,07:00,25.2
2025-01-01 08:00:00.000,08:00,22
2025-01-01 09:00:00.000,09:00,35.2
2025-01-01 10:00:00.000,10:00,51
2025-01-01 11:00:00.000,11:00,51.6
2025-01-01 12:00:00.000,12:00,53.2
2025-01-01 13:00:00.000,13:00,50.4
2025-01-01 14:00:00.000,14:00,23.799999999999997
2025-01-01 15:00:00.000,15:00,17
2025-01-01 16:00:00.000,16:00,19.8
2025-01-01 17:00:00.000,17:00,19.2
2025-01-01 18:00:00.000,18:00,16.2
2025-01-01 19:00:00.000,19:00,13.8
2025-01-01 20:00:00.000,20:00,13
2025-01-01 21:00:00.000,21:00,13.2
2025-01-01 22:00:00.000,22:00,13
2025-01-01 23:00:00.000,23:00,13.4
2025-01-02 00:00:00.000,00:00,12.7
2025-01-02 01:00:00.000,01:00,12.100000000000001
2025-01-02 02:00:00.000,02:00,13.899999999999999
2025-01-02 03:00:00.000,03:00,11.936363636363637
2025-01-02 04:00:00.000,04:00,12.963636363636363
2025-01-02 05:00:00.000,05:00,12
2025-01-02 06:00:00.000,06:00,12.8
2025-01-02 07:00:00.000,07:00,16
2025-01-02 08:00:00.000,08:00,25.6
2025-01-02 09:00:00.000,09:00,25.8
2025-01-02 10:00:00.000,10:00,52.400000000000006
2025-01-02 11:00:00.000,11:00,47.599999999999994
2025-01-02 12:00:00.000,12:00,48.400000000000006
2025-01-02 13:00:00.000,13:00,42
2025-01-02 14:00:00.000,14:00,34
2025-01-02 15:00:00.000,15:00,19.2
2025-01-02 16:00:00.000,16:00,18
2025-01-02 17:00:00.000,17:00,19
2025-01-02 18:00:00.000,18:00,17
2025-01-02 19:00:00.000,19:00,15
2025-01-02 20:00:00.000,20:00,15
2025-01-02 21:00:00.000,21:00,13.2
2025-01-02 22:00:00.000,22:00,12
2025-01-02 23:00:00.000,23:00,13.4
2025-01-03 00:00:00.000,00:00,11.7
2025-01-03 01:00:00.000,01:00,12.200000000000001
2025-01-03 02:00:00.000,02:00,12.9
2025-01-03 03:00:00.000,03:00,11.836363636363636
2025-01-03 04:00:00.000,04:00,11.963636363636363
2025-01-03 05:00:00.000,05:00,12.2
2025-01-03 06:00:00.000,06:00,14.2
2025-01-03 07:00:00.000,07:00,23.4
2025-01-03 08:00:00.000,08:00,45.800000000000004
2025-01-03 09:00:00.000,09:00,34.6
2025-01-03 10:00:00.000,10:00,24.4
2025-01-03 11:00:00.000,11:00,40
2025-01-03 12:00:00.000,12:00,51
2025-01-03 13:00:00.000,13:00,47.199999999999996
2025-01-03 14:00:00.000,14:00,28
2025-01-03 15:00:00.000,15:00,15.2
2025-01-03 16:00:00.000,16:00,18.6
2025-01-03 17:00:00.000,17:00,21
2025-01-03 18:00:00.000,18:00,18.2
2025-01-03 19:00:00.000,19:00,17.8
2025-01-03 20:00:00.000,20:00,16.2
2025-01-03 21:00:00.000,21:00,16
2025-01-03 22:00:00.000,22:00,14.2
2025-01-03 23:00:00.000,23:00,15.4
2025-01-04 00:00:00.000,00:00,13.818181818181818
2025-01-04 01:00:00.000,01:00,14.881818181818183
2025-01-04 02:00:00.000,02:00,14.100000000000001
2025-01-04 03:00:00.000,03:00,14.654545454545453
2025-01-04 04:00:00.000,04:00,14.145454545454545
2025-01-04 05:00:00.000,05:00,15
2025-01-04 06:00:00.000,06:00,14.8
2025-01-04 07:00:00.000,07:00,18
2025-01-04 08:00:00.000,08:00,28.8
2025-01-04 09:00:00.000,09:00,22.2
2025-01-04 10:00:00.000,10:00,33.8
2025-01-04 11:00:00.000,11:00,30
2025-01-04 12:00:00.000,12:00,55.199999999999996
2025-01-04 13:00:00.000,13:00,51.6
2025-01-04 14:00:00.000,14:00,53.4
2025-01-04 15:00:00.000,15:00,45.2
2025-01-04 16:00:00.000,16:00,23.599999999999998
2025-01-04 17:00:00.000,17:00,23
2025-01-04 18:00:00.000,18:00,15.4
2025-01-04 19:00:00.000,19:00,13.8
2025-01-04 20:00:00.000,20:00,13.2
2025-01-04 21:00:00.000,21:00,14
2025-01-04 22:00:00.000,22:00,13
2025-01-04 23:00:00.000,23:00,14.4
2025-01-05 00:00:00.000,00:00,12.8
2025-01-05 01:00:00.000,01:00,14
2025-01-05 02:00:00.000,02:00,12.899999999999999
2025-01-05 03:00:00.000,03:00,12.936363636363637
2025-01-05 04:00:00.000,04:00,12.963636363636363
2025-01-05 05:00:00.000,05:00,13
2025-01-05 06:00:00.000,06:00,13.8
2025-01-05 07:00:00.000,07:00,14.2
2025-01-05 08:00:00.000,08:00,15
2025-01-05 09:00:00.000,09:00,14
2025-01-05 10:00:00.000,10:00,30.799999999999997
2025-01-05 11:00:00.000,11:00,50
2025-01-05 12:00:00.000,12:00,51.8
2025-01-05 13:00:00.000,13:00,51.199999999999996
2025-01-05 14:00:00.000,14:00,35.8
2025-01-05 15:00:00.000,15:00,19.2
2025-01-05 16:00:00.000,16:00,18
2025-01-05 17:00:00.000,17:00,17
2025-01-05 18:00:00.000,18:00,17.2
2025-01-05 19:00:00.000,19:00,15.8
2025-01-05 20:00:00.000,20:00,14.2
2025-01-05 21:00:00.000,21:00,12
2025-01-05 22:00:00.000,22:00,12
2025-01-05 23:00:00.000,23:00,12.4
2025-01-06 00:00:00.000,00:00,12.7
2025-01-06 01:00:00.000,01:00,12.100000000000001
2025-01-06 02:00:00.000,02:00,12
2025-01-06 03:00:00.000,03:00,13
2025-01-06 04:00:00.000,04:00,11.799999999999999
2025-01-06 05:00:00.000,05:00,12
2025-01-06 06:00:00.000,06:00,12
2025-01-06 07:00:00.000,07:00,14.8
2025-01-06 08:00:00.000,08:00,15
2025-01-06 09:00:00.000,09:00,15.2
2025-01-06 10:00:00.000,10:00,10
2025-01-06 11:00:00.000,11:00,10.200000000000001
2025-01-06 12:00:00.000,12:00,9.799999999999999
2025-01-06 13:00:00.000,13:00,10
2025-01-06 14:00:00.000,14:00,10
2025-01-06 15:00:00.000,15:00,9.200000000000001
2025-01-06 16:00:00.000,16:00,10
2025-01-06 17:00:00.000,17:00,10
2025-01-06 18:00:00.000,18:00,10.799999999999999
2025-01-06 19:00:00.000,19:00,10
2025-01-06 20:00:00.000,20:00,10
2025-01-06 21:00:00.000,21:00,11
2025-01-06 22:00:00.000,22:00,10
2025-01-06 23:00:00.000,23:00,10.4
2025-01-07 00:00:00.000,00:00,9.909090909090908
2025-01-07 01:00:00.000,01:00,10.89090909090909
2025-01-07 02:00:00.000,02:00,10.1
2025-01-07 03:00:00.000,03:00,10.736363636363636
2025-01-07 04:00:00.000,04:00,9.963636363636363
2025-01-07 05:00:00.000,05:00,11
2025-01-07 06:00:00.000,06:00,10
2025-01-07 07:00:00.000,07:00,11
2025-01-07 08:00:00.000,08:00,11
2025-01-07 09:00:00.000,09:00,10.200000000000001
2025-01-07 10:00:00.000,10:00,10.8
2025-01-07 11:00:00.000,11:00,10.2
2025-01-07 12:00:00.000,12:00,9.799999999999999
2025-01-07 13:00:00.000,13:00,10.200000000000001
2025-01-07 14:00:00.000,14:00,9.799999999999999
2025-01-07 15:00:00.000,15:00,10.200000000000001
2025-01-07 16:00:00.000,16:00,10.799999999999999
2025-01-07 17:00:00.000,17:00,11
2025-01-07 18:00:00.000,18:00,12
2025-01-07 19:00:00.000,19:00,11
2025-01-07 20:00:00.000,20:00,10.200000000000001
2025-01-07 21:00:00.000,21:00,11.799999999999999
2025-01-07 22:00:00.000,22:00,11
2025-01-07 23:00:00.000,23:00,10.4
2025-01-08 00:00:00.000,00:00,11.818181818181818
2025-01-08 01:00:00.000,01:00,10.981818181818182
2025-01-08 02:00:00.000,02:00,11.1
2025-01-08 03:00:00.000,03:00,11.736363636363636
2025-01-08 04:00:00.000,04:00,10.963636363636363
2025-01-08 05:00:00.000,05:00,11
2025-01-08 06:00:00.000,06:00,10
2025-01-08 07:00:00.000,07:00,11
2025-01-08 08:00:00.000,08:00,11
2025-01-08 09:00:00.000,09:00,10
2025-01-08 10:00:00.000,10:00,10
2025-01-08 11:00:00.000,11:00,10
2025-01-08 12:00:00.000,12:00,9.200000000000001
2025-01-08 13:00:00.000,13:00,10
2025-01-08 14:00:00.000,14:00,17.7
2025-01-08 15:00:00.000,15:00,35.9
2025-01-08 16:00:00.000,16:00,15
2025-01-08 17:00:00.000,17:00,15.2
2025-01-08 18:00:00.000,18:00,15
2025-01-08 19:00:00.000,19:00,14
2025-01-08 20:00:00.000,20:00,13
2025-01-08 21:00:00.000,21:00,13
2025-01-08 22:00:00.000,22:00,12
2025-01-08 23:00:00.000,23:00,13.4
2025-01-09 00:00:00.000,00:00,11.818181818181818
2025-01-09 01:00:00.000,01:00,12.881818181818183
2025-01-09 02:00:00.000,02:00,12.100000000000001
2025-01-09 03:00:00.000,03:00,13
2025-01-09 04:00:00.000,04:00,12.8
2025-01-09 05:00:00.000,05:00,12
2025-01-09 06:00:00.000,06:00,13
2025-01-09 07:00:00.000,07:00,14
2025-01-09 08:00:00.000,08:00,18.799999999999997
2025-01-09 09:00:00.000,09:00,20
2025-01-09 10:00:00.000,10:00,21.6
2025-01-09 11:00:00.000,11:00,20.4
2025-01-09 12:00:00.000,12:00,18
2025-01-09 13:00:00.000,13:00,22.400000000000002
2025-01-09 14:00:00.000,14:00,50.6
2025-01-09 15:00:00.000,15:00,48.6
2025-01-09 16:00:00.000,16:00,20.4
2025-01-09 17:00:00.000,17:00,14.2
2025-01-09 18:00:00.000,18:00,13.8
2025-01-09 19:00:00.000,19:00,13.2
2025-01-09 20:00:00.000,20:00,13.8
2025-01-09 21:00:00.000,21:00,13
2025-01-09 22:00:00.000,22:00,14.2
2025-01-09 23:00:00.000,23:00,13.4
2025-01-10 00:00:00.000,00:00,12.818181818181818
2025-01-10 01:00:00.000,01:00,12.98181818181818
2025-01-10 02:00:00.000,02:00,14
2025-01-10 03:00:00.000,03:00,13.9
2025-01-10 04:00:00.000,04:00,12.9
2025-01-10 05:00:00.000,05:00,14
2025-01-10 06:00:00.000,06:00,13
2025-01-10 07:00:00.000,07:00,14
2025-01-10 08:00:00.000,08:00,14
2025-01-10 09:00:00.000,09:00,15.8
2025-01-10 10:00:00.000,10:00,16
2025-01-10 11:00:00.000,11:00,13.2
2025-01-10 12:00:00.000,12:00,14.8
2025-01-10 13:00:00.000,13:00,15
2025-01-10 14:00:00.000,14:00,14.2
2025-01-10 15:00:00.000,15:00,16
2025-01-10 16:00:00.000,16:00,14
2025-01-10 17:00:00.000,17:00,14
2025-01-10 18:00:00.000,18:00,13
2025-01-10 19:00:00.000,19:00,12
2025-01-10 20:00:00.000,20:00,12
2025-01-10 21:00:00.000,21:00,12
2025-01-10 22:00:00.000,22:00,12
2025-01-10 23:00:00.000,23:00,11.4
2025-01-11 00:00:00.000,00:00,11.818181818181818
2025-01-11 01:00:00.000,01:00,11.981818181818182
2025-01-11 02:00:00.000,02:00,12
2025-01-11 03:00:00.000,03:00,11.836363636363636
2025-01-11 04:00:00.000,04:00,11.963636363636363
2025-01-11 05:00:00.000,05:00,12
2025-01-11 06:00:00.000,06:00,11
2025-01-11 07:00:00.000,07:00,14.8
2025-01-11 08:00:00.000,08:00,15
2025-01-11 09:00:00.000,09:00,39.6
2025-01-11 10:00:00.000,10:00,56.2
2025-01-11 11:00:00.000,11:00,43.199999999999996
