Date,Hour,C03_ELEC_General_TGBT [kWh] [C03 - La Crêpe Volante]
2025-01-01 00:00:00.000,00:00,5
2025-01-01 01:00:00.000,01:00,5.9
2025-01-01 02:00:00.000,02:00,5
2025-01-01 03:00:00.000,03:00,5
2025-01-01 04:00:00.000,04:00,6
2025-01-01 05:00:00.000,05:00,6
2025-01-01 06:00:00.000,06:00,7.8
2025-01-01 07:00:00.000,07:00,35.8
2025-01-01 08:00:00.000,08:00,42.9
2025-01-01 09:00:00.000,09:00,38
2025-01-01 10:00:00.000,10:00,41.5
2025-01-01 11:00:00.000,11:00,70.9
2025-01-01 12:00:00.000,12:00,96
2025-01-01 13:00:00.000,13:00,90.4
2025-01-01 14:00:00.000,14:00,91
2025-01-01 15:00:00.000,15:00,82.2
2025-01-01 16:00:00.000,16:00,80.2
2025-01-01 17:00:00.000,17:00,74.4
2025-01-01 18:00:00.000,18:00,84.2
2025-01-01 19:00:00.000,19:00,81.8
2025-01-01 20:00:00.000,20:00,76.6
2025-01-01 21:00:00.000,21:00,42
2025-01-01 22:00:00.000,22:00,8.200000000000001
2025-01-01 23:00:00.000,23:00,6.2
2025-01-02 00:00:00.000,00:00,5
2025-01-02 01:00:00.000,01:00,5
2025-01-02 02:00:00.000,02:00,5
2025-01-02 03:00:00.000,03:00,5
2025-01-02 04:00:00.000,04:00,7.8
2025-01-02 05:00:00.000,05:00,6
2025-01-02 06:00:00.000,06:00,6.9
2025-01-02 07:00:00.000,07:00,22.900000000000002
2025-01-02 08:00:00.000,08:00,23
2025-01-02 09:00:00.000,09:00,28
2025-01-02 10:00:00.000,10:00,28.177777777777777
2025-01-02 11:00:00.000,11:00,63.42222222222222
2025-01-02 12:00:00.000,12:00,92.8
2025-01-02 13:00:00.000,13:00,93.6
2025-01-02 14:00:00.000,14:00,93.4
2025-01-02 15:00:00.000,15:00,87.4
2025-01-02 16:00:00.000,16:00,70.2
2025-01-02 17:00:00.000,17:00,75.80000000000001
2025-01-02 18:00:00.000,18:00,70.6
2025-01-02 19:00:00.000,19:00,72.4
2025-01-02 20:00:00.000,20:00,82.19999999999999
2025-01-02 21:00:00.000,21:00,41.8
2025-01-02 22:00:00.000,22:00,7.3999999999999995
2025-01-02 23:00:00.000,23:00,7.2
2025-01-03 00:00:00.000,00:00,6
2025-01-03 01:00:00.000,01:00,6.8
2025-01-03 02:00:00.000,02:00,6.1000000000000005
2025-01-03 03:00:00.000,03:00,6
2025-01-03 04:00:00.000,04:00,7
2025-01-03 05:00:00.000,05:00,6.8999999999999995
2025-01-03 06:00:00.000,06:00,7
2025-01-03 07:00:00.000,07:00,35.7
2025-01-03 08:00:00.000,08:00,36.8
2025-01-03 09:00:00.000,09:00,35
2025-01-03 10:00:00.000,10:00,31.2
2025-01-03 11:00:00.000,11:00,59.3
2025-01-03 12:00:00.000,12:00,92.2
2025-01-03 13:00:00.000,13:00,94
2025-01-03 14:00:00.000,14:00,88.2
2025-01-03 15:00:00.000,15:00,82.2
2025-01-03 16:00:00.000,16:00,74.19999999999999
2025-01-03 17:00:00.000,17:00,78.4
2025-01-03 18:00:00.000,18:00,73.6
2025-01-03 19:00:00.000,19:00,87.4
2025-01-03 20:00:00.000,20:00,86.8
2025-01-03 21:00:00.000,21:00,47.400000000000006
2025-01-03 22:00:00.000,22:00,10.4
2025-01-03 23:00:00.000,23:00,9.4
2025-01-04 00:00:00.000,00:00,8
2025-01-04 01:00:00.000,01:00,7.9
2025-01-04 02:00:00.000,02:00,7
2025-01-04 03:00:00.000,03:00,8
2025-01-04 04:00:00.000,04:00,8
2025-01-04 05:00:00.000,05:00,9
2025-01-04 06:00:00.000,06:00,7.8999999999999995
2025-01-04 07:00:00.000,07:00,19.8
2025-01-04 08:00:00.000,08:00,27.9
2025-01-04 09:00:00.000,09:00,28
2025-01-04 10:00:00.000,10:00,25.8
2025-01-04 11:00:00.000,11:00,64.7
2025-01-04 12:00:00.000,12:00,78.8
2025-01-04 13:00:00.000,13:00,96
2025-01-04 14:00:00.000,14:00,93
2025-01-04 15:00:00.000,15:00,83.60000000000001
2025-01-04 16:00:00.000,16:00,72.2
2025-01-04 17:00:00.000,17:00,74.4
2025-01-04 18:00:00.000,18:00,67
2025-01-04 19:00:00.000,19:00,69
2025-01-04 20:00:00.000,20:00,70
2025-01-04 21:00:00.000,21:00,57.2
2025-01-04 22:00:00.000,22:00,10.4
2025-01-04 23:00:00.000,23:00,6.4
2025-01-05 00:00:00.000,00:00,7
2025-01-05 01:00:00.000,01:00,6.9
2025-01-05 02:00:00.000,02:00,7
2025-01-05 03:00:00.000,03:00,7
2025-01-05 04:00:00.000,04:00,8
2025-01-05 05:00:00.000,05:00,8
2025-01-05 06:00:00.000,06:00,7
2025-01-05 07:00:00.000,07:00,7.8999999999999995
2025-01-05 08:00:00.000,08:00,8.1
2025-01-05 09:00:00.000,09:00,8
2025-01-05 10:00:00.000,10:00,7
2025-01-05 11:00:00.000,11:00,7.699999999999999
2025-01-05 12:00:00.000,12:00,9.2
2025-01-05 13:00:00.000,13:00,8
2025-01-05 14:00:00.000,14:00,6
2025-01-05 15:00:00.000,15:00,8
2025-01-05 16:00:00.000,16:00,6
2025-01-05 17:00:00.000,17:00,5
2025-01-05 18:00:00.000,18:00,5
2025-01-05 19:00:00.000,19:00,4
2025-01-05 20:00:00.000,20:00,6
2025-01-05 21:00:00.000,21:00,5.2
2025-01-05 22:00:00.000,22:00,4.8
2025-01-05 23:00:00.000,23:00,5.2
2025-01-06 00:00:00.000,00:00,3
2025-01-06 01:00:00.000,01:00,4.9
2025-01-06 02:00:00.000,02:00,7
2025-01-06 03:00:00.000,03:00,8
2025-01-06 04:00:00.000,04:00,8
2025-01-06 05:00:00.000,05:00,4.1
2025-01-06 06:00:00.000,06:00,4
2025-01-06 07:00:00.000,07:00,3.9
2025-01-06 08:00:00.000,08:00,8
2025-01-06 09:00:00.000,09:00,5.1
2025-01-06 10:00:00.000,10:00,3.9
2025-01-06 11:00:00.000,11:00,3.918181818181818
2025-01-06 12:00:00.000,12:00,5.9818181818181815
2025-01-06 13:00:00.000,13:00,4
2025-01-06 14:00:00.000,14:00,4
2025-01-06 15:00:00.000,15:00,5
2025-01-06 16:00:00.000,16:00,4
2025-01-06 17:00:00.000,17:00,5
2025-01-06 18:00:00.000,18:00,5
2025-01-06 19:00:00.000,19:00,5
2025-01-06 20:00:00.000,20:00,5
2025-01-06 21:00:00.000,21:00,5
2025-01-06 22:00:00.000,22:00,5
2025-01-06 23:00:00.000,23:00,4.2
2025-01-07 00:00:00.000,00:00,7
2025-01-07 01:00:00.000,01:00,7.8
2025-01-07 02:00:00.000,02:00,7
2025-01-07 03:00:00.000,03:00,8
2025-01-07 04:00:00.000,04:00,8
2025-01-07 05:00:00.000,05:00,7.1000000000000005
2025-01-07 06:00:00.000,06:00,8.899999999999999
2025-01-07 07:00:00.000,07:00,8
2025-01-07 08:00:00.000,08:00,27.7
2025-01-07 09:00:00.000,09:00,26.9
2025-01-07 10:00:00.000,10:00,36.8
2025-01-07 11:00:00.000,11:00,31
2025-01-07 12:00:00.000,12:00,41
2025-01-07 13:00:00.000,13:00,50
2025-01-07 14:00:00.000,14:00,37
2025-01-07 15:00:00.000,15:00,7.6
2025-01-07 16:00:00.000,16:00,5
2025-01-07 17:00:00.000,17:00,3.2
2025-01-07 18:00:00.000,18:00,4.8
2025-01-07 19:00:00.000,19:00,4.2
2025-01-07 20:00:00.000,20:00,3
2025-01-07 21:00:00.000,21:00,3.8
2025-01-07 22:00:00.000,22:00,6
2025-01-07 23:00:00.000,23:00,7.2
2025-01-08 00:00:00.000,00:00,7
2025-01-08 01:00:00.000,01:00,6
2025-01-08 02:00:00.000,02:00,2.9
2025-01-08 03:00:00.000,03:00,2.1
2025-01-08 04:00:00.000,04:00,3
2025-01-08 05:00:00.000,05:00,3.9
2025-01-08 06:00:00.000,06:00,7.8999999999999995
2025-01-08 07:00:00.000,07:00,8
2025-01-08 08:00:00.000,08:00,11.644444444444446
2025-01-08 09:00:00.000,09:00,4.555555555555555
2025-01-08 10:00:00.000,10:00,0
2025-01-08 11:00:00.000,11:00,13.4
2025-01-08 12:00:00.000,12:00,19.4
2025-01-08 13:00:00.000,13:00,27.9
2025-01-08 14:00:00.000,14:00,5
2025-01-08 15:00:00.000,15:00,3
2025-01-08 16:00:00.000,16:00,1.3
2025-01-08 17:00:00.000,17:00,2
2025-01-08 18:00:00.000,18:00,2
2025-01-08 19:00:00.000,19:00,1.6
2025-01-08 20:00:00.000,20:00,2.4
2025-01-08 21:00:00.000,21:00,4.4
2025-01-08 22:00:00.000,22:00,5.8999999999999995
2025-01-08 23:00:00.000,23:00,6.347058823529412
2025-01-09 00:00:00.000,00:00,2.3529411764705883
2025-01-09 01:00:00.000,01:00,2
2025-01-09 02:00:00.000,02:00,1.2
2025-01-09 03:00:00.000,03:00,1.981818181818182
2025-01-09 04:00:00.000,04:00,4.858181818181818
2025-01-09 05:00:00.000,05:00,6.21
2025-01-09 06:00:00.000,06:00,4.612068965517242
2025-01-09 07:00:00.000,07:00,1.9258098223615465
2025-01-09 08:00:00.000,08:00,2.494172494172494
2025-01-09 09:00:00.000,09:00,2.8608058608058604
2025-01-09 10:00:00.000,10:00,2.9340659340659343
2025-01-09 11:00:00.000,11:00,3.994505494505494
2025-01-09 12:00:00.000,12:00,1.4285714285714286
2025-01-09 13:00:00.000,13:00,4.25
2025-01-09 14:00:00.000,14:00,6.045918367346939
2025-01-09 15:00:00.000,15:00,3.444081632653061
2025-01-09 16:00:00.000,16:00,2.4266666666666667
2025-01-09 17:00:00.000,17:00,2.3703703703703702
2025-01-09 18:00:00.000,18:00,1.6429629629629627
2025-01-09 19:00:00.000,19:00,3.3544827586206907
2025-01-09 20:00:00.000,20:00,5.305139882888745
2025-01-09 21:00:00.000,21:00,5.873492112588927
2025-01-09 22:00:00.000,22:00,5.049180327868852
2025-01-09 23:00:00.000,23:00,6.404371584699453
2025-01-10 00:00:00.000,00:00,6.03921568627451
2025-01-10 01:00:00.000,01:00,5.681214421252372
2025-01-10 02:00:00.000,02:00,5.812903225806453
2025-01-10 03:00:00.000,03:00,5.958730158730159
2025-01-10 04:00:00.000,04:00,4.761904761904762
2025-01-10 05:00:00.000,05:00,6.243544183842692
2025-01-10 06:00:00.000,06:00,6.169154228855721
2025-01-10 07:00:00.000,07:00,5.926940639269406
2025-01-10 08:00:00.000,08:00,5.813800101471335
2025-01-10 09:00:00.000,09:00,5.925925925925927
2025-01-10 10:00:00.000,10:00,6.153846153846153
2025-01-10 11:00:00.000,11:00,5.846153846153846
2025-01-10 12:00:00.000,12:00,5.914893617021276
2025-01-10 13:00:00.000,13:00,6.382978723404253
2025-01-10 14:00:00.000,14:00,2.870269252494822
2025-01-10 15:00:00.000,15:00,1.5929203539823007
2025-01-10 16:00:00.000,16:00,2.238938053097345
2025-01-10 17:00:00.000,17:00,2.84375
2025-01-10 18:00:00.000,18:00,5.625
2025-01-10 19:00:00.000,19:00,5.63525
2025-01-10 20:00:00.000,20:00,6.239999999999998
2025-01-10 21:00:00.000,21:00,6.239999999999998
2025-01-10 22:00:00.000,22:00,4.041899280575539
2025-01-10 23:00:00.000,23:00,3.884892086330934
2025-01-11 00:00:00.000,00:00,3.5591387030235953
2025-01-11 01:00:00.000,01:00,3.3566433566433562
2025-01-11 02:00:00.000,02:00,3.9828225465809357
2025-01-11 03:00:00.000,03:00,6.040268456375838
2025-01-11 04:00:00.000,04:00,6.040268456375838
2025-01-11 05:00:00.000,05:00,5.72881711409396
2025-01-11 06:00:00.000,06:00,5.625
2025-01-11 07:00:00.000,07:00,5.6682981927710845
2025-01-11 08:00:00.000,08:00,6.144578313253013
2025-01-11 09:00:00.000,09:00,6.144578313253013
2025-01-11 10:00:00.000,10:00,5.63663301856073
2025-01-11 11:00:00.000,11:00,4.540540540540541
2025-01-11 12:00:00.000,12:00,4.540540540540541
2025-01-11 13:00:00.000,13:00,3.941174977794697
2025-01-11 14:00:00.000,14:00,1.9718309859154923
2025-01-11 15:00:00.000,15:00,1.9718309859154923
2025-01-11 16:00:00.000,16:00,1.9718309859154923
2025-01-11 17:00:00.000,17:00,4.303900325027087
2025-01-11 18:00:00.000,18:00,5.384615384615386
2025-01-11 19:00:00.000,19:00,5.384615384615386
2025-01-11 20:00:00.000,20:00,5.384615384615386
2025-01-11 21:00:00.000,21:00,5.931643625192012
2025-01-11 22:00:00.000,22:00,6.082949308755759
2025-01-11 23:00:00.000,23:00,6.082949308755759
2025-01-12 00:00:00.000,00:00,6.069124423963133
2025-01-12 01:00:00.000,01:00,5
2025-01-12 02:00:00.000,02:00,5.9
2025-01-12 03:00:00.000,03:00,6
2025-01-12 04:00:00.000,04:00,5
2025-01-12 05:00:00.000,05:00,6
2025-01-12 06:00:00.000,06:00,7
2025-01-12 07:00:00.000,07:00,5
2025-01-12 08:00:00.000,08:00,6
2025-01-12 09:00:00.000,09:00,6
2025-01-12 10:00:00.000,10:00,5
2025-01-12 11:00:00.000,11:00,6
