Date,Hour,C06_ELEC_General TGBT [kWh] [C06 - L'atelier des Saveurs / Studio Grill]
2025-01-01 00:00:00.000,00:00,38
2025-01-01 01:00:00.000,01:00,58.9
2025-01-01 02:00:00.000,02:00,60.2
2025-01-01 03:00:00.000,03:00,62.9
2025-01-01 04:00:00.000,04:00,57.9
2025-01-01 05:00:00.000,05:00,61
2025-01-01 06:00:00.000,06:00,60
2025-01-01 07:00:00.000,07:00,100.3
2025-01-01 08:00:00.000,08:00,106
2025-01-01 09:00:00.000,09:00,119.8
2025-01-01 10:00:00.000,10:00,108.3
2025-01-01 11:00:00.000,11:00,144.7
2025-01-01 12:00:00.000,12:00,215
2025-01-01 13:00:00.000,13:00,226.2
2025-01-01 14:00:00.000,14:00,231.20000000000002
2025-01-01 15:00:00.000,15:00,211
2025-01-01 16:00:00.000,16:00,162.4
2025-01-01 17:00:00.000,17:00,162
2025-01-01 18:00:00.000,18:00,194.6
2025-01-01 19:00:00.000,19:00,211.6
2025-01-01 20:00:00.000,20:00,199.6
2025-01-01 21:00:00.000,21:00,143.4
2025-01-01 22:00:00.000,22:00,86.4
2025-01-01 23:00:00.000,23:00,70.6
2025-01-02 00:00:00.000,00:00,60
2025-01-02 01:00:00.000,01:00,55
2025-01-02 02:00:00.000,02:00,59.1
2025-01-02 03:00:00.000,03:00,63.8
2025-01-02 04:00:00.000,04:00,59
2025-01-02 05:00:00.000,05:00,55.2
2025-01-02 06:00:00.000,06:00,59.7
2025-01-02 07:00:00.000,07:00,96.4
2025-01-02 08:00:00.000,08:00,123.8
2025-01-02 09:00:00.000,09:00,125.8
2025-01-02 10:00:00.000,10:00,113.6
2025-01-02 11:00:00.000,11:00,149
2025-01-02 12:00:00.000,12:00,211.79999999999998
2025-01-02 13:00:00.000,13:00,227
2025-01-02 14:00:00.000,14:00,227
2025-01-02 15:00:00.000,15:00,219
2025-01-02 16:00:00.000,16:00,167
2025-01-02 17:00:00.000,17:00,137
2025-01-02 18:00:00.000,18:00,179
2025-01-02 19:00:00.000,19:00,201.8
2025-01-02 20:00:00.000,20:00,207.4
2025-01-02 21:00:00.000,21:00,134.4
2025-01-02 22:00:00.000,22:00,77
2025-01-02 23:00:00.000,23:00,65.2
2025-01-03 00:00:00.000,00:00,8
2025-01-03 01:00:00.000,01:00,0.9
2025-01-03 02:00:00.000,02:00,18.4
2025-01-03 03:00:00.000,03:00,58.1
2025-01-03 04:00:00.000,04:00,38.7
2025-01-03 05:00:00.000,05:00,40.5
2025-01-03 06:00:00.000,06:00,60.3
2025-01-03 07:00:00.000,07:00,95.6
2025-01-03 08:00:00.000,08:00,100.5
2025-01-03 09:00:00.000,09:00,108.1
2025-01-03 10:00:00.000,10:00,111.67777777777778
2025-01-03 11:00:00.000,11:00,146.02222222222224
2025-01-03 12:00:00.000,12:00,212.39999999999998
2025-01-03 13:00:00.000,13:00,226.8
2025-01-03 14:00:00.000,14:00,233.4
2025-01-03 15:00:00.000,15:00,206
2025-01-03 16:00:00.000,16:00,164.79999999999998
2025-01-03 17:00:00.000,17:00,124.8
2025-01-03 18:00:00.000,18:00,190.2
2025-01-03 19:00:00.000,19:00,225
2025-01-03 20:00:00.000,20:00,220.60000000000002
2025-01-03 21:00:00.000,21:00,144
2025-01-03 22:00:00.000,22:00,74
2025-01-03 23:00:00.000,23:00,65.2
2025-01-04 00:00:00.000,00:00,64
2025-01-04 01:00:00.000,01:00,59
2025-01-04 02:00:00.000,02:00,62
2025-01-04 03:00:00.000,03:00,63.9
2025-01-04 04:00:00.000,04:00,58.2
2025-01-04 05:00:00.000,05:00,59.9
2025-01-04 06:00:00.000,06:00,58.9
2025-01-04 07:00:00.000,07:00,86.6
2025-01-04 08:00:00.000,08:00,109.9
2025-01-04 09:00:00.000,09:00,113.8
2025-01-04 10:00:00.000,10:00,105.2
2025-01-04 11:00:00.000,11:00,135.4
