Date,Hour,D03_ELEC_General TGBT ADG [kWh] [D03 - ADG - Experience 4D]
2025-01-01 00:00:00.000,00:00,17
2025-01-01 01:00:00.000,01:00,16.7
2025-01-01 02:00:00.000,02:00,17
2025-01-01 03:00:00.000,03:00,17
2025-01-01 04:00:00.000,04:00,18
2025-01-01 05:00:00.000,05:00,22
2025-01-01 06:00:00.000,06:00,24.900000000000002
2025-01-01 07:00:00.000,07:00,25
2025-01-01 08:00:00.000,08:00,24
2025-01-01 09:00:00.000,09:00,38.5
2025-01-01 10:00:00.000,10:00,58.9
2025-01-01 11:00:00.000,11:00,61
2025-01-01 12:00:00.000,12:00,60
2025-01-01 13:00:00.000,13:00,61.8
2025-01-01 14:00:00.000,14:00,62
2025-01-01 15:00:00.000,15:00,62
2025-01-01 16:00:00.000,16:00,61.2
2025-01-01 17:00:00.000,17:00,70.4
2025-01-01 18:00:00.000,18:00,68.2
2025-01-01 19:00:00.000,19:00,66.4
2025-01-01 20:00:00.000,20:00,66
2025-01-01 21:00:00.000,21:00,36.2
2025-01-01 22:00:00.000,22:00,28
2025-01-01 23:00:00.000,23:00,22.8
2025-01-02 00:00:00.000,00:00,17
2025-01-02 01:00:00.000,01:00,16.7
2025-01-02 02:00:00.000,02:00,17
2025-01-02 03:00:00.000,03:00,17
2025-01-02 04:00:00.000,04:00,19
2025-01-02 05:00:00.000,05:00,22.900000000000002
2025-01-02 06:00:00.000,06:00,24
2025-01-02 07:00:00.000,07:00,24
2025-01-02 08:00:00.000,08:00,24
2025-01-02 09:00:00.000,09:00,30.599999999999998
2025-01-02 10:00:00.000,10:00,57.8
2025-01-02 11:00:00.000,11:00,62.8
2025-01-02 12:00:00.000,12:00,62
2025-01-02 13:00:00.000,13:00,64
2025-01-02 14:00:00.000,14:00,64
2025-01-02 15:00:00.000,15:00,64
2025-01-02 16:00:00.000,16:00,63
2025-01-02 17:00:00.000,17:00,69.80000000000001
2025-01-02 18:00:00.000,18:00,69.2
2025-01-02 19:00:00.000,19:00,67.2
2025-01-02 20:00:00.000,20:00,66.8
2025-01-02 21:00:00.000,21:00,35.400000000000006
2025-01-02 22:00:00.000,22:00,25
2025-01-02 23:00:00.000,23:00,25.8
2025-01-03 00:00:00.000,00:00,18
2025-01-03 01:00:00.000,01:00,18.7
2025-01-03 02:00:00.000,02:00,18
2025-01-03 03:00:00.000,03:00,19
2025-01-03 04:00:00.000,04:00,19
2025-01-03 05:00:00.000,05:00,24.900000000000002
2025-01-03 06:00:00.000,06:00,25.9
2025-01-03 07:00:00.000,07:00,25.1
2025-01-03 08:00:00.000,08:00,25.9
2025-01-03 09:00:00.000,09:00,34.7
2025-01-03 10:00:00.000,10:00,59.8
2025-01-03 11:00:00.000,11:00,63.8
2025-01-03 12:00:00.000,12:00,63
2025-01-03 13:00:00.000,13:00,63
2025-01-03 14:00:00.000,14:00,65
2025-01-03 15:00:00.000,15:00,64
2025-01-03 16:00:00.000,16:00,64
2025-01-03 17:00:00.000,17:00,70.60000000000001
2025-01-03 18:00:00.000,18:00,69.4
2025-01-03 19:00:00.000,19:00,68
2025-01-03 20:00:00.000,20:00,68
2025-01-03 21:00:00.000,21:00,35.400000000000006
2025-01-03 22:00:00.000,22:00,24
2025-01-03 23:00:00.000,23:00,24.8
2025-01-04 00:00:00.000,00:00,19
2025-01-04 01:00:00.000,01:00,18.7
2025-01-04 02:00:00.000,02:00,19
2025-01-04 03:00:00.000,03:00,18
2025-01-04 04:00:00.000,04:00,19.900000000000002
2025-01-04 05:00:00.000,05:00,25
2025-01-04 06:00:00.000,06:00,26
2025-01-04 07:00:00.000,07:00,26
2025-01-04 08:00:00.000,08:00,26
2025-01-04 09:00:00.000,09:00,44.3
2025-01-04 10:00:00.000,10:00,66.7
2025-01-04 11:00:00.000,11:00,71
2025-01-04 12:00:00.000,12:00,71
2025-01-04 13:00:00.000,13:00,72
2025-01-04 14:00:00.000,14:00,69
2025-01-04 15:00:00.000,15:00,71
2025-01-04 16:00:00.000,16:00,70
2025-01-04 17:00:00.000,17:00,69
2025-01-04 18:00:00.000,18:00,67.2
2025-01-04 19:00:00.000,19:00,66.2
2025-01-04 20:00:00.000,20:00,35.2
2025-01-04 21:00:00.000,21:00,26
2025-01-04 22:00:00.000,22:00,25.8
2025-01-04 23:00:00.000,23:00,24
2025-01-05 00:00:00.000,00:00,20
2025-01-05 01:00:00.000,01:00,18.7
2025-01-05 02:00:00.000,02:00,18.900000000000002
2025-01-05 03:00:00.000,03:00,18.1
2025-01-05 04:00:00.000,04:00,21
2025-01-05 05:00:00.000,05:00,25.8
2025-01-05 06:00:00.000,06:00,26.1
2025-01-05 07:00:00.000,07:00,25.9
2025-01-05 08:00:00.000,08:00,26
2025-01-05 09:00:00.000,09:00,38.4
2025-01-05 10:00:00.000,10:00,65.91818181818182
2025-01-05 11:00:00.000,11:00,65.98181818181818
2025-01-05 12:00:00.000,12:00,67
2025-01-05 13:00:00.000,13:00,66
2025-01-05 14:00:00.000,14:00,63.2
2025-01-05 15:00:00.000,15:00,61
2025-01-05 16:00:00.000,16:00,60.2
2025-01-05 17:00:00.000,17:00,53.599999999999994
2025-01-05 18:00:00.000,18:00,25.4
2025-01-05 19:00:00.000,19:00,25
2025-01-05 20:00:00.000,20:00,24.8
2025-01-05 21:00:00.000,21:00,24.2
2025-01-05 22:00:00.000,22:00,25
2025-01-05 23:00:00.000,23:00,24.8
2025-01-06 00:00:00.000,00:00,20
2025-01-06 01:00:00.000,01:00,18.6
2025-01-06 02:00:00.000,02:00,19
2025-01-06 03:00:00.000,03:00,18.1
2025-01-06 04:00:00.000,04:00,20
2025-01-06 05:00:00.000,05:00,22.900000000000002
2025-01-06 06:00:00.000,06:00,25
2025-01-06 07:00:00.000,07:00,24.9
2025-01-06 08:00:00.000,08:00,23.1
2025-01-06 09:00:00.000,09:00,18.1
2025-01-06 10:00:00.000,10:00,18.754545454545454
2025-01-06 11:00:00.000,11:00,17.945454545454545
2025-01-06 12:00:00.000,12:00,18.2
2025-01-06 13:00:00.000,13:00,18.799999999999997
2025-01-06 14:00:00.000,14:00,19
2025-01-06 15:00:00.000,15:00,17
2025-01-06 16:00:00.000,16:00,17
2025-01-06 17:00:00.000,17:00,20.8
2025-01-06 18:00:00.000,18:00,24
2025-01-06 19:00:00.000,19:00,23
2025-01-06 20:00:00.000,20:00,23
2025-01-06 21:00:00.000,21:00,22.2
2025-01-06 22:00:00.000,22:00,22.8
2025-01-06 23:00:00.000,23:00,22.8
2025-01-07 00:00:00.000,00:00,17
2025-01-07 01:00:00.000,01:00,16.7
2025-01-07 02:00:00.000,02:00,16.1
2025-01-07 03:00:00.000,03:00,16.9
2025-01-07 04:00:00.000,04:00,16.1
2025-01-07 05:00:00.000,05:00,20.8
2025-01-07 06:00:00.000,06:00,22
2025-01-07 07:00:00.000,07:00,23
2025-01-07 08:00:00.000,08:00,20.099999999999998
2025-01-07 09:00:00.000,09:00,12.3
2025-01-07 10:00:00.000,10:00,0
2025-01-07 11:00:00.000,11:00,0
2025-01-07 12:00:00.000,12:00,0
2025-01-07 13:00:00.000,13:00,28
2025-01-07 14:00:00.000,14:00,34
2025-01-07 15:00:00.000,15:00,34.8
2025-01-07 16:00:00.000,16:00,35
2025-01-07 17:00:00.000,17:00,40.8
2025-01-07 18:00:00.000,18:00,42
2025-01-07 19:00:00.000,19:00,40
2025-01-07 20:00:00.000,20:00,41
2025-01-07 21:00:00.000,21:00,40
2025-01-07 22:00:00.000,22:00,39.199999999999996
2025-01-07 23:00:00.000,23:00,22.866666666666667
2025-01-08 00:00:00.000,00:00,17.333333333333336
2025-01-08 01:00:00.000,01:00,16.7
2025-01-08 02:00:00.000,02:00,17
2025-01-08 03:00:00.000,03:00,17
2025-01-08 04:00:00.000,04:00,17
2025-01-08 05:00:00.000,05:00,20
2025-01-08 06:00:00.000,06:00,22.900000000000002
2025-01-08 07:00:00.000,07:00,22.599999999999998
2025-01-08 08:00:00.000,08:00,19.400000000000002
2025-01-08 09:00:00.000,09:00,2.4
2025-01-08 10:00:00.000,10:00,0
2025-01-08 11:00:00.000,11:00,27.8
2025-01-08 12:00:00.000,12:00,33.56363636363636
2025-01-08 13:00:00.000,13:00,33.13636363636363
2025-01-08 14:00:00.000,14:00,34
2025-01-08 15:00:00.000,15:00,33.31818181818182
2025-01-08 16:00:00.000,16:00,33.18181818181818
2025-01-08 17:00:00.000,17:00,35
2025-01-08 18:00:00.000,18:00,34.6
2025-01-08 19:00:00.000,19:00,35
2025-01-08 20:00:00.000,20:00,35.127272727272725
2025-01-08 21:00:00.000,21:00,35.27272727272727
2025-01-08 22:00:00.000,22:00,33.4
2025-01-08 23:00:00.000,23:00,18.717647058823527
2025-01-09 00:00:00.000,00:00,17.54901960784314
2025-01-09 01:00:00.000,01:00,17.476190476190474
2025-01-09 02:00:00.000,02:00,17.395604395604394
2025-01-09 03:00:00.000,03:00,17.505016722408026
2025-01-09 04:00:00.000,04:00,16.436521739130434
2025-01-09 05:00:00.000,05:00,16.551250000000003
2025-01-09 06:00:00.000,06:00,18.03771551724138
2025-01-09 07:00:00.000,07:00,16.74921630094044
2025-01-09 08:00:00.000,08:00,16.079254079254078
2025-01-09 09:00:00.000,09:00,15.660703637447824
2025-01-09 10:00:00.000,10:00,17.09050911376493
2025-01-09 11:00:00.000,11:00,15.61964403427818
2025-01-09 12:00:00.000,12:00,15.847986386840613
2025-01-09 13:00:00.000,13:00,16.0405836753306
2025-01-09 14:00:00.000,14:00,16.047218887555022
2025-01-09 15:00:00.000,15:00,15.835918367346938
2025-01-09 16:00:00.000,16:00,15.751666666666669
2025-01-09 17:00:00.000,17:00,16.430555555555557
2025-01-09 18:00:00.000,18:00,16.73777777777778
2025-01-09 19:00:00.000,19:00,16.829473684210527
2025-01-09 20:00:00.000,20:00,17.301435406698566
2025-01-09 21:00:00.000,21:00,17.663189269746642
2025-01-09 22:00:00.000,22:00,17.12923497267759
2025-01-09 23:00:00.000,23:00,16.552150537634407
2025-01-10 00:00:00.000,00:00,17.122208436724563
2025-01-10 01:00:00.000,01:00,16.032471626733923
2025-01-10 02:00:00.000,02:00,17.68852459016393
2025-01-10 03:00:00.000,03:00,16.721311475409838
2025-01-10 04:00:00.000,04:00,16.875
2025-01-10 05:00:00.000,05:00,16.16977611940298
2025-01-10 06:00:00.000,06:00,16.147531572904708
2025-01-10 07:00:00.000,07:00,16.41880341880342
2025-01-10 08:00:00.000,08:00,16.486449864498645
2025-01-10 09:00:00.000,09:00,16.097560975609756
2025-01-10 10:00:00.000,10:00,14.869813113715555
2025-01-10 11:00:00.000,11:00,15.758594346829643
2025-01-10 12:00:00.000,12:00,15.965944272445823
2025-01-10 13:00:00.000,13:00,15.157894736842108
2025-01-10 14:00:00.000,14:00,15.318118304611087
2025-01-10 15:00:00.000,15:00,15.398230088495579
2025-01-10 16:00:00.000,16:00,16.11298221496692
2025-01-10 17:00:00.000,17:00,16.348300970873783
2025-01-10 18:00:00.000,18:00,16.875
2025-01-10 19:00:00.000,19:00,16.875
2025-01-10 20:00:00.000,20:00,16.680555555555557
2025-01-10 21:00:00.000,21:00,16.666666666666668
2025-01-10 22:00:00.000,22:00,17.063492063492063
2025-01-10 23:00:00.000,23:00,17.142857142857142
2025-01-11 00:00:00.000,00:00,16.928571428571427
2025-01-11 01:00:00.000,01:00,16.71428571428571
2025-01-11 02:00:00.000,02:00,16.728571428571424
2025-01-11 03:00:00.000,03:00,16.8
2025-01-11 04:00:00.000,04:00,16.8
2025-01-11 05:00:00.000,05:00,17.94567901234568
2025-01-11 06:00:00.000,06:00,18.51851851851852
2025-01-11 07:00:00.000,07:00,18.51851851851852
2025-01-11 08:00:00.000,08:00,22.059708193041523
2025-01-11 09:00:00.000,09:00,22.181818181818176
2025-01-11 10:00:00.000,10:00,22.128445747800583
2025-01-11 11:00:00.000,11:00,21.93548387096774
2025-01-11 12:00:00.000,12:00,21.93548387096774
2025-01-11 13:00:00.000,13:00,21.980995248812203
2025-01-11 14:00:00.000,14:00,22.325581395348838
2025-01-11 15:00:00.000,15:00,22.325581395348838
2025-01-11 16:00:00.000,16:00,22.325581395348838
2025-01-11 17:00:00.000,17:00,22.3508080409933
2025-01-11 18:00:00.000,18:00,22.372881355932204
2025-01-11 19:00:00.000,19:00,22.372881355932204
2025-01-11 20:00:00.000,20:00,22.372881355932204
2025-01-11 21:00:00.000,21:00,21.356919532664143
2025-01-11 22:00:00.000,22:00,20.679611650485437
2025-01-11 23:00:00.000,23:00,20.679611650485437
2025-01-12 00:00:00.000,00:00,20.233009708737864
2025-01-12 01:00:00.000,01:00,16.727272727272727
2025-01-12 02:00:00.000,02:00,16.972727272727273
2025-01-12 03:00:00.000,03:00,16
2025-01-12 04:00:00.000,04:00,17
2025-01-12 05:00:00.000,05:00,16
2025-01-12 06:00:00.000,06:00,16.1
2025-01-12 07:00:00.000,07:00,22.7
2025-01-12 08:00:00.000,08:00,21.2
2025-01-12 09:00:00.000,09:00,22
2025-01-12 10:00:00.000,10:00,22
2025-01-12 11:00:00.000,11:00,21.7
2025-01-12 12:00:00.000,12:00,22
2025-01-12 13:00:00.000,13:00,22.8
2025-01-12 14:00:00.000,14:00,22
2025-01-12 15:00:00.000,15:00,22
2025-01-12 16:00:00.000,16:00,22
2025-01-12 17:00:00.000,17:00,22
2025-01-12 18:00:00.000,18:00,22.2
2025-01-12 19:00:00.000,19:00,22.8
2025-01-12 20:00:00.000,20:00,22.2
2025-01-12 21:00:00.000,21:00,22.8
2025-01-12 22:00:00.000,22:00,22
2025-01-12 23:00:00.000,23:00,22.8
2025-01-13 00:00:00.000,00:00,16.727272727272727
2025-01-13 01:00:00.000,01:00,16.072727272727274
2025-01-13 02:00:00.000,02:00,16.9
2025-01-13 03:00:00.000,03:00,16.1
2025-01-13 04:00:00.000,04:00,16.9
2025-01-13 05:00:00.000,05:00,16.1
2025-01-13 06:00:00.000,06:00,16.9
2025-01-13 07:00:00.000,07:00,20.900000000000002
2025-01-13 08:00:00.000,08:00,20.099999999999998
2025-01-13 09:00:00.000,09:00,20
2025-01-13 10:00:00.000,10:00,23.633333333333333
2025-01-13 11:00:00.000,11:00,33.46666666666667
2025-01-13 12:00:00.000,12:00,20.53333333333333
2025-01-13 13:00:00.000,13:00,20
2025-01-13 14:00:00.000,14:00,20
2025-01-13 15:00:00.000,15:00,19.666666666666664
2025-01-13 16:00:00.000,16:00,14.7
2025-01-13 17:00:00.000,17:00,16
2025-01-13 18:00:00.000,18:00,16
2025-01-13 19:00:00.000,19:00,16
2025-01-13 20:00:00.000,20:00,17
2025-01-13 21:00:00.000,21:00,16
2025-01-13 22:00:00.000,22:00,17
2025-01-13 23:00:00.000,23:00,22.3
2025-01-14 00:00:00.000,00:00,34
2025-01-14 01:00:00.000,01:00,39.3
2025-01-14 02:00:00.000,02:00,40
2025-01-14 03:00:00.000,03:00,40
2025-01-14 04:00:00.000,04:00,31.4
2025-01-14 05:00:00.000,05:00,20.900000000000002
2025-01-14 06:00:00.000,06:00,20.1
2025-01-14 07:00:00.000,07:00,21.900000000000002
2025-01-14 08:00:00.000,08:00,17.1
2025-01-14 09:00:00.000,09:00,14.100000000000001
2025-01-14 10:00:00.000,10:00,14.977777777777778
2025-01-14 11:00:00.000,11:00,14.822222222222221
2025-01-14 12:00:00.000,12:00,15
2025-01-14 13:00:00.000,13:00,15.8
2025-01-14 14:00:00.000,14:00,31
2025-01-14 15:00:00.000,15:00,51.8
2025-01-14 16:00:00.000,16:00,31.400000000000002
2025-01-14 17:00:00.000,17:00,16.8
2025-01-14 18:00:00.000,18:00,16
2025-01-14 19:00:00.000,19:00,17
2025-01-14 20:00:00.000,20:00,17
2025-01-14 21:00:00.000,21:00,16.2
2025-01-14 22:00:00.000,22:00,18.6
2025-01-14 23:00:00.000,23:00,20.8
2025-01-15 00:00:00.000,00:00,22
2025-01-15 01:00:00.000,01:00,34.4
2025-01-15 02:00:00.000,02:00,40
2025-01-15 03:00:00.000,03:00,40
2025-01-15 04:00:00.000,04:00,40
2025-01-15 05:00:00.000,05:00,40.900000000000006
2025-01-15 06:00:00.000,06:00,39.1
2025-01-15 07:00:00.000,07:00,40
2025-01-15 08:00:00.000,08:00,39
2025-01-15 09:00:00.000,09:00,38.900000000000006
2025-01-15 10:00:00.000,10:00,38.42727272727273
2025-01-15 11:00:00.000,11:00,29.872727272727275
2025-01-15 12:00:00.000,12:00,36.199999999999996
2025-01-15 13:00:00.000,13:00,39.800000000000004
2025-01-15 14:00:00.000,14:00,22
2025-01-15 15:00:00.000,15:00,39
2025-01-15 16:00:00.000,16:00,38.199999999999996
2025-01-15 17:00:00.000,17:00,35
2025-01-15 18:00:00.000,18:00,10.2
2025-01-15 19:00:00.000,19:00,0
2025-01-15 20:00:00.000,20:00,0
2025-01-15 21:00:00.000,21:00,0
2025-01-15 22:00:00.000,22:00,166
2025-01-15 23:00:00.000,23:00,17
2025-01-16 00:00:00.000,00:00,17
2025-01-16 01:00:00.000,01:00,17.7
2025-01-16 02:00:00.000,02:00,17
2025-01-16 03:00:00.000,03:00,17
2025-01-16 04:00:00.000,04:00,17
2025-01-16 05:00:00.000,05:00,17
2025-01-16 06:00:00.000,06:00,17
2025-01-16 07:00:00.000,07:00,17
2025-01-16 08:00:00.000,08:00,16
2025-01-16 09:00:00.000,09:00,16
2025-01-16 10:00:00.000,10:00,15.966666666666669
2025-01-16 11:00:00.000,11:00,15.733333333333334
2025-01-16 12:00:00.000,12:00,16
2025-01-16 13:00:00.000,13:00,16
2025-01-16 14:00:00.000,14:00,15.2
2025-01-16 15:00:00.000,15:00,16
2025-01-16 16:00:00.000,16:00,15.8
2025-01-16 17:00:00.000,17:00,16
2025-01-16 18:00:00.000,18:00,17
2025-01-16 19:00:00.000,19:00,17
2025-01-16 20:00:00.000,20:00,17
2025-01-16 21:00:00.000,21:00,17
2025-01-16 22:00:00.000,22:00,17
2025-01-16 23:00:00.000,23:00,16.6
2025-01-17 00:00:00.000,00:00,20.636363636363637
2025-01-17 01:00:00.000,01:00,20.963636363636365
2025-01-17 02:00:00.000,02:00,21.1
2025-01-17 03:00:00.000,03:00,17
2025-01-17 04:00:00.000,04:00,16
2025-01-17 05:00:00.000,05:00,17
2025-01-17 06:00:00.000,06:00,16
2025-01-17 07:00:00.000,07:00,17
2025-01-17 08:00:00.000,08:00,33.7
2025-01-17 09:00:00.000,09:00,36.900000000000006
2025-01-17 10:00:00.000,10:00,38.300000000000004
2025-01-17 11:00:00.000,11:00,22.599999999999998
2025-01-17 12:00:00.000,12:00,20.2
2025-01-17 13:00:00.000,13:00,16.2
2025-01-17 14:00:00.000,14:00,15
2025-01-17 15:00:00.000,15:00,16.8
2025-01-17 16:00:00.000,16:00,15.2
2025-01-17 17:00:00.000,17:00,16.8
2025-01-17 18:00:00.000,18:00,17
2025-01-17 19:00:00.000,19:00,17
2025-01-17 20:00:00.000,20:00,17
2025-01-17 21:00:00.000,21:00,17
2025-01-17 22:00:00.000,22:00,17
2025-01-17 23:00:00.000,23:00,16.933333333333334
2025-01-18 00:00:00.000,00:00,16.66666666666667
2025-01-18 01:00:00.000,01:00,25.454545454545453
2025-01-18 02:00:00.000,02:00,34.945454545454545
2025-01-18 03:00:00.000,03:00,35
2025-01-18 04:00:00.000,04:00,24.400000000000002
2025-01-18 05:00:00.000,05:00,17.9
2025-01-18 06:00:00.000,06:00,21
2025-01-18 07:00:00.000,07:00,27.8
2025-01-18 08:00:00.000,08:00,26.1
2025-01-18 09:00:00.000,09:00,23
2025-01-18 10:00:00.000,10:00,22.1
2025-01-18 11:00:00.000,11:00,22.5
2025-01-18 12:00:00.000,12:00,28.4
2025-01-18 13:00:00.000,13:00,41
2025-01-18 14:00:00.000,14:00,40.199999999999996
2025-01-18 15:00:00.000,15:00,23.4
2025-01-18 16:00:00.000,16:00,22
2025-01-18 17:00:00.000,17:00,23
2025-01-18 18:00:00.000,18:00,22
2025-01-18 19:00:00.000,19:00,23
2025-01-18 20:00:00.000,20:00,22
2025-01-18 21:00:00.000,21:00,23
2025-01-18 22:00:00.000,22:00,24
2025-01-18 23:00:00.000,23:00,26.8
2025-01-19 00:00:00.000,00:00,23
2025-01-19 01:00:00.000,01:00,20.7
2025-01-19 02:00:00.000,02:00,20.700000000000003
2025-01-19 03:00:00.000,03:00,35.1
2025-01-19 04:00:00.000,04:00,34.9
2025-01-19 05:00:00.000,05:00,30.3
2025-01-19 06:00:00.000,06:00,17
2025-01-19 07:00:00.000,07:00,21.900000000000002
2025-01-19 08:00:00.000,08:00,22
2025-01-19 09:00:00.000,09:00,22
2025-01-19 10:00:00.000,10:00,22.672727272727272
2025-01-19 11:00:00.000,11:00,21.927272727272726
2025-01-19 12:00:00.000,12:00,23
2025-01-19 13:00:00.000,13:00,22
2025-01-19 14:00:00.000,14:00,23
2025-01-19 15:00:00.000,15:00,22
2025-01-19 16:00:00.000,16:00,24.6
2025-01-19 17:00:00.000,17:00,35.8
2025-01-19 18:00:00.000,18:00,43.8
2025-01-19 19:00:00.000,19:00,41.800000000000004
2025-01-19 20:00:00.000,20:00,27
2025-01-19 21:00:00.000,21:00,27
2025-01-19 22:00:00.000,22:00,26.2
2025-01-19 23:00:00.000,23:00,22.6
2025-01-20 00:00:00.000,00:00,17
2025-01-20 01:00:00.000,01:00,16.7
2025-01-20 02:00:00.000,02:00,33.7
2025-01-20 03:00:00.000,03:00,35
2025-01-20 04:00:00.000,04:00,35.1
2025-01-20 05:00:00.000,05:00,20.2
2025-01-20 06:00:00.000,06:00,16.1
2025-01-20 07:00:00.000,07:00,18.9
2025-01-20 08:00:00.000,08:00,23.900000000000002
2025-01-20 09:00:00.000,09:00,20.099999999999998
2025-01-20 10:00:00.000,10:00,21
2025-01-20 11:00:00.000,11:00,17.700000000000003
2025-01-20 12:00:00.000,12:00,16
2025-01-20 13:00:00.000,13:00,15.2
2025-01-20 14:00:00.000,14:00,15.8
2025-01-20 15:00:00.000,15:00,16
2025-01-20 16:00:00.000,16:00,16
2025-01-20 17:00:00.000,17:00,16
2025-01-20 18:00:00.000,18:00,17
2025-01-20 19:00:00.000,19:00,16
2025-01-20 20:00:00.000,20:00,17
2025-01-20 21:00:00.000,21:00,22.400000000000002
2025-01-20 22:00:00.000,22:00,35
2025-01-20 23:00:00.000,23:00,35.2
2025-01-21 00:00:00.000,00:00,23
2025-01-21 01:00:00.000,01:00,15.8
2025-01-21 02:00:00.000,02:00,17.9
2025-01-21 03:00:00.000,03:00,20.900000000000002
2025-01-21 04:00:00.000,04:00,21.099999999999998
2025-01-21 05:00:00.000,05:00,20.900000000000002
2025-01-21 06:00:00.000,06:00,32.800000000000004
2025-01-21 07:00:00.000,07:00,39.900000000000006
2025-01-21 08:00:00.000,08:00,43
2025-01-21 09:00:00.000,09:00,38
2025-01-21 10:00:00.000,10:00,35.099999999999994
2025-01-21 11:00:00.000,11:00,20.8
2025-01-21 12:00:00.000,12:00,17.054777070063697
2025-01-21 13:00:00.000,13:00,16.815286624203825
2025-01-21 14:00:00.000,14:00,16.815286624203825
2025-01-21 15:00:00.000,15:00,16.815286624203825
2025-01-21 16:00:00.000,16:00,16.815286624203825
2025-01-21 17:00:00.000,17:00,16.815286624203825
2025-01-21 18:00:00.000,18:00,16.815286624203825
2025-01-21 19:00:00.000,19:00,16.815286624203825
2025-01-21 20:00:00.000,20:00,16.815286624203825
2025-01-21 21:00:00.000,21:00,16.815286624203825
2025-01-21 22:00:00.000,22:00,17.40764331210191
2025-01-21 23:00:00.000,23:00,17
2025-01-22 00:00:00.000,00:00,18
2025-01-22 01:00:00.000,01:00,17.6
2025-01-22 02:00:00.000,02:00,17.1
2025-01-22 03:00:00.000,03:00,18
2025-01-22 04:00:00.000,04:00,17
2025-01-22 05:00:00.000,05:00,17
2025-01-22 06:00:00.000,06:00,17
2025-01-22 07:00:00.000,07:00,18
2025-01-22 08:00:00.000,08:00,20
2025-01-22 09:00:00.000,09:00,16
2025-01-22 10:00:00.000,10:00,17
2025-01-22 11:00:00.000,11:00,17.7
2025-01-22 12:00:00.000,12:00,17
2025-01-22 13:00:00.000,13:00,17
2025-01-22 14:00:00.000,14:00,18
2025-01-22 15:00:00.000,15:00,18
2025-01-22 16:00:00.000,16:00,16
2025-01-22 17:00:00.000,17:00,17
2025-01-22 18:00:00.000,18:00,17
2025-01-22 19:00:00.000,19:00,18
2025-01-22 20:00:00.000,20:00,17
2025-01-22 21:00:00.000,21:00,17.2
2025-01-22 22:00:00.000,22:00,16.8
2025-01-22 23:00:00.000,23:00,17.6
2025-01-23 00:00:00.000,00:00,17
2025-01-23 01:00:00.000,01:00,13.7
2025-01-23 02:00:00.000,02:00,17
2025-01-23 03:00:00.000,03:00,17
2025-01-23 04:00:00.000,04:00,17
2025-01-23 05:00:00.000,05:00,17
2025-01-23 06:00:00.000,06:00,17
2025-01-23 07:00:00.000,07:00,17
2025-01-23 08:00:00.000,08:00,22
2025-01-23 09:00:00.000,09:00,17
2025-01-23 10:00:00.000,10:00,16.96666666666667
2025-01-23 11:00:00.000,11:00,14.933333333333334
2025-01-23 12:00:00.000,12:00,15
2025-01-23 13:00:00.000,13:00,16.8
2025-01-23 14:00:00.000,14:00,17
2025-01-23 15:00:00.000,15:00,17
2025-01-23 16:00:00.000,16:00,16
2025-01-23 17:00:00.000,17:00,16
2025-01-23 18:00:00.000,18:00,17
2025-01-23 19:00:00.000,19:00,17
2025-01-23 20:00:00.000,20:00,17
2025-01-23 21:00:00.000,21:00,17.8
2025-01-23 22:00:00.000,22:00,17.2
2025-01-23 23:00:00.000,23:00,16.6
2025-01-24 00:00:00.000,00:00,18
