Date,Hour,D14_ELEC_General TGBT [kWh] [D14 - Pavillon d'Arthur (Imax 3D)]
2025-01-01 00:00:00.000,00:00,35.44899999983609
2025-01-01 01:00:00.000,01:00,31.160000000242142
2025-01-01 02:00:00.000,02:00,33.127000000048426
2025-01-01 03:00:00.000,03:00,33.64799999957904
2025-01-01 04:00:00.000,04:00,34.71400000043214
2025-01-01 05:00:00.000,05:00,35.137999999430036
2025-01-01 06:00:00.000,06:00,34.99700000025332
2025-01-01 07:00:00.000,07:00,35.4839999999851
2025-01-01 08:00:00.000,08:00,76.72700000014156
2025-01-01 09:00:00.000,09:00,149.29400000032038
2025-01-01 10:00:00.000,10:00,164.62599999997764
2025-01-01 11:00:00.000,11:00,162.06599999982862
2025-01-01 12:00:00.000,12:00,164.81600000001487
2025-01-01 13:00:00.000,13:00,161.59799999985844
2025-01-01 14:00:00.000,14:00,158.58399999979883
2025-01-01 15:00:00.000,15:00,162.0131111111285
2025-01-01 16:00:00.000,16:00,155.81000000010764
2025-01-01 17:00:00.000,17:00,161.83488888895758
2025-01-01 18:00:00.000,18:00,164.21600000010804
2025-01-01 19:00:00.000,19:00,160.3549999995157
2025-01-01 20:00:00.000,20:00,158.61855555562715
2025-01-01 21:00:00.000,21:00,118.89989899023615
2025-01-01 22:00:00.000,22:00,39.20343434358147
2025-01-01 23:00:00.000,23:00,35.2611111106558
2025-01-02 00:00:00.000,00:00,31.871818181889303
2025-01-02 01:00:00.000,01:00,33.95218181841245
2025-01-02 02:00:00.000,02:00,33.195000000391154
2025-01-02 03:00:00.000,03:00,32.41899999985471
2025-01-02 04:00:00.000,04:00,32.89700000006705
2025-01-02 05:00:00.000,05:00,33.66499999938533
2025-01-02 06:00:00.000,06:00,32.22999999998137
2025-01-02 07:00:00.000,07:00,58.61600000075996
2025-01-02 08:00:00.000,08:00,84.27999999979511
2025-01-02 09:00:00.000,09:00,151.4960000000894
2025-01-02 10:00:00.000,10:00,167.6499999994412
2025-01-02 11:00:00.000,11:00,162.71000000052155
2025-01-02 12:00:00.000,12:00,155.6959999997169
2025-01-02 13:00:00.000,13:00,160.3099999997765
2025-01-02 14:00:00.000,14:00,159.62200000008397
2025-01-02 15:00:00.000,15:00,159.55222222205214
2025-01-02 16:00:00.000,16:00,161.53977777801663
2025-01-02 17:00:00.000,17:00,167.8759999998845
2025-01-02 18:00:00.000,18:00,162.0949999999255
2025-01-02 19:00:00.000,19:00,144.1160000002943
2025-01-02 20:00:00.000,20:00,152.29199999980628
2025-01-02 21:00:00.000,21:00,120.70100000044332
2025-01-02 22:00:00.000,22:00,44.872999999672174
2025-01-02 23:00:00.000,23:00,38.56500000040978
2025-01-03 00:00:00.000,00:00,32.99199999999255
2025-01-03 01:00:00.000,01:00,33.053999999817464
2025-01-03 02:00:00.000,02:00,33.278999999538065
2025-01-03 03:00:00.000,03:00,33.09900000039488
2025-01-03 04:00:00.000,04:00,34.71600000020117
2025-01-03 05:00:00.000,05:00,35.47899999972433
2025-01-03 06:00:00.000,06:00,33.44799999967218
2025-01-03 07:00:00.000,07:00,33.5000000002794
2025-01-03 08:00:00.000,08:00,70.76500000003725
2025-01-03 09:00:00.000,09:00,127.98400000017136
2025-01-03 10:00:00.000,10:00,154.3399999996647
2025-01-03 11:00:00.000,11:00,164.27800000011922
2025-01-03 12:00:00.000,12:00,160.62000000048428
2025-01-03 13:00:00.000,13:00,164.03399999979882
2025-01-03 14:00:00.000,14:00,158.6289999999106
2025-01-03 15:00:00.000,15:00,161.34390909101137
2025-01-03 16:00:00.000,16:00,165.39409090907057
2025-01-03 17:00:00.000,17:00,166.39399999966847
2025-01-03 18:00:00.000,18:00,163.63800000026822
2025-01-03 19:00:00.000,19:00,165.82099999971686
2025-01-03 20:00:00.000,20:00,154.41500000022353
2025-01-03 21:00:00.000,21:00,125.16699999980628
2025-01-03 22:00:00.000,22:00,46.28300000010058
2025-01-03 23:00:00.000,23:00,38.09699999988079
2025-01-04 00:00:00.000,00:00,33.56500000003725
2025-01-04 01:00:00.000,01:00,36.31800000034273
2025-01-04 02:00:00.000,02:00,34.1909999997355
2025-01-04 03:00:00.000,03:00,33.80999999959022
2025-01-04 04:00:00.000,04:00,34.25300000039861
2025-01-04 05:00:00.000,05:00,35.11199999991804
2025-01-04 06:00:00.000,06:00,35.257000000029805
2025-01-04 07:00:00.000,07:00,35.260999999754134
2025-01-04 08:00:00.000,08:00,35.3390000006184
2025-01-04 09:00:00.000,09:00,122.75999999977648
2025-01-04 10:00:00.000,10:00,161.7659999996424
2025-01-04 11:00:00.000,11:00,165.28000000044702
2025-01-04 12:00:00.000,12:00,162.95599999949337
2025-01-04 13:00:00.000,13:00,158.37600000053644
2025-01-04 14:00:00.000,14:00,163.58999999947847
2025-01-04 15:00:00.000,15:00,161.168000000529
2025-01-04 16:00:00.000,16:00,159.32399999983608
2025-01-04 17:00:00.000,17:00,164.2358181817965
2025-01-04 18:00:00.000,18:00,154.2761818183078
2025-01-04 19:00:00.000,19:00,154.60399999963118
2025-01-04 20:00:00.000,20:00,120.00600000033154
2025-01-04 21:00:00.000,21:00,45.333818181892006
2025-01-04 22:00:00.000,22:00,35.379090908830136
2025-01-04 23:00:00.000,23:00,34.819090909493916
2025-01-05 00:00:00.000,00:00,30.039999999292196
2025-01-05 01:00:00.000,01:00,30.551000000722706
2025-01-05 02:00:00.000,02:00,30.253000000026077
2025-01-05 03:00:00.000,03:00,30.281999999377877
2025-01-05 04:00:00.000,04:00,31.211000000219794
2025-01-05 05:00:00.000,05:00,32.04399999985471
2025-01-05 06:00:00.000,06:00,31.919999999739233
2025-01-05 07:00:00.000,07:00,32.657000000309196
2025-01-05 08:00:00.000,08:00,73.65200000042095
2025-01-05 09:00:00.000,09:00,142.88599999975412
2025-01-05 10:00:00.000,10:00,149.92200000025332
2025-01-05 11:00:00.000,11:00,131.24599999990315
2025-01-05 12:00:00.000,12:00,128.44199999999256
2025-01-05 13:00:00.000,13:00,126.82600000016392
2025-01-05 14:00:00.000,14:00,126.99199999962002
2025-01-05 15:00:00.000,15:00,128.59400000013412
2025-01-05 16:00:00.000,16:00,125.110000000149
2025-01-05 17:00:00.000,17:00,100.49399999957532
2025-01-05 18:00:00.000,18:00,40.854000000469384
2025-01-05 19:00:00.000,19:00,35.2640000000596
2025-01-05 20:00:00.000,20:00,35.507999999262395
2025-01-05 21:00:00.000,21:00,34.48200000040234
2025-01-05 22:00:00.000,22:00,34.35400000009686
2025-01-05 23:00:00.000,23:00,34.04600000008941
2025-01-06 00:00:00.000,00:00,30.229999999515712
2025-01-06 01:00:00.000,01:00,29.68299999991432
2025-01-06 02:00:00.000,02:00,29.975000000651924
2025-01-06 03:00:00.000,03:00,29.96099999975413
2025-01-06 04:00:00.000,04:00,30.034999999962746
2025-01-06 05:00:00.000,05:00,30.638999999780207
2025-01-06 06:00:00.000,06:00,30.826000000257046
2025-01-06 07:00:00.000,07:00,30.580999999865888
2025-01-06 08:00:00.000,08:00,29.669999999832363
2025-01-06 09:00:00.000,09:00,19.197272727443753
2025-01-06 10:00:00.000,10:00,28.314727273126216
2025-01-06 11:00:00.000,11:00,20.339999999478458
2025-01-06 12:00:00.000,12:00,20.570000000298023
2025-01-06 13:00:00.000,13:00,23.015999999828637
2025-01-06 14:00:00.000,14:00,20.356000000052155
2025-01-06 15:00:00.000,15:00,19.696000000089406
2025-01-06 16:00:00.000,16:00,18.72400000002235
