Date,Hour,F06/F14_ELEC_General TGBT [kWh] [F06/F14 - ADM1 et ADM2]
2025-01-01 00:00:00.000,00:00,25.850000000046567
2025-01-01 01:00:00.000,01:00,26.819999999832362
2025-01-01 02:00:00.000,02:00,29.570000000065193
2025-01-01 03:00:00.000,03:00,27.280000000051224
2025-01-01 04:00:00.000,04:00,43.550000000046566
2025-01-01 05:00:00.000,05:00,42.23999999982771
2025-01-01 06:00:00.000,06:00,41.27000000015832
2025-01-01 07:00:00.000,07:00,63.21999999987893
2025-01-01 08:00:00.000,08:00,55.360000000009315
2025-01-01 09:00:00.000,09:00,56.61999999997206
2025-01-01 10:00:00.000,10:00,55.26000000005588
2025-01-01 11:00:00.000,11:00,51.90000000004656
2025-01-01 12:00:00.000,12:00,52.319999999878924
2025-01-01 13:00:00.000,13:00,53.50000000004657
2025-01-01 14:00:00.000,14:00,46.04000000003725
2025-01-01 15:00:00.000,15:00,48.810000000079164
2025-01-01 16:00:00.000,16:00,43.65999999986961
2025-01-01 17:00:00.000,17:00,44.250000000116415
2025-01-01 18:00:00.000,18:00,47.839999999967404
2025-01-01 19:00:00.000,19:00,40.86999999999534
2025-01-01 20:00:00.000,20:00,30.049999999953435
2025-01-01 21:00:00.000,21:00,29.70000000006985
2025-01-01 22:00:00.000,22:00,29.119999999855644
2025-01-01 23:00:00.000,23:00,27.65000000008149
2025-01-02 00:00:00.000,00:00,25.32000000005355
2025-01-02 01:00:00.000,01:00,25.40999999991618
2025-01-02 02:00:00.000,02:00,25
2025-01-02 03:00:00.000,03:00,24.800000000046566
2025-01-02 04:00:00.000,04:00,38.53999999992084
2025-01-02 05:00:00.000,05:00,30.25
2025-01-02 06:00:00.000,06:00,32.47000000011176
2025-01-02 07:00:00.000,07:00,52.62000000001863
2025-01-02 08:00:00.000,08:00,52.31999999997206
2025-01-02 09:00:00.000,09:00,52.639999999897555
2025-01-02 10:00:00.000,10:00,54.16000000014901
2025-01-02 11:00:00.000,11:00,62.1999999998603
2025-01-02 12:00:00.000,12:00,56.26000000000931
2025-01-02 13:00:00.000,13:00,52.61000000005588
2025-01-02 14:00:00.000,14:00,55.049999999906866
2025-01-02 15:00:00.000,15:00,50.020000000065195
2025-01-02 16:00:00.000,16:00,49.7
2025-01-02 17:00:00.000,17:00,47.7399999999674
2025-01-02 18:00:00.000,18:00,41.27000000008847
2025-01-02 19:00:00.000,19:00,35.639999999990685
2025-01-02 20:00:00.000,20:00,24.849999999953432
2025-01-02 21:00:00.000,21:00,25.480000000121073
2025-01-02 22:00:00.000,22:00,25.269999999855646
2025-01-02 23:00:00.000,23:00,24.22999999995809
2025-01-03 00:00:00.000,00:00,23.650000000093133
2025-01-03 01:00:00.000,01:00,28.349999999906867
2025-01-03 02:00:00.000,02:00,26.980000000144354
2025-01-03 03:00:00.000,03:00,27.429999999981376
2025-01-03 04:00:00.000,04:00,38.67000000004191
2025-01-03 05:00:00.000,05:00,35.98000000000466
2025-01-03 06:00:00.000,06:00,38.860000000009315
2025-01-03 07:00:00.000,07:00,56.559999999939464
2025-01-03 08:00:00.000,08:00,55.760000000055875
2025-01-03 09:00:00.000,09:00,59.16000000000932
2025-01-03 10:00:00.000,10:00,61.17999999988824
2025-01-03 11:00:00.000,11:00,57.84000000003725
2025-01-03 12:00:00.000,12:00,55.3
2025-01-03 13:00:00.000,13:00,51.76999999999534
2025-01-03 14:00:00.000,14:00,49.02999999995809
2025-01-03 15:00:00.000,15:00,47.97000000004191
2025-01-03 16:00:00.000,16:00,55.71000000007916
2025-01-03 17:00:00.000,17:00,47.729999999934805
2025-01-03 18:00:00.000,18:00,52.43000000005122
2025-01-03 19:00:00.000,19:00,42.939999999874274
2025-01-03 20:00:00.000,20:00,30.360000000032596
2025-01-03 21:00:00.000,21:00,31.369999999948778
2025-01-03 22:00:00.000,22:00,28.390000000060535
2025-01-03 23:00:00.000,23:00,31.142499999998837
2025-01-04 00:00:00.000,00:00,33.727499999973226
2025-01-04 01:00:00.000,01:00,28.47000000011176
2025-01-04 02:00:00.000,02:00,28.879999999911526
2025-01-04 03:00:00.000,03:00,29.300000000046566
2025-01-04 04:00:00.000,04:00,37.69999999993015
2025-01-04 05:00:00.000,05:00,38.70000000006985
2025-01-04 06:00:00.000,06:00,39.160000000055874
2025-01-04 07:00:00.000,07:00,48.97999999998137
2025-01-04 08:00:00.000,08:00,50.75999999996275
2025-01-04 09:00:00.000,09:00,48.880000000027934
2025-01-04 10:00:00.000,10:00,48.23999999999069
2025-01-04 11:00:00.000,11:00,48.66000000000931
2025-01-04 12:00:00.000,12:00,43.66888888890648
2025-01-04 13:00:00.000,13:00,41.82111111106092
2025-01-04 14:00:00.000,14:00,41.44000000001397
2025-01-04 15:00:00.000,15:00,41.77000000001863
2025-01-04 16:00:00.000,16:00,38.830000000027944
2025-01-04 17:00:00.000,17:00,32.029999999958086
2025-01-04 18:00:00.000,18:00,31.369999999948778
2025-01-04 19:00:00.000,19:00,28.91999999997206
2025-01-04 20:00:00.000,20:00,24.740000000060537
2025-01-04 21:00:00.000,21:00,24.53000000002794
2025-01-04 22:00:00.000,22:00,24.2499999998603
2025-01-04 23:00:00.000,23:00,22.60999999998603
2025-01-05 00:00:00.000,00:00,23.120000000018628
2025-01-05 01:00:00.000,01:00,22.61000000007916
2025-01-05 02:00:00.000,02:00,23.28000000002794
2025-01-05 03:00:00.000,03:00,22.55
2025-01-05 04:00:00.000,04:00,20.300000000046566
2025-01-05 05:00:00.000,05:00,24.410000000009312
2025-01-05 06:00:00.000,06:00,23.929999999911526
2025-01-05 07:00:00.000,07:00,27.020000000065195
2025-01-05 08:00:00.000,08:00,28.319999999972058
2025-01-05 09:00:00.000,09:00,24.800000000046566
2025-01-05 10:00:00.000,10:00,26.859999999916184
2025-01-05 11:00:00.000,11:00,24.799999999953435
2025-01-05 12:00:00.000,12:00,24.98000000002794
2025-01-05 13:00:00.000,13:00,24.76999999997206
2025-01-05 14:00:00.000,14:00,22.44000000001397
2025-01-05 15:00:00.000,15:00,22.259999999939463
2025-01-05 16:00:00.000,16:00,22.460000000172297
2025-01-05 17:00:00.000,17:00,25.55999999998603
2025-01-05 18:00:00.000,18:00,25.539999999874272
2025-01-05 19:00:00.000,19:00,26.020000000111757
