Date,Hour,J03_ELEC_General TGBT MDE [kWh] [J03 - Monde des enfants]
2025-01-01 00:00:00.000,00:00,35.07249999991036
2025-01-01 01:00:00.000,01:00,33.620000000088474
2025-01-01 02:00:00.000,02:00,32.060000000079164
2025-01-01 03:00:00.000,03:00,33.67999999995809
2025-01-01 04:00:00.000,04:00,32.09999999997672
2025-01-01 05:00:00.000,05:00,38.53999999994412
2025-01-01 06:00:00.000,06:00,41.50000000009313
2025-01-01 07:00:00.000,07:00,41.55999999991619
2025-01-01 08:00:00.000,08:00,43.919999999972056
2025-01-01 09:00:00.000,09:00,55.10000000009313
2025-01-01 10:00:00.000,10:00,66.99999999990686
2025-01-01 11:00:00.000,11:00,72.77999999998137
2025-01-01 12:00:00.000,12:00,78.90000000006985
2025-01-01 13:00:00.000,13:00,81.02999999991152
2025-01-01 14:00:00.000,14:00,72.72000000008848
2025-01-01 15:00:00.000,15:00,67.15
2025-01-01 16:00:00.000,16:00,61.5
2025-01-01 17:00:00.000,17:00,66.7100000000326
2025-01-01 18:00:00.000,18:00,65.33000000000466
2025-01-01 19:00:00.000,19:00,54.61999999994878
2025-01-01 20:00:00.000,20:00,46.760000000055875
2025-01-01 21:00:00.000,21:00,45.429999999981376
2025-01-01 22:00:00.000,22:00,44.18000000002794
2025-01-01 23:00:00.000,23:00,39.149999999877764
2025-01-02 00:00:00.000,00:00,32.79000000006636
2025-01-02 01:00:00.000,01:00,31.020000000018626
2025-01-02 02:00:00.000,02:00,28.90999999991618
2025-01-02 03:00:00.000,03:00,28.5
2025-01-02 04:00:00.000,04:00,29.200000000046565
2025-01-02 05:00:00.000,05:00,35.22000000001863
2025-01-02 06:00:00.000,06:00,38.039999999990684
2025-01-02 07:00:00.000,07:00,38.66000000005588
2025-01-02 08:00:00.000,08:00,40.83999999994412
2025-01-02 09:00:00.000,09:00,40.66000000005588
2025-01-02 10:00:00.000,10:00,46.2
2025-01-02 11:00:00.000,11:00,52.1872727273159
2025-01-02 12:00:00.000,12:00,70.0127272726841
2025-01-02 13:00:00.000,13:00,73.5
2025-01-02 14:00:00.000,14:00,69.68999999989755
2025-01-02 15:00:00.000,15:00,64.55999999998603
2025-01-02 16:00:00.000,16:00,58.74000000001397
2025-01-02 17:00:00.000,17:00,63.19000000008382
2025-01-02 18:00:00.000,18:00,56.31999999994878
2025-01-02 19:00:00.000,19:00,45.430000000004654
2025-01-02 20:00:00.000,20:00,42.74000000001397
2025-01-02 21:00:00.000,21:00,42.460000000009316
2025-01-02 22:00:00.000,22:00,41.27000000001863
2025-01-02 23:00:00.000,23:00,40.847499999898716
2025-01-03 00:00:00.000,00:00,33.18250000001281
2025-01-03 01:00:00.000,01:00,33.670000000158325
2025-01-03 02:00:00.000,02:00,31.829999999841675
2025-01-03 03:00:00.000,03:00,32.09000000008382
