Date,Hour,M03_ELEC_General TGBT [kWh] [M03 - Hôtel 2]
2025-01-01 00:00:00.000,00:00,31.359175000124377
2025-01-01 01:00:00.000,01:00,28.565799999865703
2025-01-01 02:00:00.000,02:00,18.7588000001153
2025-01-01 03:00:00.000,03:00,21.78479999990668
2025-01-01 04:00:00.000,04:00,17.4181999999797
2025-01-01 05:00:00.000,05:00,22.209400000050664
2025-01-01 06:00:00.000,06:00,34.74740000008605
2025-01-01 07:00:00.000,07:00,58.97259999997914
2025-01-01 08:00:00.000,08:00,65.42139999992214
2025-01-01 09:00:00.000,09:00,70.41660000002011
2025-01-01 10:00:00.000,10:00,89.3299999999348
2025-01-01 11:00:00.000,11:00,84.77840000004508
2025-01-01 12:00:00.000,12:00,75.16340000000783
2025-01-01 13:00:00.000,13:00,39.78499999998603
2025-01-01 14:00:00.000,14:00,27.324600000004285
2025-01-01 15:00:00.000,15:00,28.450799999968147
2025-01-01 16:00:00.000,16:00,27.284900000155904
2025-01-01 17:00:00.000,17:00,25.9204999999376
2025-01-01 18:00:00.000,18:00,24.218499999982306
2025-01-01 19:00:00.000,19:00,23.738099999935365
2025-01-01 20:00:00.000,20:00,27.708000000123867
2025-01-01 21:00:00.000,21:00,45.64599999990315
2025-01-01 22:00:00.000,22:00,52.70800000003073
2025-01-01 23:00:00.000,23:00,39.92012499990524
2025-01-02 00:00:00.000,00:00,34.67897500015679
2025-01-02 01:00:00.000,01:00,34.344899999862534
2025-01-02 02:00:00.000,02:00,36.41370000015013
2025-01-02 03:00:00.000,03:00,32.25840000000317
2025-01-02 04:00:00.000,04:00,18.44889999998268
2025-01-02 05:00:00.000,05:00,19.959599999990314
2025-01-02 06:00:00.000,06:00,43.46699999985285
2025-01-02 07:00:00.000,07:00,54.37540000015869
2025-01-02 08:00:00.000,08:00,78.58719999990426
2025-01-02 09:00:00.000,09:00,96.11999999997207
2025-01-02 10:00:00.000,10:00,99.32159999995491
2025-01-02 11:00:00.000,11:00,99.72165454563007
2025-01-02 12:00:00.000,12:00,98.76264545452061
2025-01-02 13:00:00.000,13:00,74.5192000000272
2025-01-02 14:00:00.000,14:00,38.78589999987744
2025-01-02 15:00:00.000,15:00,35.570100000058304
2025-01-02 16:00:00.000,16:00,30.65729999996256
2025-01-02 17:00:00.000,17:00,32.45079999999143
2025-01-02 18:00:00.000,18:00,32.54829999995418
2025-01-02 19:00:00.000,19:00,29.974500000150876
2025-01-02 20:00:00.000,20:00,32.50300000000279
2025-01-02 21:00:00.000,21:00,33.41319999999833
2025-01-02 22:00:00.000,22:00,33.17609999987763
2025-01-02 23:00:00.000,23:00,34.6492500000284
2025-01-03 00:00:00.000,00:00,33.17615000010701
2025-01-03 01:00:00.000,01:00,30.66919999981765
2025-01-03 02:00:00.000,02:00,28.64360000013839
2025-01-03 03:00:00.000,03:00,25.485899999924005
2025-01-03 04:00:00.000,04:00,21.733800000068733
2025-01-03 05:00:00.000,05:00,19.668799999868497
2025-01-03 06:00:00.000,06:00,43.938000000128525
2025-01-03 07:00:00.000,07:00,46.326400000043215
2025-01-03 08:00:00.000,08:00,75.12679999992251
2025-01-03 09:00:00.000,09:00,99.03599999994039
2025-01-03 10:00:00.000,10:00,92.4880000000354
2025-01-03 11:00:00.000,11:00,78.4871454545085
2025-01-03 12:00:00.000,12:00,90.59905454544139
2025-01-03 13:00:00.000,13:00,43.21920000009705
2025-01-03 14:00:00.000,14:00,23.11060000001453
2025-01-03 15:00:00.000,15:00,20.349399999901653
2025-01-03 16:00:00.000,16:00,19.909000000031664
2025-01-03 17:00:00.000,17:00,28.199399999948216
2025-01-03 18:00:00.000,18:00,28.28990000006743
2025-01-03 19:00:00.000,19:00,24.20770000007469
2025-01-03 20:00:00.000,20:00,28.58549999985844
2025-01-03 21:00:00.000,21:00,28.384800000092948
2025-01-03 22:00:00.000,22:00,25.852300000027753
2025-01-03 23:00:00.000,23:00,28.795724999951197
2025-01-04 00:00:00.000,00:00,21.874374999990685
2025-01-04 01:00:00.000,01:00,18.693500000052154
2025-01-04 02:00:00.000,02:00,19.917199999885636
2025-01-04 03:00:00.000,03:00,21.35220000005793
2025-01-04 04:00:00.000,04:00,18.54079999998212
2025-01-04 05:00:00.000,05:00,21.067200000118465
2025-01-04 06:00:00.000,06:00,43.847799999825654
2025-01-04 07:00:00.000,07:00,54.65740000000224
2025-01-04 08:00:00.000,08:00,62.321400000015274
2025-01-04 09:00:00.000,09:00,74.25759999998846
2025-01-04 10:00:00.000,10:00,80.0652000001166
2025-01-04 11:00:00.000,11:00,81.00775555545567
2025-01-04 12:00:00.000,12:00,82.06464444449068
2025-01-04 13:00:00.000,13:00,44.594100000010805
2025-01-04 14:00:00.000,14:00,36.165799999958836
2025-01-04 15:00:00.000,15:00,27.891500000073574
2025-01-04 16:00:00.000,16:00,32.632900000014345
2025-01-04 17:00:00.000,17:00,34.63740000000689
2025-01-04 18:00:00.000,18:00,38.847699999995534
2025-01-04 19:00:00.000,19:00,37.16849999988917
2025-01-04 20:00:00.000,20:00,30.9238000000827
2025-01-04 21:00:00.000,21:00,37.56589999999851
2025-01-04 22:00:00.000,22:00,47.20299999997951
2025-01-04 23:00:00.000,23:00,32.561200000013926
2025-01-05 00:00:00.000,00:00,25.513100000080886
2025-01-05 01:00:00.000,01:00,25.914799999841488
2025-01-05 02:00:00.000,02:00,27.152300000097604
2025-01-05 03:00:00.000,03:00,24.494499999983233
2025-01-05 04:00:00.000,04:00,16.59409999998752
2025-01-05 05:00:00.000,05:00,20.97420000000857
2025-01-05 06:00:00.000,06:00,38.57719999994151
2025-01-05 07:00:00.000,07:00,64.54140000008046
2025-01-05 08:00:00.000,08:00,66.2414000000339
2025-01-05 09:00:00.000,09:00,81.6683999998495
2025-01-05 10:00:00.000,10:00,73.37700000014156
2025-01-05 11:00:00.000,11:00,78.58519999985583
2025-01-05 12:00:00.000,12:00,62.31990000011865
2025-01-05 13:00:00.000,13:00,36.6060999999987
2025-01-05 14:00:00.000,14:00,32.1721000000136
2025-01-05 15:00:00.000,15:00,29.8408000000054
2025-01-05 16:00:00.000,16:00,22.854499999992548
2025-01-05 17:00:00.000,17:00,27.96040000000503
2025-01-05 18:00:00.000,18:00,32.52969999997877
2025-01-05 19:00:00.000,19:00,29.75899999986868
2025-01-05 20:00:00.000,20:00,28.00250000015367
2025-01-05 21:00:00.000,21:00,23.084999999986028
2025-01-05 22:00:00.000,22:00,24.785399999888615
2025-01-05 23:00:00.000,23:00,19.49625000002561
2025-01-06 00:00:00.000,00:00,15.928849999967497
2025-01-06 01:00:00.000,01:00,18.14690000002738
2025-01-06 02:00:00.000,02:00,16.055900000152178
2025-01-06 03:00:00.000,03:00,15.712399999867193
2025-01-06 04:00:00.000,04:00,17.90170000004582
2025-01-06 05:00:00.000,05:00,18.789600000018254
2025-01-06 06:00:00.000,06:00,18.407599999941887
2025-01-06 07:00:00.000,07:00,20.12559999995865
2025-01-06 08:00:00.000,08:00,20.179800000134854
2025-01-06 09:00:00.000,09:00,16.687999999988826
2025-01-06 10:00:00.000,10:00,24.55059999995865
2025-01-06 11:00:00.000,11:00,28.860599999921394
2025-01-06 12:00:00.000,12:00,26.26009999997914
2025-01-06 13:00:00.000,13:00,20.982900000177324
2025-01-06 14:00:00.000,14:00,20.555999999982305
2025-01-06 15:00:00.000,15:00,30.653700000001116
2025-01-06 16:00:00.000,16:00,18.85089999991469
2025-01-06 17:00:00.000,17:00,18.486800000048245
2025-01-06 18:00:00.000,18:00,22.292199999955482
2025-01-06 19:00:00.000,19:00,19.191599999973548
2025-01-06 20:00:00.000,20:00,19.072400000016202
2025-01-06 21:00:00.000,21:00,21.706300000054764
2025-01-06 22:00:00.000,22:00,19.508900000015274
2025-01-06 23:00:00.000,23:00,19.89177499995567
2025-01-07 00:00:00.000,00:00,16.9701249999227
2025-01-07 01:00:00.000,01:00,19.333900000085123
2025-01-07 02:00:00.000,02:00,17.39290000004694
2025-01-07 03:00:00.000,03:00,17.541299999924377
2025-01-07 04:00:00.000,04:00,19.23179999999702
2025-01-07 05:00:00.000,05:00,20.11560000004247
2025-01-07 06:00:00.000,06:00,20.11240000007674
2025-01-07 07:00:00.000,07:00,19.964799999864773
2025-01-07 08:00:00.000,08:00,22.119399999966845
2025-01-07 09:00:00.000,09:00,18.8562000001315
2025-01-07 10:00:00.000,10:00,23.394199999934063
2025-01-07 11:00:00.000,11:00,29.28360000005923
2025-01-07 12:00:00.000,12:00,28.83649999985937
2025-01-07 13:00:00.000,13:00,25.881900000013413
2025-01-07 14:00:00.000,14:00,18.088900000113064
2025-01-07 15:00:00.000,15:00,20.2786999998847
2025-01-07 16:00:00.000,16:00,19.130900000012478
2025-01-07 17:00:00.000,17:00,21.93610000011977
2025-01-07 18:00:00.000,18:00,21.70299999988638
2025-01-07 19:00:00.000,19:00,22.259500000067053
2025-01-07 20:00:00.000,20:00,19.50519999989774
2025-01-07 21:00:00.000,21:00,19.21730000008829
2025-01-07 22:00:00.000,22:00,21.87589999996126
2025-01-07 23:00:00.000,23:00,20.02412500011851
2025-01-08 00:00:00.000,00:00,16.54837500000722
2025-01-08 01:00:00.000,01:00,16.389499999862164
2025-01-08 02:00:00.000,02:00,18.996500000054947
2025-01-08 03:00:00.000,03:00,16.585799999907614
2025-01-08 04:00:00.000,04:00,16.440400000009685
2025-01-08 05:00:00.000,05:00,21.90320000015199
2025-01-08 06:00:00.000,06:00,18.902599999913946
2025-01-08 07:00:00.000,07:00,19.046599999954925
2025-01-08 08:00:00.000,08:00,22.037400000133655
2025-01-08 09:00:00.000,09:00,45.61388888877506
2025-01-08 10:00:00.000,10:00,41.78751111111811
2025-01-08 11:00:00.000,11:00,29.894200000027194
2025-01-08 12:00:00.000,12:00,27.089400000027805
2025-01-08 13:00:00.000,13:00,16.93619999997741
2025-01-08 14:00:00.000,14:00,17.65160000002943
2025-01-08 15:00:00.000,15:00,20.519018181794408
2025-01-08 16:00:00.000,16:00,16.849681818127547
2025-01-08 17:00:00.000,17:00,15.25850000011269
2025-01-08 18:00:00.000,18:00,16.33544444440243
2025-01-08 19:00:00.000,19:00,16.917555555571905
2025-01-08 20:00:00.000,20:00,16.797818181834025
2025-01-08 21:00:00.000,21:00,15.079753246778235
2025-01-08 22:00:00.000,22:00,18.439310924318313
2025-01-08 23:00:00.000,23:00,15.60018431363609
2025-01-09 00:00:00.000,00:00,15.776600000075996
2025-01-09 01:00:00.000,01:00,18.187787878757458
2025-01-09 02:00:00.000,02:00,16.32296853151882
2025-01-09 03:00:00.000,03:00,15.67382692314165
2025-01-09 04:00:00.000,04:00,16.623054347656485
2025-01-09 05:00:00.000,05:00,17.996362318929314
2025-01-09 06:00:00.000,06:00,16.713264367818812
2025-01-09 07:00:00.000,07:00,13.581327029984305
2025-01-09 08:00:00.000,08:00,21.8953760818294
2025-01-09 09:00:00.000,09:00,30.2684610918671
2025-01-09 10:00:00.000,10:00,31.08379365073605
