Date,Hour,A13_Elec_Aquascope_TGBT1 (attraction) [kWh] [A13 - Aquascope],A13_Elec_Aquascope_TGBT2 (batiment) [kWh] [A13 - Aquascope],A13_ELEC Energie Compteur Electrique TGBT1 GENERAL [kWh] [A13 - Aquascope],A13_ELEC Energie Compteur Electrique TGBT2 GENERAL [kWh] [A13 - Aquascope]
2025-01-01 00:00:00.000,00:00,201.8181818181818,115.18181818181819,202.1764705882353,118.52941176470588
2025-01-01 01:00:00.000,01:00,203.78181818181818,120.91818181818181,202.8823529411765,115.8235294117647
2025-01-01 02:00:00.000,02:00,203,116,207.5404411764706,120.56985294117646
2025-01-01 03:00:00.000,03:00,207.9,119.80000000000001,211.22426470588235,131.4889705882353
2025-01-01 04:00:00.000,04:00,207.5,130.1,222.05882352941177,127.3529411764706
2025-01-01 05:00:00.000,05:00,219.2,126.8,269.7647058823529,149.35294117647058
2025-01-01 06:00:00.000,06:00,266.2,146.4,293,149.7058823529412
2025-01-01 07:00:00.000,07:00,292.8,151.8,501.0772058823529,298.5367647058824
2025-01-01 08:00:00.000,08:00,463.20000000000005,274.4,626.6875,354.4632352941177
2025-01-01 09:00:00.000,09:00,624.2,354.20000000000005,621.8235294117646,350.82352941176464
2025-01-01 10:00:00.000,10:00,623.8,351.79999999999995,628.5294117647059,367.5882352941177
2025-01-01 11:00:00.000,11:00,629,366.8,627.2352941176471,367.88235294117646
2025-01-01 12:00:00.000,12:00,630,369.8,633.7242647058823,381.18014705882354
2025-01-01 13:00:00.000,13:00,630,378.2,634.0404411764706,376.40808823529414
2025-01-01 14:00:00.000,14:00,633,376.6,625.7058823529412,363.52941176470586
2025-01-01 15:00:00.000,15:00,628.8,364.59999999999997,624.9411764705882,366
2025-01-01 16:00:00.000,16:00,626.4,366,622.6470588235294,369
2025-01-01 17:00:00.000,17:00,625,371.4,629.1029411764706,372.375
2025-01-01 18:00:00.000,18:00,626.8,369,628.4264705882352,373.625
2025-01-01 19:00:00.000,19:00,625,372.59999999999997,623.6470588235293,371.7647058823529
2025-01-01 20:00:00.000,20:00,626,372.19999999999993,550.4117647058824,346.47058823529414
2025-01-01 21:00:00.000,21:00,586,361.2,230.94117647058823,239.29411764705884
2025-01-01 22:00:00.000,22:00,237.79999999999998,232,227.94852941176472,314.72058823529414
2025-01-01 23:00:00.000,23:00,228.8,318.2,226.81617647058823,304.5735294117647
2025-01-02 00:00:00.000,00:00,223.63636363636363,300.3636363636364,223,301.1764705882353
2025-01-02 01:00:00.000,01:00,225.66363636363639,302.6363636363636,226,311
2025-01-02 02:00:00.000,02:00,226.89999999999998,312.7,230.1764705882353,309.8235294117647
2025-01-02 03:00:00.000,03:00,231,312,228.44485294117646,313.5514705882353
2025-01-02 04:00:00.000,04:00,225.4,308.1,241.67279411764707,319.8602941176471
2025-01-02 05:00:00.000,05:00,236.8,317.59999999999997,244.76470588235293,334.4117647058824
2025-01-02 06:00:00.000,06:00,248.39999999999998,331.6,277.88235294117646,335.52941176470586
2025-01-02 07:00:00.000,07:00,274.2,338,544.9411764705883,382.2941176470588
2025-01-02 08:00:00.000,08:00,511.2,376.8,628.6139705882354,408.40441176470586
2025-01-02 09:00:00.000,09:00,624.2,407.59999999999997,636.0919117647059,396.3602941176471
2025-01-02 10:00:00.000,10:00,632.6,396.6,630.8235294117648,403.70588235294116
2025-01-02 11:00:00.000,11:00,634,400.6,637.0588235294117,416.2941176470589
2025-01-02 12:00:00.000,12:00,639.6,418.4,636,416.94117647058823
2025-01-02 13:00:00.000,13:00,637.1999999999999,418.2,636.0257352941177,414.07352941176475
2025-01-02 14:00:00.000,14:00,634.6,411.8,638.2683823529412,410.69117647058823
2025-01-02 15:00:00.000,15:00,634.6,410.6,633.6470588235295,408.2352941176471
2025-01-02 16:00:00.000,16:00,637.2,409.59999999999997,630.7058823529412,412.7647058823529
2025-01-02 17:00:00.000,17:00,631.1999999999999,412,631.4117647058824,408.4117647058824
2025-01-02 18:00:00.000,18:00,634,411.4,632.8419117647059,409.0845588235294
2025-01-02 19:00:00.000,19:00,631,407.79999999999995,632.0404411764706,407.3272058823529
2025-01-02 20:00:00.000,20:00,629.8,406.6,589.2941176470588,401.88235294117646
2025-01-02 21:00:00.000,21:00,624.4,403.4,245.8235294117647,323.29411764705884
2025-01-02 22:00:00.000,22:00,257.2,335.6,210.05882352941177,291.29411764705884
2025-01-02 23:00:00.000,23:00,212.2,294,210.09558823529412,297.3272058823529
2025-01-03 00:00:00.000,00:00,207.72727272727272,292.54545454545456,207.43382352941177,289.37867647058823
2025-01-03 01:00:00.000,01:00,206.87272727272727,290.6545454545454,205.29411764705884,288
2025-01-03 02:00:00.000,02:00,206,288.90000000000003,211.76470588235296,296.6470588235294
2025-01-03 03:00:00.000,03:00,213.9,299.9,206.47058823529412,287.70588235294116
2025-01-03 04:00:00.000,04:00,204.5,284.4,215.72426470588238,296.0808823529412
2025-01-03 05:00:00.000,05:00,213,291.6,255.33455882352942,300.2720588235294
2025-01-03 06:00:00.000,06:00,252.2,301.2,247.5294117647059,311.88235294117646
2025-01-03 07:00:00.000,07:00,243.20000000000002,310.40000000000003,538.1764705882352,365.5882352941177
2025-01-03 08:00:00.000,08:00,504,359.6,625.1764705882352,388.47058823529414
2025-01-03 09:00:00.000,09:00,626,390.6,632.3455882352941,387.5992647058823
2025-01-03 10:00:00.000,10:00,630.6,385.4,638.6544117647059,396.75367647058823
2025-01-03 11:00:00.000,11:00,634,393.2,634.3529411764706,408.7058823529412
2025-01-03 12:00:00.000,12:00,639,410,633.1764705882354,407.88235294117646
2025-01-03 13:00:00.000,13:00,635,408.8,634.3529411764706,402.9411764705883
2025-01-03 14:00:00.000,14:00,635.2,406.2,637.0257352941177,403.09191176470586
2025-01-03 15:00:00.000,15:00,635,399.20000000000005,637.0919117647059,401.8492647058824
2025-01-03 16:00:00.000,16:00,633.8,401,629.0588235294118,395.2352941176471
2025-01-03 17:00:00.000,17:00,632.4,395.2,631.4705882352941,401.82352941176475
2025-01-03 18:00:00.000,18:00,632.8,404.2,627.529411764706,396.05882352941177
2025-01-03 19:00:00.000,19:00,630.2,398.8,628.7242647058823,413.03308823529414
2025-01-03 20:00:00.000,20:00,626,409.59999999999997,573.2169117647059,401.37867647058823
2025-01-03 21:00:00.000,21:00,602.4,403,257.52941176470586,313.29411764705884
2025-01-03 22:00:00.000,22:00,266.59999999999997,322.4,253.64705882352942,300.05882352941177
2025-01-03 23:00:00.000,23:00,256.6,303.2,250.1764705882353,297.82352941176475
2025-01-04 00:00:00.000,00:00,248.1818181818182,295.45454545454544,250.93014705882354,301.56985294117646
2025-01-04 01:00:00.000,01:00,250.71818181818182,301.54545454545456,255.54044117647058,300.4889705882353
2025-01-04 02:00:00.000,02:00,253.89999999999998,299,253.94117647058823,303.29411764705884
2025-01-04 03:00:00.000,03:00,257.8,307,255.76470588235293,296.4705882352941
2025-01-04 04:00:00.000,04:00,252,293.2,261.4117647058823,302.11764705882354
2025-01-04 05:00:00.000,05:00,260.2,302.8,294.77941176470586,307.56617647058823
2025-01-04 06:00:00.000,06:00,291,303.6,308.75,320.84558823529414
2025-01-04 07:00:00.000,07:00,304,321,558,313.88235294117646
2025-01-04 08:00:00.000,08:00,528.8,311.79999999999995,628.7058823529412,317.3529411764706
2025-01-04 09:00:00.000,09:00,628.5999999999999,321,627.8823529411766,315.1764705882353
2025-01-04 10:00:00.000,10:00,631.1999999999999,316.20000000000005,636.8492647058823,332.55514705882354
2025-01-04 11:00:00.000,11:00,634.3999999999999,328.2,639.0919117647059,350.68014705882354
2025-01-04 12:00:00.000,12:00,635.4000000000001,349.2,632.5882352941177,346.2941176470588
2025-01-04 13:00:00.000,13:00,635.8,346.8,633.6470588235294,353.82352941176475
2025-01-04 14:00:00.000,14:00,635.2,355,633.7058823529412,343.17647058823525
2025-01-04 15:00:00.000,15:00,636,345.79999999999995,640.6544117647059,342.1507352941177
2025-01-04 16:00:00.000,16:00,636.8,339.2,645.5808823529412,339.0257352941176
2025-01-04 17:00:00.000,17:00,643,339.2,635.4117647058824,346.35294117647055
2025-01-04 18:00:00.000,18:00,638,345.4,629.2941176470588,348.2352941176471
2025-01-04 19:00:00.000,19:00,631.2,351,623.2352941176471,342.2352941176471
2025-01-04 20:00:00.000,20:00,626.4,344,588.7279411764706,336.9632352941177
