Date,Hour,A10_general TGBT station cosmos [kWh] [A10 - Station Cosmos]
2025-01-01 00:00:00.000,00:00,67
2025-01-01 01:00:00.000,01:00,59
2025-01-01 02:00:00.000,02:00,59
2025-01-01 03:00:00.000,03:00,48.5
2025-01-01 04:00:00.000,04:00,42.1
2025-01-01 05:00:00.000,05:00,55.800000000000004
2025-01-01 06:00:00.000,06:00,68.5
2025-01-01 07:00:00.000,07:00,81.8
2025-01-01 08:00:00.000,08:00,96.4
2025-01-01 09:00:00.000,09:00,94.10000000000001
2025-01-01 10:00:00.000,10:00,110.8
2025-01-01 11:00:00.000,11:00,98
2025-01-01 12:00:00.000,12:00,107
2025-01-01 13:00:00.000,13:00,118.3
2025-01-01 14:00:00.000,14:00,119.30000000000001
2025-01-01 15:00:00.000,15:00,114.30000000000001
2025-01-01 16:00:00.000,16:00,107.30000000000001
2025-01-01 17:00:00.000,17:00,78
2025-01-01 18:00:00.000,18:00,95.6
2025-01-01 19:00:00.000,19:00,109.9
2025-01-01 20:00:00.000,20:00,120.00000000000001
2025-01-01 21:00:00.000,21:00,115.19999999999999
2025-01-01 22:00:00.000,22:00,105.9
2025-01-01 23:00:00.000,23:00,98.2
2025-01-02 00:00:00.000,00:00,56
2025-01-02 01:00:00.000,01:00,57
2025-01-02 02:00:00.000,02:00,50
2025-01-02 03:00:00.000,03:00,41.2
2025-01-02 04:00:00.000,04:00,38
2025-01-02 05:00:00.000,05:00,55.7
2025-01-02 06:00:00.000,06:00,48.7
2025-01-02 07:00:00.000,07:00,82.2
2025-01-02 08:00:00.000,08:00,102.2
2025-01-02 09:00:00.000,09:00,95.1
2025-01-02 10:00:00.000,10:00,102.80000000000001
2025-01-02 11:00:00.000,11:00,93.19999999999999
2025-01-02 12:00:00.000,12:00,104.80000000000001
2025-01-02 13:00:00.000,13:00,102.9
2025-01-02 14:00:00.000,14:00,107
2025-01-02 15:00:00.000,15:00,111.4
2025-01-02 16:00:00.000,16:00,99.2
2025-01-02 17:00:00.000,17:00,82.9
2025-01-02 18:00:00.000,18:00,85.10000000000001
2025-01-02 19:00:00.000,19:00,106.5
2025-01-02 20:00:00.000,20:00,113
2025-01-02 21:00:00.000,21:00,111
2025-01-02 22:00:00.000,22:00,114.1
2025-01-02 23:00:00.000,23:00,90
2025-01-03 00:00:00.000,00:00,60
2025-01-03 01:00:00.000,01:00,56
2025-01-03 02:00:00.000,02:00,54
2025-01-03 03:00:00.000,03:00,44.2
2025-01-03 04:00:00.000,04:00,39
2025-01-03 05:00:00.000,05:00,48.599999999999994
2025-01-03 06:00:00.000,06:00,56.7
2025-01-03 07:00:00.000,07:00,85.8
2025-01-03 08:00:00.000,08:00,96.80000000000001
2025-01-03 09:00:00.000,09:00,99
2025-01-03 10:00:00.000,10:00,115.80000000000001
2025-01-03 11:00:00.000,11:00,110.2
2025-01-03 12:00:00.000,12:00,97
2025-01-03 13:00:00.000,13:00,115.7
2025-01-03 14:00:00.000,14:00,116
2025-01-03 15:00:00.000,15:00,117
2025-01-03 16:00:00.000,16:00,103.3
2025-01-03 17:00:00.000,17:00,102.10000000000001
2025-01-03 18:00:00.000,18:00,87.1
2025-01-03 19:00:00.000,19:00,103.6
2025-01-03 20:00:00.000,20:00,102.19999999999999
2025-01-03 21:00:00.000,21:00,99.10000000000001
2025-01-03 22:00:00.000,22:00,101.8
2025-01-03 23:00:00.000,23:00,97
2025-01-04 00:00:00.000,00:00,56
