Date,Hour,D15_ELEC_General_TGBT [kWh] [D15- Danse avec les robots]
2025-01-01 00:00:00.000,00:00,9.8
2025-01-01 01:00:00.000,01:00,10
2025-01-01 02:00:00.000,02:00,10
2025-01-01 03:00:00.000,03:00,10
2025-01-01 04:00:00.000,04:00,12
2025-01-01 05:00:00.000,05:00,12
2025-01-01 06:00:00.000,06:00,13
2025-01-01 07:00:00.000,07:00,12
2025-01-01 08:00:00.000,08:00,24
2025-01-01 09:00:00.000,09:00,36
2025-01-01 10:00:00.000,10:00,41
2025-01-01 11:00:00.000,11:00,40.8
2025-01-01 12:00:00.000,12:00,39.199999999999996
2025-01-01 13:00:00.000,13:00,41.800000000000004
2025-01-01 14:00:00.000,14:00,43
2025-01-01 15:00:00.000,15:00,42.62222222222222
2025-01-01 16:00:00.000,16:00,41.67777777777778
2025-01-01 17:00:00.000,17:00,41
2025-01-01 18:00:00.000,18:00,41.300000000000004
2025-01-01 19:00:00.000,19:00,41.699999999999996
2025-01-01 20:00:00.000,20:00,39.300000000000004
2025-01-01 21:00:00.000,21:00,29.2
2025-01-01 22:00:00.000,22:00,14
2025-01-01 23:00:00.000,23:00,12.6
2025-01-02 00:00:00.000,00:00,10.818181818181818
2025-01-02 01:00:00.000,01:00,10.981818181818182
2025-01-02 02:00:00.000,02:00,12
2025-01-02 03:00:00.000,03:00,11
2025-01-02 04:00:00.000,04:00,11
2025-01-02 05:00:00.000,05:00,11
2025-01-02 06:00:00.000,06:00,12
2025-01-02 07:00:00.000,07:00,14
2025-01-02 08:00:00.000,08:00,27.2
2025-01-02 09:00:00.000,09:00,38.6
2025-01-02 10:00:00.000,10:00,40.199999999999996
2025-01-02 11:00:00.000,11:00,39.8
2025-01-02 12:00:00.000,12:00,40
2025-01-02 13:00:00.000,13:00,40
2025-01-02 14:00:00.000,14:00,41.3
2025-01-02 15:00:00.000,15:00,42
2025-01-02 16:00:00.000,16:00,43
2025-01-02 17:00:00.000,17:00,42
2025-01-02 18:00:00.000,18:00,41
2025-01-02 19:00:00.000,19:00,42
2025-01-02 20:00:00.000,20:00,40.300000000000004
2025-01-02 21:00:00.000,21:00,34.6
2025-01-02 22:00:00.000,22:00,14.6
2025-01-02 23:00:00.000,23:00,10.6
2025-01-03 00:00:00.000,00:00,9.8
2025-01-03 01:00:00.000,01:00,10
2025-01-03 02:00:00.000,02:00,9.1
2025-01-03 03:00:00.000,03:00,9.9
2025-01-03 04:00:00.000,04:00,9.1
2025-01-03 05:00:00.000,05:00,10.9
2025-01-03 06:00:00.000,06:00,13
2025-01-03 07:00:00.000,07:00,14
2025-01-03 08:00:00.000,08:00,25.2
2025-01-03 09:00:00.000,09:00,38.6
2025-01-03 10:00:00.000,10:00,42.199999999999996
2025-01-03 11:00:00.000,11:00,43.8
2025-01-03 12:00:00.000,12:00,40
2025-01-03 13:00:00.000,13:00,39
2025-01-03 14:00:00.000,14:00,38.3
2025-01-03 15:00:00.000,15:00,39.300000000000004
2025-01-03 16:00:00.000,16:00,40
2025-01-03 17:00:00.000,17:00,39.699999999999996
2025-01-03 18:00:00.000,18:00,39.300000000000004
2025-01-03 19:00:00.000,19:00,41.699999999999996
2025-01-03 20:00:00.000,20:00,40
2025-01-03 21:00:00.000,21:00,34.9
2025-01-03 22:00:00.000,22:00,11.899999999999999
2025-01-03 23:00:00.000,23:00,9.3
2025-01-04 00:00:00.000,00:00,9.9
2025-01-04 01:00:00.000,01:00,9
2025-01-04 02:00:00.000,02:00,9.9
2025-01-04 03:00:00.000,03:00,9.1
2025-01-04 04:00:00.000,04:00,10.9
2025-01-04 05:00:00.000,05:00,13
2025-01-04 06:00:00.000,06:00,12
2025-01-04 07:00:00.000,07:00,12
2025-01-04 08:00:00.000,08:00,28.2
2025-01-04 09:00:00.000,09:00,38.6
2025-01-04 10:00:00.000,10:00,42
2025-01-04 11:00:00.000,11:00,41
2025-01-04 12:00:00.000,12:00,43
2025-01-04 13:00:00.000,13:00,43
2025-01-04 14:00:00.000,14:00,42
2025-01-04 15:00:00.000,15:00,41.84444444444444
2025-01-04 16:00:00.000,16:00,41.455555555555556
2025-01-04 17:00:00.000,17:00,41
2025-01-04 18:00:00.000,18:00,41
2025-01-04 19:00:00.000,19:00,40
2025-01-04 20:00:00.000,20:00,38.300000000000004
2025-01-04 21:00:00.000,21:00,13.5
2025-01-04 22:00:00.000,22:00,9.700000000000001
2025-01-04 23:00:00.000,23:00,9.6
2025-01-05 00:00:00.000,00:00,8.9
2025-01-05 01:00:00.000,01:00,9
2025-01-05 02:00:00.000,02:00,9
2025-01-05 03:00:00.000,03:00,9
2025-01-05 04:00:00.000,04:00,10.9
2025-01-05 05:00:00.000,05:00,11.1
2025-01-05 06:00:00.000,06:00,12.899999999999999
2025-01-05 07:00:00.000,07:00,11
2025-01-05 08:00:00.000,08:00,28.2
2025-01-05 09:00:00.000,09:00,32.8
2025-01-05 10:00:00.000,10:00,35.8
2025-01-05 11:00:00.000,11:00,37.199999999999996
2025-01-05 12:00:00.000,12:00,34.2
2025-01-05 13:00:00.000,13:00,34
2025-01-05 14:00:00.000,14:00,33.8
2025-01-05 15:00:00.000,15:00,36
2025-01-05 16:00:00.000,16:00,34
2025-01-05 17:00:00.000,17:00,27.654545454545453
2025-01-05 18:00:00.000,18:00,8.345454545454544
2025-01-05 19:00:00.000,19:00,7
2025-01-05 20:00:00.000,20:00,7
2025-01-05 21:00:00.000,21:00,7
2025-01-05 22:00:00.000,22:00,7
2025-01-05 23:00:00.000,23:00,7.2
2025-01-06 00:00:00.000,00:00,7
2025-01-06 01:00:00.000,01:00,6.9
2025-01-06 02:00:00.000,02:00,6
2025-01-06 03:00:00.000,03:00,7
2025-01-06 04:00:00.000,04:00,7
2025-01-06 05:00:00.000,05:00,7
2025-01-06 06:00:00.000,06:00,7
2025-01-06 07:00:00.000,07:00,7
2025-01-06 08:00:00.000,08:00,7.8999999999999995
2025-01-06 09:00:00.000,09:00,1.2
2025-01-06 10:00:00.000,10:00,0
2025-01-06 11:00:00.000,11:00,3.8
2025-01-06 12:00:00.000,12:00,10.8
2025-01-06 13:00:00.000,13:00,11
2025-01-06 14:00:00.000,14:00,11
2025-01-06 15:00:00.000,15:00,11
2025-01-06 16:00:00.000,16:00,11.200000000000001
2025-01-06 17:00:00.000,17:00,11.799999999999999
2025-01-06 18:00:00.000,18:00,11
2025-01-06 19:00:00.000,19:00,11
2025-01-06 20:00:00.000,20:00,9
2025-01-06 21:00:00.000,21:00,9
2025-01-06 22:00:00.000,22:00,8.200000000000001
2025-01-06 23:00:00.000,23:00,9.2
2025-01-07 00:00:00.000,00:00,7.9
2025-01-07 01:00:00.000,01:00,8
2025-01-07 02:00:00.000,02:00,8.9
2025-01-07 03:00:00.000,03:00,8.1
2025-01-07 04:00:00.000,04:00,8
2025-01-07 05:00:00.000,05:00,8.9
2025-01-07 06:00:00.000,06:00,8.1
2025-01-07 07:00:00.000,07:00,8.9
2025-01-07 08:00:00.000,08:00,10
2025-01-07 09:00:00.000,09:00,10.799999999999999
2025-01-07 10:00:00.000,10:00,11.2
2025-01-07 11:00:00.000,11:00,11.799999999999999
2025-01-07 12:00:00.000,12:00,12
2025-01-07 13:00:00.000,13:00,11
2025-01-07 14:00:00.000,14:00,12
2025-01-07 15:00:00.000,15:00,12
2025-01-07 16:00:00.000,16:00,12
2025-01-07 17:00:00.000,17:00,12
2025-01-07 18:00:00.000,18:00,11
2025-01-07 19:00:00.000,19:00,10.200000000000001
2025-01-07 20:00:00.000,20:00,9
2025-01-07 21:00:00.000,21:00,9.8
2025-01-07 22:00:00.000,22:00,8.955555555555556
2025-01-07 23:00:00.000,23:00,9.222222222222221
2025-01-08 00:00:00.000,00:00,9.022222222222222
2025-01-08 01:00:00.000,01:00,8.1
2025-01-08 02:00:00.000,02:00,9
2025-01-08 03:00:00.000,03:00,8.9
2025-01-08 04:00:00.000,04:00,9
2025-01-08 05:00:00.000,05:00,9
2025-01-08 06:00:00.000,06:00,8.100000000000001
2025-01-08 07:00:00.000,07:00,7.8999999999999995
2025-01-08 08:00:00.000,08:00,10
2025-01-08 09:00:00.000,09:00,10.799999999999999
2025-01-08 10:00:00.000,10:00,11
2025-01-08 11:00:00.000,11:00,11
2025-01-08 12:00:00.000,12:00,10.8
2025-01-08 13:00:00.000,13:00,11
2025-01-08 14:00:00.000,14:00,11.872727272727273
2025-01-08 15:00:00.000,15:00,10.927272727272726
2025-01-08 16:00:00.000,16:00,12
2025-01-08 17:00:00.000,17:00,8.399999999999999
2025-01-08 18:00:00.000,18:00,7
2025-01-08 19:00:00.000,19:00,6.955555555555556
2025-01-08 20:00:00.000,20:00,6.808080808080808
2025-01-08 21:00:00.000,21:00,6.636363636363636
2025-01-08 22:00:00.000,22:00,7.111111111111111
