Date,Hour,F12_ELEC_General TGBT [kWh] [F12 - Gyrotour]
2025-01-01 00:00:00.000,00:00,47.2
2025-01-01 01:00:00.000,01:00,46
2025-01-01 02:00:00.000,02:00,43.10000000000001
2025-01-01 03:00:00.000,03:00,43
2025-01-01 04:00:00.000,04:00,44
2025-01-01 05:00:00.000,05:00,45
2025-01-01 06:00:00.000,06:00,44.1
2025-01-01 07:00:00.000,07:00,45.2
2025-01-01 08:00:00.000,08:00,44.8
2025-01-01 09:00:00.000,09:00,45.2
2025-01-01 10:00:00.000,10:00,46.2
2025-01-01 11:00:00.000,11:00,119
2025-01-01 12:00:00.000,12:00,92.2
2025-01-01 13:00:00.000,13:00,89.8
2025-01-01 14:00:00.000,14:00,76
2025-01-01 15:00:00.000,15:00,89.10000000000001
2025-01-01 16:00:00.000,16:00,92.3
2025-01-01 17:00:00.000,17:00,112
2025-01-01 18:00:00.000,18:00,119.8
2025-01-01 19:00:00.000,19:00,119.3
2025-01-01 20:00:00.000,20:00,63
2025-01-01 21:00:00.000,21:00,53
2025-01-01 22:00:00.000,22:00,51.300000000000004
2025-01-01 23:00:00.000,23:00,50.525
2025-01-02 00:00:00.000,00:00,41.075
2025-01-02 01:00:00.000,01:00,44
2025-01-02 02:00:00.000,02:00,43.10000000000001
2025-01-02 03:00:00.000,03:00,42.900000000000006
2025-01-02 04:00:00.000,04:00,43.1
2025-01-02 05:00:00.000,05:00,43
2025-01-02 06:00:00.000,06:00,40.5
2025-01-02 07:00:00.000,07:00,42.800000000000004
2025-01-02 08:00:00.000,08:00,43
2025-01-02 09:00:00.000,09:00,43
2025-01-02 10:00:00.000,10:00,40
2025-01-02 11:00:00.000,11:00,69.4
2025-01-02 12:00:00.000,12:00,51.55555555555556
2025-01-02 13:00:00.000,13:00,80.64444444444445
2025-01-02 14:00:00.000,14:00,67.5
2025-01-02 15:00:00.000,15:00,72.39999999999999
2025-01-02 16:00:00.000,16:00,82.69999999999999
2025-01-02 17:00:00.000,17:00,112.5
2025-01-02 18:00:00.000,18:00,120
2025-01-02 19:00:00.000,19:00,122
2025-01-02 20:00:00.000,20:00,63.7
2025-01-02 21:00:00.000,21:00,51.6
2025-01-02 22:00:00.000,22:00,51.699999999999996
2025-01-02 23:00:00.000,23:00,51.825
2025-01-03 00:00:00.000,00:00,42.17500000000001
2025-01-03 01:00:00.000,01:00,42
2025-01-03 02:00:00.000,02:00,43.9
2025-01-03 03:00:00.000,03:00,44.099999999999994
2025-01-03 04:00:00.000,04:00,43.900000000000006
2025-01-03 05:00:00.000,05:00,42.527272727272724
2025-01-03 06:00:00.000,06:00,44
2025-01-03 07:00:00.000,07:00,44.67272727272727
2025-01-03 08:00:00.000,08:00,46
2025-01-03 09:00:00.000,09:00,45.2
2025-01-03 10:00:00.000,10:00,57.4
2025-01-03 11:00:00.000,11:00,108.4
2025-01-03 12:00:00.000,12:00,104.96363636363635
2025-01-03 13:00:00.000,13:00,100.83636363636364
2025-01-03 14:00:00.000,14:00,101.7
2025-01-03 15:00:00.000,15:00,110.3
2025-01-03 16:00:00.000,16:00,104.7
2025-01-03 17:00:00.000,17:00,117.39999999999999
2025-01-03 18:00:00.000,18:00,116.7
2025-01-03 19:00:00.000,19:00,107.6
2025-01-03 20:00:00.000,20:00,39.6
2025-01-03 21:00:00.000,21:00,39.699999999999996
2025-01-03 22:00:00.000,22:00,39.300000000000004
2025-01-03 23:00:00.000,23:00,39.175
2025-01-04 00:00:00.000,00:00,29.125
2025-01-04 01:00:00.000,01:00,29
2025-01-04 02:00:00.000,02:00,28
2025-01-04 03:00:00.000,03:00,29.1
2025-01-04 04:00:00.000,04:00,28.9
2025-01-04 05:00:00.000,05:00,29
2025-01-04 06:00:00.000,06:00,28.944444444444443
2025-01-04 07:00:00.000,07:00,37.15555555555555
2025-01-04 08:00:00.000,08:00,37.4
2025-01-04 09:00:00.000,09:00,38.8
2025-01-04 10:00:00.000,10:00,47.400000000000006
2025-01-04 11:00:00.000,11:00,70
2025-01-04 12:00:00.000,12:00,113.8
2025-01-04 13:00:00.000,13:00,97.5
2025-01-04 14:00:00.000,14:00,87.7
2025-01-04 15:00:00.000,15:00,91.3
2025-01-04 16:00:00.000,16:00,87
2025-01-04 17:00:00.000,17:00,87.3
2025-01-04 18:00:00.000,18:00,90
2025-01-04 19:00:00.000,19:00,65
2025-01-04 20:00:00.000,20:00,18.3
2025-01-04 21:00:00.000,21:00,19
2025-01-04 22:00:00.000,22:00,18
2025-01-04 23:00:00.000,23:00,18.9
2025-01-05 00:00:00.000,00:00,6.9
2025-01-05 01:00:00.000,01:00,6
2025-01-05 02:00:00.000,02:00,7
2025-01-05 03:00:00.000,03:00,6
2025-01-05 04:00:00.000,04:00,7
2025-01-05 05:00:00.000,05:00,6
2025-01-05 06:00:00.000,06:00,6.8999999999999995
2025-01-05 07:00:00.000,07:00,17.599999999999998
2025-01-05 08:00:00.000,08:00,18
2025-01-05 09:00:00.000,09:00,18
2025-01-05 10:00:00.000,10:00,45.2
2025-01-05 11:00:00.000,11:00,93.80000000000001
2025-01-05 12:00:00.000,12:00,84.8
2025-01-05 13:00:00.000,13:00,87.6
2025-01-05 14:00:00.000,14:00,91.8
2025-01-05 15:00:00.000,15:00,88.60000000000001
2025-01-05 16:00:00.000,16:00,86.5
2025-01-05 17:00:00.000,17:00,31.1
2025-01-05 18:00:00.000,18:00,19
