Date,Hour,F13_ELEC_General TGBT [kWh] [F13 - Comptoir du monde]
2025-01-01 00:00:00.000,00:00,19.806824999993115
2025-01-01 01:00:00.000,01:00,19.307000000012337
2025-01-01 02:00:00.000,02:00,20.82940000000235
2025-01-01 03:00:00.000,03:00,19.862100000001373
2025-01-01 04:00:00.000,04:00,13.694799999980022
2025-01-01 05:00:00.000,05:00,16.562681818200243
2025-01-01 06:00:00.000,06:00,18.3052181818205
2025-01-01 07:00:00.000,07:00,15.64000000000233
2025-01-01 08:00:00.000,08:00,33.30979999997653
2025-01-01 09:00:00.000,09:00,39.7064000000013
2025-01-01 10:00:00.000,10:00,50.210800000012384
2025-01-01 11:00:00.000,11:00,59.20719999998692
2025-01-01 12:00:00.000,12:00,88.78040000000618
2025-01-01 13:00:00.000,13:00,95.4936000000016
2025-01-01 14:00:00.000,14:00,101.78489999999583
2025-01-01 15:00:00.000,15:00,83.63350000001955
2025-01-01 16:00:00.000,16:00,62.94609999997774
2025-01-01 17:00:00.000,17:00,58.077500000002324
2025-01-01 18:00:00.000,18:00,69.17220000000962
2025-01-01 19:00:00.000,19:00,70.90729999999749
2025-01-01 20:00:00.000,20:00,70.87069999999368
2025-01-01 21:00:00.000,21:00,60.543000000013855
2025-01-01 22:00:00.000,22:00,40.22100000000209
2025-01-01 23:00:00.000,23:00,18.627324999993288
2025-01-02 00:00:00.000,00:00,21.901674999998797
2025-01-02 01:00:00.000,01:00,21.244999999998253
2025-01-02 02:00:00.000,02:00,19.730199999999606
2025-01-02 03:00:00.000,03:00,17.348499999995692
2025-01-02 04:00:00.000,04:00,16.979600000017673
2025-01-02 05:00:00.000,05:00,16.276199999981326
2025-01-02 06:00:00.000,06:00,13.632700000010665
2025-01-02 07:00:00.000,07:00,14.363000000000467
2025-01-02 08:00:00.000,08:00,40.19920000000275
2025-01-02 09:00:00.000,09:00,43.42700000000187
2025-01-02 10:00:00.000,10:00,51.67659999999451
2025-01-02 11:00:00.000,11:00,61.89319999999716
2025-01-02 12:00:00.000,12:00,87.83588888888157
2025-01-02 13:00:00.000,13:00,93.86881111111175
2025-01-02 14:00:00.000,14:00,101.14789999999921
2025-01-02 15:00:00.000,15:00,83.50869999999705
2025-01-02 16:00:00.000,16:00,60.959100000004405
2025-01-02 17:00:00.000,17:00,54.3432000000088
2025-01-02 18:00:00.000,18:00,71.96329999999143
2025-01-02 19:00:00.000,19:00,84.81089999999968
2025-01-02 20:00:00.000,20:00,74.04650000001129
2025-01-02 21:00:00.000,21:00,57.90359999999055
2025-01-02 22:00:00.000,22:00,40.71810000001278
2025-01-02 23:00:00.000,23:00,20.197624999986147
2025-01-03 00:00:00.000,00:00,21.519875000003957
2025-01-03 01:00:00.000,01:00,20.597800000006103
2025-01-03 02:00:00.000,02:00,20.220799999995506
2025-01-03 03:00:00.000,03:00,18.78860000000277
2025-01-03 04:00:00.000,04:00,18.008299999992598
2025-01-03 05:00:00.000,05:00,14.558636363628533
2025-01-03 06:00:00.000,06:00,17.700763636369743
2025-01-03 07:00:00.000,07:00,16.03439999999828
2025-01-03 08:00:00.000,08:00,30.54400000000023
2025-01-03 09:00:00.000,09:00,57.54440000000177
2025-01-03 10:00:00.000,10:00,43.91860000000452
2025-01-03 11:00:00.000,11:00,59.325999999995105
