Date,Hour,G03_ELEC_General TGBT Imagic [kWh] [G03 - Imagic]
2025-01-01 00:00:00.000,00:00,8.15
2025-01-01 01:00:00.000,01:00,9
2025-01-01 02:00:00.000,02:00,10.9
2025-01-01 03:00:00.000,03:00,11
2025-01-01 04:00:00.000,04:00,11
2025-01-01 05:00:00.000,05:00,11.799999999999999
2025-01-01 06:00:00.000,06:00,12
2025-01-01 07:00:00.000,07:00,12
2025-01-01 08:00:00.000,08:00,13
2025-01-01 09:00:00.000,09:00,19.599999999999998
2025-01-01 10:00:00.000,10:00,44
2025-01-01 11:00:00.000,11:00,50
2025-01-01 12:00:00.000,12:00,45.4
2025-01-01 13:00:00.000,13:00,44.699999999999996
2025-01-01 14:00:00.000,14:00,49.300000000000004
2025-01-01 15:00:00.000,15:00,49.699999999999996
2025-01-01 16:00:00.000,16:00,42.5
2025-01-01 17:00:00.000,17:00,24
2025-01-01 18:00:00.000,18:00,20.3
2025-01-01 19:00:00.000,19:00,10.3
2025-01-01 20:00:00.000,20:00,10
2025-01-01 21:00:00.000,21:00,9.299999999999999
2025-01-01 22:00:00.000,22:00,9.700000000000001
2025-01-01 23:00:00.000,23:00,9.475
2025-01-02 00:00:00.000,00:00,9.025
2025-01-02 01:00:00.000,01:00,8
2025-01-02 02:00:00.000,02:00,9
2025-01-02 03:00:00.000,03:00,8.9
2025-01-02 04:00:00.000,04:00,9
2025-01-02 05:00:00.000,05:00,8.088888888888889
2025-01-02 06:00:00.000,06:00,10.71111111111111
2025-01-02 07:00:00.000,07:00,10
2025-01-02 08:00:00.000,08:00,13.600000000000001
2025-01-02 09:00:00.000,09:00,19
2025-01-02 10:00:00.000,10:00,42.199999999999996
2025-01-02 11:00:00.000,11:00,50
2025-01-02 12:00:00.000,12:00,42.800000000000004
2025-01-02 13:00:00.000,13:00,39.1
2025-01-02 14:00:00.000,14:00,50
2025-01-02 15:00:00.000,15:00,48.300000000000004
2025-01-02 16:00:00.000,16:00,40.199999999999996
2025-01-02 17:00:00.000,17:00,22.7
2025-01-02 18:00:00.000,18:00,22.6
2025-01-02 19:00:00.000,19:00,13.3
2025-01-02 20:00:00.000,20:00,13
2025-01-02 21:00:00.000,21:00,12
2025-01-02 22:00:00.000,22:00,11
2025-01-02 23:00:00.000,23:00,10.475
2025-01-03 00:00:00.000,00:00,10.925
2025-01-03 01:00:00.000,01:00,10
2025-01-03 02:00:00.000,02:00,10
2025-01-03 03:00:00.000,03:00,10
2025-01-03 04:00:00.000,04:00,10.1
2025-01-03 05:00:00.000,05:00,10.736363636363636
2025-01-03 06:00:00.000,06:00,10.963636363636363
2025-01-03 07:00:00.000,07:00,13
2025-01-03 08:00:00.000,08:00,16.6
2025-01-03 09:00:00.000,09:00,22
2025-01-03 10:00:00.000,10:00,43
