Date,Hour,G06_ELEC_General TGBT [kWh] [G06 - Bât. admin. 3]
2025-01-01 00:00:00.000,00:00,1.139374999987922
2025-01-01 01:00:00.000,01:00,1.1389999999926659
2025-01-01 02:00:00.000,02:00,0.9673000000155298
2025-01-01 03:00:00.000,03:00,1.0655999999988126
2025-01-01 04:00:00.000,04:00,1.0109000000025845
2025-01-01 05:00:00.000,05:00,0.9233999999909429
2025-01-01 06:00:00.000,06:00,1.0603999999933875
2025-01-01 07:00:00.000,07:00,0.9223999999987427
2025-01-01 08:00:00.000,08:00,1.0872000000148545
2025-01-01 09:00:00.000,09:00,0.9994000000006054
2025-01-01 10:00:00.000,10:00,0.9961999999999533
2025-01-01 11:00:00.000,11:00,1.0469999999855644
2025-01-01 12:00:00.000,12:00,1.226799999998184
2025-01-01 13:00:00.000,13:00,0.9994999999995343
2025-01-01 14:00:00.000,14:00,1.1428000000218161
2025-01-01 15:00:00.000,15:00,1.2348999999958323
2025-01-01 16:00:00.000,16:00,1.2394999999844003
2025-01-01 17:00:00.000,17:00,1.3158000000024914
2025-01-01 18:00:00.000,18:00,1.1260000000009314
2025-01-01 19:00:00.000,19:00,1.2501999999978581
2025-01-01 20:00:00.000,20:00,1.1716000000044005
2025-01-01 21:00:00.000,21:00,0.981300000011106
2025-01-01 22:00:00.000,22:00,1.1636999999958788
2025-01-01 23:00:00.000,23:00,1.0109750000046915
2025-01-02 00:00:00.000,00:00,1.2154250000035973
2025-01-02 01:00:00.000,01:00,1.0771999999764375
2025-01-02 02:00:00.000,02:00,1.0467000000207918
2025-01-02 03:00:00.000,03:00,1.05539999998
2025-01-02 04:00:00.000,04:00,1.0858000000211179
2025-01-02 05:00:00.000,05:00,1.0211999999970431
2025-01-02 06:00:00.000,06:00,1.0610000000044237
2025-01-02 07:00:00.000,07:00,1.0505999999935738
2025-01-02 08:00:00.000,08:00,1.0571999999869148
2025-01-02 09:00:00.000,09:00,1.1912000000127592
2025-01-02 10:00:00.000,10:00,1.4871999999973922
2025-01-02 11:00:00.000,11:00,1.4512000000046101
2025-01-02 12:00:00.000,12:00,1.2015000000043075
2025-01-02 13:00:00.000,13:00,1.0322999999771127
2025-01-02 14:00:00.000,14:00,1.2622000000032132
2025-01-02 15:00:00.000,15:00,1.0436000000074273
2025-01-02 16:00:00.000,16:00,1.1695000000006985
2025-01-02 17:00:00.000,17:00,1.1264000000024679
2025-01-02 18:00:00.000,18:00,1.0793000000034225
2025-01-02 19:00:00.000,19:00,1.142199999996228
2025-01-02 20:00:00.000,20:00,1.1093000000022586
