Date,Hour,H08_ELEC_General TGBT [kWh] [H08 - Quai gourmand]
2025-01-01 00:00:00.000,00:00,27.14199999968987
2025-01-01 01:00:00.000,01:00,20.62800000049174
2025-01-01 02:00:00.000,02:00,17.700999999325724
2025-01-01 03:00:00.000,03:00,20.28199999984354
2025-01-01 04:00:00.000,04:00,20.985333334023338
2025-01-01 05:00:00.000,05:00,18.24866666679995
2025-01-01 06:00:00.000,06:00,24.603999999910595
2025-01-01 07:00:00.000,07:00,96.43399999979883
2025-01-01 08:00:00.000,08:00,96.48799999970942
2025-01-01 09:00:00.000,09:00,141.90600000042468
2025-01-01 10:00:00.000,10:00,139.30799999982116
2025-01-01 11:00:00.000,11:00,159.9080000001937
2025-01-01 12:00:00.000,12:00,181.73499999977648
2025-01-01 13:00:00.000,13:00,201.02000000029804
2025-01-01 14:00:00.000,14:00,212.26099999975412
2025-01-01 15:00:00.000,15:00,178.22399999974297
2025-01-01 16:00:00.000,16:00,157.21799999987707
2025-01-01 17:00:00.000,17:00,151.33800000036135
2025-01-01 18:00:00.000,18:00,167.35699999956412
2025-01-01 19:00:00.000,19:00,188.0120000006631
2025-01-01 20:00:00.000,20:00,170.2109999993816
2025-01-01 21:00:00.000,21:00,71.71000000061467
2025-01-01 22:00:00.000,22:00,38.54699999950826
2025-01-01 23:00:00.000,23:00,39.148249999736436
2025-01-02 00:00:00.000,00:00,29.943750000349247
2025-01-02 01:00:00.000,01:00,18.543999999947847
2025-01-02 02:00:00.000,02:00,16.522000000160187
2025-01-02 03:00:00.000,03:00,20.106000000052152
2025-01-02 04:00:00.000,04:00,18.9002727273259
2025-01-02 05:00:00.000,05:00,16.04672727283429
2025-01-02 06:00:00.000,06:00,28.798000000044702
2025-01-02 07:00:00.000,07:00,94.94600000008941
2025-01-02 08:00:00.000,08:00,100.84199999924749
2025-01-02 09:00:00.000,09:00,184.1120000001043
2025-01-02 10:00:00.000,10:00,145.8040000004694
2025-01-02 11:00:00.000,11:00,161.44000000003723
2025-01-02 12:00:00.000,12:00,198.09599999962376
2025-01-02 13:00:00.000,13:00,214.10000000009313
2025-01-02 14:00:00.000,14:00,214.08799999980255
2025-01-02 15:00:00.000,15:00,196.77299999995157
2025-01-02 16:00:00.000,16:00,184.82300000051038
2025-01-02 17:00:00.000,17:00,166.0869999995455
2025-01-02 18:00:00.000,18:00,152.31300000054762
2025-01-02 19:00:00.000,19:00,173.0409999997355
