Date,Hour,M05_ELEC_General TGBT [kWh] [M05 - Hôtel 4]
2025-01-01 00:00:00.000,00:00,7.527050000007148
2025-01-01 01:00:00.000,01:00,7.14939999995986
2025-01-01 02:00:00.000,02:00,6.726400000031572
2025-01-01 03:00:00.000,03:00,6.764899999991758
2025-01-01 04:00:00.000,04:00,7.269399999990128
2025-01-01 05:00:00.000,05:00,7.406399999989662
2025-01-01 06:00:00.000,06:00,7.386200000019745
2025-01-01 07:00:00.000,07:00,7.903399999986868
2025-01-01 08:00:00.000,08:00,9.107600000023377
2025-01-01 09:00:00.000,09:00,9.289600000006613
2025-01-01 10:00:00.000,10:00,8.42339999997057
2025-01-01 11:00:00.000,11:00,6.9284000000334345
2025-01-01 12:00:00.000,12:00,6.575799999968148
2025-01-01 13:00:00.000,13:00,6.999299999995856
2025-01-01 14:00:00.000,14:00,7.029300000012154
2025-01-01 15:00:00.000,15:00,7.465700000000652
2025-01-01 16:00:00.000,16:00,7.309100000013132
2025-01-01 17:00:00.000,17:00,9.067799999995623
2025-01-01 18:00:00.000,18:00,8.864999999967404
2025-01-01 19:00:00.000,19:00,8.163900000025752
2025-01-01 20:00:00.000,20:00,8.55920000000042
2025-01-01 21:00:00.000,21:00,9.594599999999627
2025-01-01 22:00:00.000,22:00,8.963699999981328
2025-01-01 23:00:00.000,23:00,8.295950000031734
2025-01-02 00:00:00.000,00:00,6.560350000005565
2025-01-02 01:00:00.000,01:00,6.252599999995436
2025-01-02 02:00:00.000,02:00,6.055999999964843
2025-01-02 03:00:00.000,03:00,6.01180000003078
2025-01-02 04:00:00.000,04:00,6.568499999993946
2025-01-02 05:00:00.000,05:00,6.7258000000030735
2025-01-02 06:00:00.000,06:00,6.635599999991245
2025-01-02 07:00:00.000,07:00,7.298199999995996
2025-01-02 08:00:00.000,08:00,10.187000000011174
2025-01-02 09:00:00.000,09:00,10.41779999998398
2025-01-02 10:00:00.000,10:00,10.254200000013224
2025-01-02 11:00:00.000,11:00,8.362399999983609
2025-01-02 12:00:00.000,12:00,9.423500000010245
2025-01-02 13:00:00.000,13:00,9.889499999990221
2025-01-02 14:00:00.000,14:00,10.643500000005588
2025-01-02 15:00:00.000,15:00,10.847399999998743
2025-01-02 16:00:00.000,16:00,10.216699999989942
2025-01-02 17:00:00.000,17:00,9.723799999995391
2025-01-02 18:00:00.000,18:00,9.442900000041117
2025-01-02 19:00:00.000,19:00,9.146199999994133
2025-01-02 20:00:00.000,20:00,9.546699999977136
2025-01-02 21:00:00.000,21:00,9.842499999998836
2025-01-02 22:00:00.000,22:00,11.458900000009452
2025-01-02 23:00:00.000,23:00,9.109899999985647
2025-01-03 00:00:00.000,00:00,7.224400000013702
2025-01-03 01:00:00.000,01:00,7.064100000000326
2025-01-03 02:00:00.000,02:00,6.807299999980023
2025-01-03 03:00:00.000,03:00,6.903000000014435
2025-01-03 04:00:00.000,04:00,7.408699999994132
2025-01-03 05:00:00.000,05:00,7.557999999995809
2025-01-03 06:00:00.000,06:00,7.451600000017788
2025-01-03 07:00:00.000,07:00,8.280400000012014
2025-01-03 08:00:00.000,08:00,10.026799999980721
2025-01-03 09:00:00.000,09:00,9.506799999985379
2025-01-03 10:00:00.000,10:00,9.16880000004312
2025-01-03 11:00:00.000,11:00,8.3585999999661
2025-01-03 12:00:00.000,12:00,7.9519000000262166
2025-01-03 13:00:00.000,13:00,7.308899999957067
2025-01-03 14:00:00.000,14:00,8.422700000053737
2025-01-03 15:00:00.000,15:00,8.319399999966846
2025-01-03 16:00:00.000,16:00,7.997600000008243
2025-01-03 17:00:00.000,17:00,8.211299999983748
2025-01-03 18:00:00.000,18:00,9.04100000000908
2025-01-03 19:00:00.000,19:00,8.306900000019231
2025-01-03 20:00:00.000,20:00,8.408900000003632
2025-01-03 21:00:00.000,21:00,9.881499999994412
2025-01-03 22:00:00.000,22:00,9.868700000003447
2025-01-03 23:00:00.000,23:00,7.703949999964971
2025-01-04 00:00:00.000,00:00,6.321549999994749
2025-01-04 01:00:00.000,01:00,6.027800000045682
2025-01-04 02:00:00.000,02:00,5.9420999999798365
2025-01-04 03:00:00.000,03:00,5.9629000000248205
2025-01-04 04:00:00.000,04:00,6.533099999959813
2025-01-04 05:00:00.000,05:00,6.687400000030175
2025-01-04 06:00:00.000,06:00,6.633799999975599
2025-01-04 07:00:00.000,07:00,7.206199999991805
2025-01-04 08:00:00.000,08:00,8.913800000003539
2025-01-04 09:00:00.000,09:00,8.021400000015275
2025-01-04 10:00:00.000,10:00,7.692599999986124
2025-01-04 11:00:00.000,11:00,7.157822222253566
2025-01-04 12:00:00.000,12:00,7.512377777768739
2025-01-04 13:00:00.000,13:00,7.461499999993248
2025-01-04 14:00:00.000,14:00,7.858899999974528
2025-01-04 15:00:00.000,15:00,7.603100000025006
2025-01-04 16:00:00.000,16:00,7.201000000000931
2025-01-04 17:00:00.000,17:00,8.408599999995204
2025-01-04 18:00:00.000,18:00,8.932400000019697
2025-01-04 19:00:00.000,19:00,8.146999999968102
2025-01-04 20:00:00.000,20:00,8.017600000015227
2025-01-04 21:00:00.000,21:00,8.190800000017044
2025-01-04 22:00:00.000,22:00,9.721899999969173
2025-01-04 23:00:00.000,23:00,8.90972499999043
2025-01-05 00:00:00.000,00:00,7.132175000026473
2025-01-05 01:00:00.000,01:00,6.015200000000187
2025-01-05 02:00:00.000,02:00,5.759899999987102
2025-01-05 03:00:00.000,03:00,5.767499999998837
2025-01-05 04:00:00.000,04:00,6.371900000009918
2025-01-05 05:00:00.000,05:00,6.4941999999922695
2025-01-05 06:00:00.000,06:00,6.510000000032597
2025-01-05 07:00:00.000,07:00,7.678399999951944
2025-01-05 08:00:00.000,08:00,8.865400000021328
2025-01-05 09:00:00.000,09:00,8.463800000003538
2025-01-05 10:00:00.000,10:00,7.56820000000298
2025-01-05 11:00:00.000,11:00,6.906311111121128
2025-01-05 12:00:00.000,12:00,6.84168888888283
2025-01-05 13:00:00.000,13:00,6.599099999992177
2025-01-05 14:00:00.000,14:00,6.267099999991478
2025-01-05 15:00:00.000,15:00,6.269200000009732
2025-01-05 16:00:00.000,16:00,6.130799999996088
2025-01-05 17:00:00.000,17:00,7.075700000015786
2025-01-05 18:00:00.000,18:00,6.313199999998324
