id,date,id_attraction,attraction_name,interrompu,ouvert,operation,hour,min,week,day,month,year
10,2024-02-10 00:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,0.00,0.0,0,0,6,10,2,2024
24,2024-02-10 01:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,0.00,0.0,1,0,6,10,2,2024
38,2024-02-10 02:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,0.00,0.0,2,0,6,10,2,2024
52,2024-02-10 03:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,0.00,0.0,3,0,6,10,2,2024
66,2024-02-10 04:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,0.00,0.0,4,0,6,10,2,2024
80,2024-02-10 05:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,0.00,0.0,5,0,6,10,2,2024
94,2024-02-10 06:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,0.00,0.0,6,0,6,10,2,2024
108,2024-02-10 07:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,0.00,0.0,7,0,6,10,2,2024
122,2024-02-10 08:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,0.00,0.0,8,0,6,10,2,2024
136,2024-02-10 09:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,0.25,0.25,9,0,6,10,2,2024
150,2024-02-10 10:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,1.00,1.0,10,0,6,10,2,2024
164,2024-02-10 11:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,1.00,1.0,11,0,6,10,2,2024
178,2024-02-10 12:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,1.00,1.0,12,0,6,10,2,2024
192,2024-02-10 13:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,1.00,1.0,13,0,6,10,2,2024
206,2024-02-10 14:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,1.00,1.0,14,0,6,10,2,2024
220,2024-02-10 15:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,1.00,1.0,15,0,6,10,2,2024
234,2024-02-10 16:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,1.00,1.0,16,0,6,10,2,2024
248,2024-02-10 17:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,1.00,1.0,17,0,6,10,2,2024
262,2024-02-10 18:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,1.00,1.0,18,0,6,10,2,2024
276,2024-02-10 19:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,1.00,1.0,19,0,6,10,2,2024
290,2024-02-10 20:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,0.55,0.55,20,0,6,10,2,2024
304,2024-02-10 21:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,0.00,0.0,21,0,6,10,2,2024
318,2024-02-10 22:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,0.00,0.0,22,0,6,10,2,2024
332,2024-02-10 23:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,0.00,0.0,23,0,6,10,2,2024
346,2024-02-11 00:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,0.00,0.0,0,0,7,11,2,2024
360,2024-02-11 01:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,0.00,0.0,1,0,7,11,2,2024
374,2024-02-11 02:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,0.00,0.0,2,0,7,11,2,2024
388,2024-02-11 03:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,0.00,0.0,3,0,7,11,2,2024
402,2024-02-11 04:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,0.00,0.0,4,0,7,11,2,2024
416,2024-02-11 05:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,0.00,0.0,5,0,7,11,2,2024
430,2024-02-11 06:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,0.00,0.0,6,0,7,11,2,2024
444,2024-02-11 07:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,0.00,0.0,7,0,7,11,2,2024
458,2024-02-11 08:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,0.00,0.0,8,0,7,11,2,2024
472,2024-02-11 09:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,0.25,0.25,9,0,7,11,2,2024
486,2024-02-11 10:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,1.00,1.0,10,0,7,11,2,2024
500,2024-02-11 11:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,1.00,1.0,11,0,7,11,2,2024
1015,2024-02-11 12:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,1.00,1.0,12,0,7,11,2,2024
1029,2024-02-11 13:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,1.00,1.0,13,0,7,11,2,2024
1043,2024-02-11 14:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,1.00,1.0,14,0,7,11,2,2024
1057,2024-02-11 15:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,1.00,1.0,15,0,7,11,2,2024
1071,2024-02-11 16:00:00.000,H03,L'EXTRAORDINAIRE VOYAGE,0.00,1.00,1.0,16,0,7,11,2,2024
