id,date,id_attraction,attraction_name,interrompu,ouvert,operation,hour,min,week,day,month,year
25187,2024-03-19 13:00:00.000,HYD,HYDRO DYNAMO,0.00,0.25,0.25,13,0,12,19,3,2024
25200,2024-03-19 14:00:00.000,HYD,HYDRO DYNAMO,0.00,0.15,0.15,14,0,12,19,3,2024
25213,2024-03-19 15:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,15,0,12,19,3,2024
25226,2024-03-19 16:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,16,0,12,19,3,2024
25239,2024-03-19 17:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,17,0,12,19,3,2024
25252,2024-03-19 18:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,18,0,12,19,3,2024
25265,2024-03-19 19:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,19,0,12,19,3,2024
25278,2024-03-19 20:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,20,0,12,19,3,2024
25291,2024-03-19 21:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,21,0,12,19,3,2024
25304,2024-03-19 22:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,22,0,12,19,3,2024
25317,2024-03-19 23:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,23,0,12,19,3,2024
25330,2024-03-20 00:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,0,0,12,20,3,2024
25343,2024-03-20 01:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,1,0,12,20,3,2024
25356,2024-03-20 02:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,2,0,12,20,3,2024
25369,2024-03-20 03:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,3,0,12,20,3,2024
25382,2024-03-20 04:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,4,0,12,20,3,2024
25395,2024-03-20 05:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,5,0,12,20,3,2024
25408,2024-03-20 06:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,6,0,12,20,3,2024
25421,2024-03-20 07:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,7,0,12,20,3,2024
25434,2024-03-20 08:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,8,0,12,20,3,2024
25447,2024-03-20 09:00:00.000,HYD,HYDRO DYNAMO,0.00,0.70,0.7,9,0,12,20,3,2024
25460,2024-03-20 10:00:00.000,HYD,HYDRO DYNAMO,0.00,0.25,0.25,10,0,12,20,3,2024
25473,2024-03-20 11:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,11,0,12,20,3,2024
25486,2024-03-20 12:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,12,0,12,20,3,2024
25499,2024-03-20 13:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,13,0,12,20,3,2024
25512,2024-03-20 14:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,14,0,12,20,3,2024
25525,2024-03-20 15:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,15,0,12,20,3,2024
25538,2024-03-20 16:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,16,0,12,20,3,2024
26052,2024-03-20 17:00:00.000,HYD,HYDRO DYNAMO,0.00,0.70,0.7,17,0,12,20,3,2024
26065,2024-03-20 18:00:00.000,HYD,HYDRO DYNAMO,0.00,0.00,0.0,18,0,12,20,3,2024
26078,2024-03-20 19:00:00.000,HYD,HYDRO DYNAMO,0.00,0.00,0.0,19,0,12,20,3,2024
26091,2024-03-20 20:00:00.000,HYD,HYDRO DYNAMO,0.00,0.00,0.0,20,0,12,20,3,2024
26104,2024-03-20 21:00:00.000,HYD,HYDRO DYNAMO,0.00,0.00,0.0,21,0,12,20,3,2024
26117,2024-03-20 22:00:00.000,HYD,HYDRO DYNAMO,0.00,0.00,0.0,22,0,12,20,3,2024
26130,2024-03-20 23:00:00.000,HYD,HYDRO DYNAMO,0.00,0.00,0.0,23,0,12,20,3,2024
26143,2024-03-21 00:00:00.000,HYD,HYDRO DYNAMO,0.00,0.00,0.0,0,0,12,21,3,2024
26156,2024-03-21 01:00:00.000,HYD,HYDRO DYNAMO,0.00,0.00,0.0,1,0,12,21,3,2024
26169,2024-03-21 02:00:00.000,HYD,HYDRO DYNAMO,0.00,0.00,0.0,2,0,12,21,3,2024
26182,2024-03-21 03:00:00.000,HYD,HYDRO DYNAMO,0.00,0.00,0.0,3,0,12,21,3,2024
26195,2024-03-21 04:00:00.000,HYD,HYDRO DYNAMO,0.00,0.00,0.0,4,0,12,21,3,2024
26208,2024-03-21 05:00:00.000,HYD,HYDRO DYNAMO,0.00,0.00,0.0,5,0,12,21,3,2024
26221,2024-03-21 06:00:00.000,HYD,HYDRO DYNAMO,0.00,0.00,0.0,6,0,12,21,3,2024
27439,2024-03-23 16:00:00.000,HYD,HYDRO DYNAMO,0.00,0.00,0.0,16,0,12,23,3,2024
31114,2024-03-29 15:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,15,0,13,29,3,2024
31127,2024-03-29 16:00:00.000,HYD,HYDRO DYNAMO,0.10,0.20,0.1,16,0,13,29,3,2024
31140,2024-03-29 17:00:00.000,HYD,HYDRO DYNAMO,0.00,0.00,0.0,17,0,13,29,3,2024
31153,2024-03-29 18:00:00.000,HYD,HYDRO DYNAMO,0.00,0.00,0.0,18,0,13,29,3,2024
31166,2024-03-29 19:00:00.000,HYD,HYDRO DYNAMO,0.00,0.00,0.0,19,0,13,29,3,2024
31179,2024-03-29 20:00:00.000,HYD,HYDRO DYNAMO,0.00,0.00,0.0,20,0,13,29,3,2024
31192,2024-03-29 21:00:00.000,HYD,HYDRO DYNAMO,0.00,0.00,0.0,21,0,13,29,3,2024
31205,2024-03-29 22:00:00.000,HYD,HYDRO DYNAMO,0.00,0.00,0.0,22,0,13,29,3,2024
31218,2024-03-29 23:00:00.000,HYD,HYDRO DYNAMO,0.00,0.00,0.0,23,0,13,29,3,2024
31231,2024-03-30 00:00:00.000,HYD,HYDRO DYNAMO,0.00,0.00,0.0,0,0,13,30,3,2024
31244,2024-03-30 01:00:00.000,HYD,HYDRO DYNAMO,0.00,0.00,0.0,1,0,13,30,3,2024
31257,2024-03-30 02:00:00.000,HYD,HYDRO DYNAMO,0.00,0.00,0.0,2,0,13,30,3,2024
31270,2024-03-30 03:00:00.000,HYD,HYDRO DYNAMO,0.00,0.00,0.0,3,0,13,30,3,2024
31283,2024-03-30 04:00:00.000,HYD,HYDRO DYNAMO,0.00,0.00,0.0,4,0,13,30,3,2024
31296,2024-03-30 05:00:00.000,HYD,HYDRO DYNAMO,0.00,0.00,0.0,5,0,13,30,3,2024
31309,2024-03-30 06:00:00.000,HYD,HYDRO DYNAMO,0.00,0.00,0.0,6,0,13,30,3,2024
52462,2024-05-03 12:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,12,0,18,3,5,2024
52477,2024-05-03 13:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,13,0,18,3,5,2024
52492,2024-05-03 14:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,14,0,18,3,5,2024
52507,2024-05-03 15:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,15,0,18,3,5,2024
52522,2024-05-03 16:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,16,0,18,3,5,2024
52537,2024-05-03 17:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,17,0,18,3,5,2024
52552,2024-05-03 18:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,18,0,18,3,5,2024
52567,2024-05-03 19:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,19,0,18,3,5,2024
52582,2024-05-03 20:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,20,0,18,3,5,2024
52597,2024-05-03 21:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,21,0,18,3,5,2024
53113,2024-05-03 22:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,22,0,18,3,5,2024
53128,2024-05-03 23:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,23,0,18,3,5,2024
53143,2024-05-04 00:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,0,0,18,4,5,2024
53158,2024-05-04 01:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,1,0,18,4,5,2024
53173,2024-05-04 02:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,2,0,18,4,5,2024
53188,2024-05-04 03:00:00.000,HYD,HYDRO DYNAMO,0.00,1.00,1.0,3,0,18,4,5,2024
