id,date,id_attraction,attraction_name,interrompu,ouvert,operation,hour,min,week,day,month,year
55499,2024-05-08 07:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.00,0.00,0.0,7,0,19,8,5,2024
55514,2024-05-08 08:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.00,0.00,0.0,8,0,19,8,5,2024
55529,2024-05-08 09:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.00,0.00,0.0,9,0,19,8,5,2024
55544,2024-05-08 10:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.00,1.00,1.0,10,0,19,8,5,2024
55559,2024-05-08 11:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.00,1.00,1.0,11,0,19,8,5,2024
55574,2024-05-08 12:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.00,1.00,1.0,12,0,19,8,5,2024
55589,2024-05-08 13:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.00,1.00,1.0,13,0,19,8,5,2024
55604,2024-05-08 14:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.00,1.00,1.0,14,0,19,8,5,2024
56120,2024-05-08 15:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.00,1.00,1.0,15,0,19,8,5,2024
56135,2024-05-08 16:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.00,1.00,1.0,16,0,19,8,5,2024
56150,2024-05-08 17:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.00,1.00,1.0,17,0,19,8,5,2024
56165,2024-05-08 18:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.00,1.00,1.0,18,0,19,8,5,2024
56180,2024-05-08 19:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.00,1.00,1.0,19,0,19,8,5,2024
56195,2024-05-08 20:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.00,0.45,0.45,20,0,19,8,5,2024
56210,2024-05-08 21:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.00,0.00,0.0,21,0,19,8,5,2024
56225,2024-05-08 22:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.00,0.00,0.0,22,0,19,8,5,2024
56240,2024-05-08 23:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.00,0.00,0.0,23,0,19,8,5,2024
56255,2024-05-09 00:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.00,0.00,0.0,0,0,19,9,5,2024
56270,2024-05-09 01:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.00,0.00,0.0,1,0,19,9,5,2024
56285,2024-05-09 02:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.00,0.00,0.0,2,0,19,9,5,2024
56300,2024-05-09 03:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.00,0.00,0.0,3,0,19,9,5,2024
56315,2024-05-09 04:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.00,0.00,0.0,4,0,19,9,5,2024
56330,2024-05-09 05:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.00,0.00,0.0,5,0,19,9,5,2024
56345,2024-05-09 06:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.00,0.00,0.0,6,0,19,9,5,2024
56360,2024-05-09 07:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.00,0.00,0.0,7,0,19,9,5,2024
56375,2024-05-09 08:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.00,0.00,0.0,8,0,19,9,5,2024
56390,2024-05-09 09:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.00,0.00,0.0,9,0,19,9,5,2024
56405,2024-05-09 10:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.00,1.00,1.0,10,0,19,9,5,2024
56420,2024-05-09 11:00:00.000,I02,LE MONDE DE L'INVISIBLE,0.00,1.00,1.0,11,0,19,9,5,2024
