Date,Hour,E04_EC_hors E05 et E06 [kWh] [E04 - Restau Personnel],E04_EC_Resto Perso + E05 + E06 [kWh] [E04 - Restau Personnel]
2025-01-01 00:00:00.000,00:00,50,99
2025-01-01 01:00:00.000,01:00,50,100
2025-01-01 02:00:00.000,02:00,49,99
2025-01-01 03:00:00.000,03:00,50,100
2025-01-01 04:00:00.000,04:00,40,100
2025-01-01 05:00:00.000,05:00,50,100
2025-01-01 06:00:00.000,06:00,50,100
2025-01-01 07:00:00.000,07:00,41,91
2025-01-01 08:00:00.000,08:00,50,99
2025-01-01 09:00:00.000,09:00,38,88
2025-01-01 10:00:00.000,10:00,40,72
2025-01-01 11:00:00.000,11:00,32,70
2025-01-01 12:00:00.000,12:00,38,70
2025-01-01 13:00:00.000,13:00,30,68
2025-01-01 14:00:00.000,14:00,39.272728,68.54545454545455
2025-01-01 15:00:00.000,15:00,31.282828,71.01010101010101
2025-01-01 16:00:00.000,16:00,58.444444999999995,71.44444444444444
2025-01-01 17:00:00.000,17:00,33,70
2025-01-01 18:00:00.000,18:00,44,77
2025-01-01 19:00:00.000,19:00,33,63
2025-01-01 20:00:00.000,20:00,53,80
2025-01-01 21:00:00.000,21:00,30,70
2025-01-01 22:00:00.000,22:00,37.000001,77
2025-01-01 23:00:00.000,23:00,33,76
2025-01-02 00:00:00.000,00:00,49.090908999999996,88.18181818181819
2025-01-02 01:00:00.000,01:00,40.909091000000004,90.81818181818181
2025-01-02 02:00:00.000,02:00,40,100
2025-01-02 03:00:00.000,03:00,49,99
2025-01-02 04:00:00.000,04:00,40,90
2025-01-02 05:00:00.000,05:00,31,91
2025-01-02 06:00:00.000,06:00,49,99
2025-01-02 07:00:00.000,07:00,50,91
2025-01-02 08:00:00.000,08:00,51,89
2025-01-02 09:00:00.000,09:00,30,70
2025-01-02 10:00:00.000,10:00,38,78
2025-01-02 11:00:00.000,11:00,40,80
2025-01-02 12:00:00.000,12:00,42,82
2025-01-02 13:00:00.000,13:00,48,88
2025-01-02 14:00:00.000,14:00,61.999999,101
2025-01-02 15:00:00.000,15:00,40,90
2025-01-02 16:00:00.000,16:00,57,97
2025-01-02 17:00:00.000,17:00,53,93
2025-01-02 18:00:00.000,18:00,47,97
2025-01-02 19:00:00.000,19:00,57,100
2025-01-02 20:00:00.000,20:00,40,90
2025-01-02 21:00:00.000,21:00,43,93
2025-01-02 22:00:00.000,22:00,47,97
2025-01-02 23:00:00.000,23:00,46,96
2025-01-03 00:00:00.000,00:00,39,98
2025-01-03 01:00:00.000,01:00,50,101
2025-01-03 02:00:00.000,02:00,40,99
2025-01-03 03:00:00.000,03:00,50,100
2025-01-03 04:00:00.000,04:00,40,100
2025-01-03 05:00:00.000,05:00,50,100
