Date,Hour,E05_EC_hors E06 Eco nord [kWh] [E05 - Bâtiment Maintenance],E05_EC_Maintenance Dikeos + E06 Eco Nord [kWh] [E05 - Bâtiment Maintenance]
2025-01-01 00:00:00.000,00:00,-51,49
2025-01-01 01:00:00.000,01:00,50,50
2025-01-01 02:00:00.000,02:00,50,50
2025-01-01 03:00:00.000,03:00,-50,50
2025-01-01 04:00:00.000,04:00,60,60
2025-01-01 05:00:00.000,05:00,50,50
2025-01-01 06:00:00.000,06:00,-40,50
2025-01-01 07:00:00.000,07:00,40,50
2025-01-01 08:00:00.000,08:00,49,49
2025-01-01 09:00:00.000,09:00,50,50
2025-01-01 10:00:00.000,10:00,-68,32
2025-01-01 11:00:00.000,11:00,38,38
2025-01-01 12:00:00.000,12:00,32,32
2025-01-01 13:00:00.000,13:00,38,38
2025-01-01 14:00:00.000,14:00,29.272727,29.272727272727273
2025-01-01 15:00:00.000,15:00,39.727273,39.72727272727273
2025-01-01 16:00:00.000,16:00,13,13
2025-01-01 17:00:00.000,17:00,37,37
2025-01-01 18:00:00.000,18:00,33,33
2025-01-01 19:00:00.000,19:00,-70,30
2025-01-01 20:00:00.000,20:00,27,27
2025-01-01 21:00:00.000,21:00,40,40
2025-01-01 22:00:00.000,22:00,40,40
2025-01-01 23:00:00.000,23:00,43,43
2025-01-02 00:00:00.000,00:00,-60.909091000000004,39.09090909090909
2025-01-02 01:00:00.000,01:00,49.909091000000004,49.90909090909091
2025-01-02 02:00:00.000,02:00,60,60
2025-01-02 03:00:00.000,03:00,-50,50
2025-01-02 04:00:00.000,04:00,50,50
2025-01-02 05:00:00.000,05:00,60,60
2025-01-02 06:00:00.000,06:00,50,50
2025-01-02 07:00:00.000,07:00,-59,41
2025-01-02 08:00:00.000,08:00,38,38
2025-01-02 09:00:00.000,09:00,40,40
2025-01-02 10:00:00.000,10:00,-60,40
2025-01-02 11:00:00.000,11:00,40,40
2025-01-02 12:00:00.000,12:00,40,40
2025-01-02 13:00:00.000,13:00,40,40
