Date,Hour,A10_EC_Station COSMOS Primaire échangeur [kWh] [A10 - Station Cosmos]
2025-01-01 00:00:00.000,00:00,140.80000000004657
2025-01-01 01:00:00.000,01:00,143.5
2025-01-01 02:00:00.000,02:00,137.19999999995343
2025-01-01 03:00:00.000,03:00,130.15000000004656
2025-01-01 04:00:00.000,04:00,120.52000000001863
2025-01-01 05:00:00.000,05:00,117.46999999991385
2025-01-01 06:00:00.000,06:00,112.25000000006986
2025-01-01 07:00:00.000,07:00,124.65999999999768
2025-01-01 08:00:00.000,08:00,128.36000000002096
2025-01-01 09:00:00.000,09:00,119.76999999999533
2025-01-01 10:00:00.000,10:00,102.83999999994413
2025-01-01 11:00:00.000,11:00,80.52999999999302
2025-01-01 12:00:00.000,12:00,88.4
2025-01-01 13:00:00.000,13:00,80.00999999999769
2025-01-01 14:00:00.000,14:00,78.94000000004888
2025-01-01 15:00:00.000,15:00,83.15999999997439
2025-01-01 16:00:00.000,16:00,83.28000000002794
2025-01-01 17:00:00.000,17:00,89.53999999997905
2025-01-01 18:00:00.000,18:00,90.13999999997904
2025-01-01 19:00:00.000,19:00,94.59000000001399
2025-01-01 20:00:00.000,20:00,105.44999999999999
2025-01-01 21:00:00.000,21:00,96.96999999998371
2025-01-01 22:00:00.000,22:00,123.45000000000002
2025-01-01 23:00:00.000,23:00,119.01999999999535
2025-01-02 00:00:00.000,00:00,127.40000000002328
2025-01-02 01:00:00.000,01:00,132.30000000004657
2025-01-02 02:00:00.000,02:00,126.69999999995343
2025-01-02 03:00:00.000,03:00,110.57000000001862
2025-01-02 04:00:00.000,04:00,105.55000000002329
2025-01-02 05:00:00.000,05:00,95.73999999997905
2025-01-02 06:00:00.000,06:00,91.50999999996274
2025-01-02 07:00:00.000,07:00,102.65000000005821
2025-01-02 08:00:00.000,08:00,106.19999999997673
2025-01-02 09:00:00.000,09:00,104.28000000000466
2025-01-02 10:00:00.000,10:00,65.59999999995344
2025-01-02 11:00:00.000,11:00,50.570000000018624
2025-01-02 12:00:00.000,12:00,60.2900000000489
2025-01-02 13:00:00.000,13:00,55.669999999913856
2025-01-02 14:00:00.000,14:00,66.24000000003726
2025-01-02 15:00:00.000,15:00,61.13000000000466
2025-01-02 16:00:00.000,16:00,61.0199999999837
2025-01-02 17:00:00.000,17:00,75.82000000004192
2025-01-02 18:00:00.000,18:00,69.27000000001863
2025-01-02 19:00:00.000,19:00,79.49999999997672
2025-01-02 20:00:00.000,20:00,73.46000000002095
2025-01-02 21:00:00.000,21:00,77.42999999995808
2025-01-02 22:00:00.000,22:00,106.0199999999837
2025-01-02 23:00:00.000,23:00,97.67999999996974
2025-01-03 00:00:00.000,00:00,86.60000000009313
2025-01-03 01:00:00.000,01:00,89.69999999995343
2025-01-03 02:00:00.000,02:00,89.80000000004657
2025-01-03 03:00:00.000,03:00,80.37999999993481
2025-01-03 04:00:00.000,04:00,99.17000000004191
2025-01-03 05:00:00.000,05:00,79.91999999996042
2025-01-03 06:00:00.000,06:00,105.8600000000326
2025-01-03 07:00:00.000,07:00,82.38999999994412
2025-01-03 08:00:00.000,08:00,101.59000000003725
2025-01-03 09:00:00.000,09:00,72.28000000002794
2025-01-03 10:00:00.000,10:00,87.38000000001631
2025-01-03 11:00:00.000,11:00,92.95999999999768
2025-01-03 12:00:00.000,12:00,70.35999999996275
2025-01-03 13:00:00.000,13:00,78.73000000001629
2025-01-03 14:00:00.000,14:00,65.93000000002795
2025-01-03 15:00:00.000,15:00,62.52999999996973
2025-01-03 16:00:00.000,16:00,83.13999999996742
2025-01-03 17:00:00.000,17:00,90.45
2025-01-03 18:00:00.000,18:00,110.60000000003492
2025-01-03 19:00:00.000,19:00,117.48000000000467
2025-01-03 20:00:00.000,20:00,116.50999999999767
2025-01-03 21:00:00.000,21:00,116.73999999993248
2025-01-03 22:00:00.000,22:00,137.58000000008616
2025-01-03 23:00:00.000,23:00,149.31999999993712
2025-01-04 00:00:00.000,00:00,133.20000000006985
2025-01-04 01:00:00.000,01:00,127.19999999995343
2025-01-04 02:00:00.000,02:00,132.40000000002328
2025-01-04 03:00:00.000,03:00,113.07000000001862
2025-01-04 04:00:00.000,04:00,117.21999999998371
2025-01-04 05:00:00.000,05:00,129.20999999995112
2025-01-04 06:00:00.000,06:00,120.60000000006985
2025-01-04 07:00:00.000,07:00,122.07999999991152
2025-01-04 08:00:00.000,08:00,127.08000000008616
2025-01-04 09:00:00.000,09:00,109.9599999999744
2025-01-04 10:00:00.000,10:00,108.05000000000001
2025-01-04 11:00:00.000,11:00,105.95999999999766
2025-01-04 12:00:00.000,12:00,110.4
2025-01-04 13:00:00.000,13:00,107.76999999996042
2025-01-04 14:00:00.000,14:00,105.2700000000652
2025-01-04 15:00:00.000,15:00,107.75999999993945
2025-01-04 16:00:00.000,16:00,107.36000000004424
2025-01-04 17:00:00.000,17:00,107.85000000000001
2025-01-04 18:00:00.000,18:00,108.26999999994877
2025-01-04 19:00:00.000,19:00,102.35000000004656
2025-01-04 20:00:00.000,20:00,104.29999999995343
2025-01-04 21:00:00.000,21:00,106.72000000003027
2025-01-04 22:00:00.000,22:00,122.5299999999581
2025-01-04 23:00:00.000,23:00,121.19000000006054
2025-01-05 00:00:00.000,00:00,107.5
2025-01-05 01:00:00.000,01:00,93.40000000002328
2025-01-05 02:00:00.000,02:00,108.79999999993015
2025-01-05 03:00:00.000,03:00,97.57000000006519
2025-01-05 04:00:00.000,04:00,94.29000000000232
2025-01-05 05:00:00.000,05:00,93.50999999993947
2025-01-05 06:00:00.000,06:00,92.13000000003959
2025-01-05 07:00:00.000,07:00,100.61999999999534
2025-01-05 08:00:00.000,08:00,83.81999999993715
2025-01-05 09:00:00.000,09:00,86.36000000009079
2025-01-05 10:00:00.000,10:00,83.97999999999301
2025-01-05 11:00:00.000,11:00,85.30999999996274
2025-01-05 12:00:00.000,12:00,79.65000000003492
2025-01-05 13:00:00.000,13:00,81.21999999998371
2025-01-05 14:00:00.000,14:00,82.24999999994179
2025-01-05 15:00:00.000,15:00,63.520000000018634
2025-01-05 16:00:00.000,16:00,76.5599999999744
