Date,Hour,A13_EC_general_AQUASCOPE [kWh] [A13 - Aquascope]
2025-01-01 00:00:00.000,00:00,188.85714285714286
2025-01-01 01:00:00.000,01:00,188
2025-01-01 02:00:00.000,02:00,190
2025-01-01 03:00:00.000,03:00,172
2025-01-01 04:00:00.000,04:00,168
2025-01-01 05:00:00.000,05:00,170
2025-01-01 06:00:00.000,06:00,197
2025-01-01 07:00:00.000,07:00,180
2025-01-01 08:00:00.000,08:00,227
2025-01-01 09:00:00.000,09:00,287
2025-01-01 10:00:00.000,10:00,246
2025-01-01 11:00:00.000,11:00,224.45454545454544
2025-01-01 12:00:00.000,12:00,212.54545454545456
2025-01-01 13:00:00.000,13:00,216
2025-01-01 14:00:00.000,14:00,210
2025-01-01 15:00:00.000,15:00,220
2025-01-01 16:00:00.000,16:00,212.66666666666666
2025-01-01 17:00:00.000,17:00,240.6060606060606
2025-01-01 18:00:00.000,18:00,214.94949494949495
2025-01-01 19:00:00.000,19:00,207.77777777777777
2025-01-01 20:00:00.000,20:00,228
2025-01-01 21:00:00.000,21:00,223.8181818181818
2025-01-01 22:00:00.000,22:00,200.1818181818182
2025-01-01 23:00:00.000,23:00,185.14285714285714
2025-01-02 00:00:00.000,00:00,209.85714285714286
2025-01-02 01:00:00.000,01:00,215.72727272727272
2025-01-02 02:00:00.000,02:00,219.27272727272728
2025-01-02 03:00:00.000,03:00,220
2025-01-02 04:00:00.000,04:00,192
2025-01-02 05:00:00.000,05:00,200
2025-01-02 06:00:00.000,06:00,207
2025-01-02 07:00:00.000,07:00,207
2025-01-02 08:00:00.000,08:00,257
2025-01-02 09:00:00.000,09:00,263
2025-01-02 10:00:00.000,10:00,260
2025-01-02 11:00:00.000,11:00,266
2025-01-02 12:00:00.000,12:00,250
2025-01-02 13:00:00.000,13:00,266
2025-01-02 14:00:00.000,14:00,297.77777777777777
2025-01-02 15:00:00.000,15:00,282.22222222222223
2025-01-02 16:00:00.000,16:00,277.77777777777777
2025-01-02 17:00:00.000,17:00,287.22222222222223
2025-01-02 18:00:00.000,18:00,300
2025-01-02 19:00:00.000,19:00,305
2025-01-02 20:00:00.000,20:00,297.77777777777777
2025-01-02 21:00:00.000,21:00,312.22222222222223
2025-01-02 22:00:00.000,22:00,241.8181818181818
2025-01-02 23:00:00.000,23:00,203.8961038961039
2025-01-03 00:00:00.000,00:00,181.28571428571428
2025-01-03 01:00:00.000,01:00,131
2025-01-03 02:00:00.000,02:00,116
2025-01-03 03:00:00.000,03:00,112
2025-01-03 04:00:00.000,04:00,140
2025-01-03 05:00:00.000,05:00,82
2025-01-03 06:00:00.000,06:00,109
2025-01-03 07:00:00.000,07:00,124
2025-01-03 08:00:00.000,08:00,217
2025-01-03 09:00:00.000,09:00,247
2025-01-03 10:00:00.000,10:00,283
2025-01-03 11:00:00.000,11:00,283.8181818181818
2025-01-03 12:00:00.000,12:00,268.1818181818182
2025-01-03 13:00:00.000,13:00,284
2025-01-03 14:00:00.000,14:00,282
2025-01-03 15:00:00.000,15:00,271.27272727272725
2025-01-03 16:00:00.000,16:00,272.72727272727275
2025-01-03 17:00:00.000,17:00,287.77777777777777
2025-01-03 18:00:00.000,18:00,282.22222222222223
2025-01-03 19:00:00.000,19:00,280
2025-01-03 20:00:00.000,20:00,281.8181818181818
2025-01-03 21:00:00.000,21:00,283.1818181818182
2025-01-03 22:00:00.000,22:00,223
2025-01-03 23:00:00.000,23:00,179.14285714285714
2025-01-04 00:00:00.000,00:00,149.85714285714286
2025-01-04 01:00:00.000,01:00,129
2025-01-04 02:00:00.000,02:00,94
2025-01-04 03:00:00.000,03:00,96
2025-01-04 04:00:00.000,04:00,128
2025-01-04 05:00:00.000,05:00,130
2025-01-04 06:00:00.000,06:00,167
2025-01-04 07:00:00.000,07:00,160
2025-01-04 08:00:00.000,08:00,190
2025-01-04 09:00:00.000,09:00,237
2025-01-04 10:00:00.000,10:00,250
2025-01-04 11:00:00.000,11:00,248.66666666666666
2025-01-04 12:00:00.000,12:00,257.3333333333333
2025-01-04 13:00:00.000,13:00,270
2025-01-04 14:00:00.000,14:00,266
2025-01-04 15:00:00.000,15:00,274
2025-01-04 16:00:00.000,16:00,276
2025-01-04 17:00:00.000,17:00,270
2025-01-04 18:00:00.000,18:00,260
2025-01-04 19:00:00.000,19:00,265
2025-01-04 20:00:00.000,20:00,269
