Date,Hour,H03_EC_Chaleur [kWh] [H03 - Tapis Magique (Extraordinaire voyage)]
2025-01-01 00:00:00.000,00:00,2.2999999999883585
2025-01-01 01:00:00.000,01:00,0
2025-01-01 02:00:00.000,02:00,0
2025-01-01 03:00:00.000,03:00,9.440000000005238
2025-01-01 04:00:00.000,04:00,3.680000000007567
2025-01-01 05:00:00.000,05:00,3.8299999999871943
2025-01-01 06:00:00.000,06:00,44.970000000015716
2025-01-01 07:00:00.000,07:00,165.670000000007
2025-01-01 08:00:00.000,08:00,149.23999999997903
2025-01-01 09:00:00.000,09:00,133.54000000000525
2025-01-01 10:00:00.000,10:00,117.76999999999535
2025-01-01 11:00:00.000,11:00,105.26000000000349
2025-01-01 12:00:00.000,12:00,91.43000000000467
2025-01-01 13:00:00.000,13:00,59.05999999999185
2025-01-01 14:00:00.000,14:00,22.68000000001921
2025-01-01 15:00:00.000,15:00,22.589999999984865
2025-01-01 16:00:00.000,16:00,31.289999999993597
2025-01-01 17:00:00.000,17:00,31.50454545456662
2025-01-01 18:00:00.000,18:00,31.485454545435708
2025-01-01 19:00:00.000,19:00,32.22000000000698
2025-01-01 20:00:00.000,20:00,32.04000000000815
2025-01-01 21:00:00.000,21:00,30.94000000000233
2025-01-01 22:00:00.000,22:00,34.55999999998021
2025-01-01 23:00:00.000,23:00,41.20000000002328
2025-01-02 00:00:00.000,00:00,0
2025-01-02 01:00:00.000,01:00,0
2025-01-02 02:00:00.000,02:00,0
2025-01-02 03:00:00.000,03:00,0
2025-01-02 04:00:00.000,04:00,0
2025-01-02 05:00:00.000,05:00,0
2025-01-02 06:00:00.000,06:00,35.879999999978466
2025-01-02 07:00:00.000,07:00,117.63000000001921
2025-01-02 08:00:00.000,08:00,102.45
2025-01-02 09:00:00.000,09:00,82.89999999999999
2025-01-02 10:00:00.000,10:00,53.39999999999709
2025-01-02 11:00:00.000,11:00,49.06999999998952
2025-01-02 12:00:00.000,12:00,56.8100000000035
2025-01-02 13:00:00.000,13:00,68.07000000000698
2025-01-02 14:00:00.000,14:00,74.51000000000349
2025-01-02 15:00:00.000,15:00,80.99999999997964
2025-01-02 16:00:00.000,16:00,86.2
2025-01-02 17:00:00.000,17:00,88.30000000001746
2025-01-02 18:00:00.000,18:00,56.31999999999534
2025-01-02 19:00:00.000,19:00,27.25999999998603
2025-01-02 20:00:00.000,20:00,19.14000000001979
2025-01-02 21:00:00.000,21:00,19.479999999987193
2025-01-02 22:00:00.000,22:00,21.5
2025-01-02 23:00:00.000,23:00,25.779999999998836
2025-01-03 00:00:00.000,00:00,0
2025-01-03 01:00:00.000,01:00,0
2025-01-03 02:00:00.000,02:00,0
2025-01-03 03:00:00.000,03:00,0
2025-01-03 04:00:00.000,04:00,0
2025-01-03 05:00:00.000,05:00,0
2025-01-03 06:00:00.000,06:00,28.310000000015137
2025-01-03 07:00:00.000,07:00,136.15999999998022
2025-01-03 08:00:00.000,08:00,142.97000000001572
2025-01-03 09:00:00.000,09:00,132.3799999999901
2025-01-03 10:00:00.000,10:00,126.08999999999361
2025-01-03 11:00:00.000,11:00,108.87000000002153
2025-01-03 12:00:00.000,12:00,65.23999999999943
2025-01-03 13:00:00.000,13:00,32.43454545454032
2025-01-03 14:00:00.000,14:00,20.472727272720395
2025-01-03 15:00:00.000,15:00,25.617171717167366
2025-01-03 16:00:00.000,16:00,30.295555555564352
2025-01-03 17:00:00.000,17:00,44.7
2025-01-03 18:00:00.000,18:00,60.00000000000582
2025-01-03 19:00:00.000,19:00,71.97999999998137
