Date,Hour,G03_EC Imagic + Adm3 [kWh] [G03 - Imagic],G03_EC_Imagic + cyber + adm3 [kWh] [G03 - Imagic]
2025-01-01 00:00:00.000,00:00,60.25,60.25
2025-01-01 01:00:00.000,01:00,60,60
2025-01-01 02:00:00.000,02:00,60,80
2025-01-01 03:00:00.000,03:00,70,70
2025-01-01 04:00:00.000,04:00,60,60
2025-01-01 05:00:00.000,05:00,39,39
2025-01-01 06:00:00.000,06:00,60,60
2025-01-01 07:00:00.000,07:00,50,50
2025-01-01 08:00:00.000,08:00,60,60
2025-01-01 09:00:00.000,09:00,2,80
2025-01-01 10:00:00.000,10:00,10,108
2025-01-01 11:00:00.000,11:00,28,120
2025-01-01 12:00:00.000,12:00,20,110
2025-01-01 13:00:00.000,13:00,22,118
2025-01-01 14:00:00.000,14:00,27,120
2025-01-01 15:00:00.000,15:00,30,110
2025-01-01 16:00:00.000,16:00,30,110
2025-01-01 17:00:00.000,17:00,23,110
2025-01-01 18:00:00.000,18:00,30,120
2025-01-01 19:00:00.000,19:00,40,46
2025-01-01 20:00:00.000,20:00,40,40
2025-01-01 21:00:00.000,21:00,37,37
2025-01-01 22:00:00.000,22:00,50,50
2025-01-01 23:00:00.000,23:00,33,33
2025-01-02 00:00:00.000,00:00,49,49
2025-01-02 01:00:00.000,01:00,60,60
2025-01-02 02:00:00.000,02:00,51,51
2025-01-02 03:00:00.000,03:00,39,39
2025-01-02 04:00:00.000,04:00,50,50
2025-01-02 05:00:00.000,05:00,49.888889,49.888888888888886
2025-01-02 06:00:00.000,06:00,31.111111,31.11111111111111
2025-01-02 07:00:00.000,07:00,40,40
2025-01-02 08:00:00.000,08:00,30,86
2025-01-02 09:00:00.000,09:00,0,90
2025-01-02 10:00:00.000,10:00,10,110
2025-01-02 11:00:00.000,11:00,18,120
2025-01-02 12:00:00.000,12:00,20.444444,128
2025-01-02 13:00:00.000,13:00,31.555556,120
2025-01-02 14:00:00.000,14:00,30,130
2025-01-02 15:00:00.000,15:00,-7,76
2025-01-02 16:00:00.000,16:00,17,97
2025-01-02 17:00:00.000,17:00,20,117
2025-01-02 18:00:00.000,18:00,30,120
2025-01-02 19:00:00.000,19:00,57,63
2025-01-02 20:00:00.000,20:00,40,40
2025-01-02 21:00:00.000,21:00,40,40
2025-01-02 22:00:00.000,22:00,40,40
2025-01-02 23:00:00.000,23:00,41.75,41.75
2025-01-03 00:00:00.000,00:00,40.25,40.25
2025-01-03 01:00:00.000,01:00,31,31
2025-01-03 02:00:00.000,02:00,40,40
2025-01-03 03:00:00.000,03:00,39,39
2025-01-03 04:00:00.000,04:00,31,31
2025-01-03 05:00:00.000,05:00,40,40
2025-01-03 06:00:00.000,06:00,38,38
2025-01-03 07:00:00.000,07:00,30,30
2025-01-03 08:00:00.000,08:00,12,88
2025-01-03 09:00:00.000,09:00,28,120
2025-01-03 10:00:00.000,10:00,10,110
2025-01-03 11:00:00.000,11:00,40,140
2025-01-03 12:00:00.000,12:00,28.727272,128
2025-01-03 13:00:00.000,13:00,36.272727,140
2025-01-03 14:00:00.000,14:00,34,130
2025-01-03 15:00:00.000,15:00,33,120
2025-01-03 16:00:00.000,16:00,47,130
2025-01-03 17:00:00.000,17:00,33,130
2025-01-03 18:00:00.000,18:00,34,127
2025-01-03 19:00:00.000,19:00,33,130
2025-01-03 20:00:00.000,20:00,30,123
2025-01-03 21:00:00.000,21:00,33,137
2025-01-03 22:00:00.000,22:00,47,150
2025-01-03 23:00:00.000,23:00,61.75,156.5
2025-01-04 00:00:00.000,00:00,40.25,140.5
2025-01-04 01:00:00.000,01:00,81,140
2025-01-04 02:00:00.000,02:00,58,149
2025-01-04 03:00:00.000,03:00,40,140
2025-01-04 04:00:00.000,04:00,42,141
2025-01-04 05:00:00.000,05:00,38.181816999999995,128.36363636363637
2025-01-04 06:00:00.000,06:00,39.818182,139.63636363636363
2025-01-04 07:00:00.000,07:00,32,130
2025-01-04 08:00:00.000,08:00,48,140
2025-01-04 09:00:00.000,09:00,40,130
2025-01-04 10:00:00.000,10:00,10,100
2025-01-04 11:00:00.000,11:00,28,118
2025-01-04 12:00:00.000,12:00,31.777778,129.33333333333334
2025-01-04 13:00:00.000,13:00,32.222221,120.66666666666666
2025-01-04 14:00:00.000,14:00,47,130
2025-01-04 15:00:00.000,15:00,37,120
2025-01-04 16:00:00.000,16:00,53,120
2025-01-04 17:00:00.000,17:00,40,120
2025-01-04 18:00:00.000,18:00,43,130
2025-01-04 19:00:00.000,19:00,57,63
2025-01-04 20:00:00.000,20:00,40,40
2025-01-04 21:00:00.000,21:00,50,50
2025-01-04 22:00:00.000,22:00,50,50
2025-01-04 23:00:00.000,23:00,51.75,51.75
2025-01-05 00:00:00.000,00:00,51.25,51.25
2025-01-05 01:00:00.000,01:00,50,50
2025-01-05 02:00:00.000,02:00,49,49
2025-01-05 03:00:00.000,03:00,50,50
2025-01-05 04:00:00.000,04:00,50,50
2025-01-05 05:00:00.000,05:00,50,50
2025-01-05 06:00:00.000,06:00,41,41
2025-01-05 07:00:00.000,07:00,48,48
2025-01-05 08:00:00.000,08:00,42,42
2025-01-05 09:00:00.000,09:00,48,48
2025-01-05 10:00:00.000,10:00,40,40
2025-01-05 11:00:00.000,11:00,40,108
2025-01-05 12:00:00.000,12:00,32,118.54545454545455
2025-01-05 13:00:00.000,13:00,-13,79.45454545454545
2025-01-05 14:00:00.000,14:00,33,130
2025-01-05 15:00:00.000,15:00,40,130
2025-01-05 16:00:00.000,16:00,40,140
2025-01-05 17:00:00.000,17:00,37,130
2025-01-05 18:00:00.000,18:00,40,130
2025-01-05 19:00:00.000,19:00,60,63
2025-01-05 20:00:00.000,20:00,50,50
2025-01-05 21:00:00.000,21:00,50,50
2025-01-05 22:00:00.000,22:00,43,43
2025-01-05 23:00:00.000,23:00,50,50
2025-01-06 00:00:00.000,00:00,49,49
2025-01-06 01:00:00.000,01:00,50,50
2025-01-06 02:00:00.000,02:00,50,50
2025-01-06 03:00:00.000,03:00,41,41
2025-01-06 04:00:00.000,04:00,49,49
2025-01-06 05:00:00.000,05:00,50,50
2025-01-06 06:00:00.000,06:00,49,49
2025-01-06 07:00:00.000,07:00,42,42
2025-01-06 08:00:00.000,08:00,48,48
2025-01-06 09:00:00.000,09:00,22,22
2025-01-06 10:00:00.000,10:00,38,38
2025-01-06 11:00:00.000,11:00,40,40
2025-01-06 12:00:00.000,12:00,40,40
2025-01-06 13:00:00.000,13:00,29,29
2025-01-06 14:00:00.000,14:00,40,40
2025-01-06 15:00:00.000,15:00,40,40
2025-01-06 16:00:00.000,16:00,40,40
2025-01-06 17:00:00.000,17:00,40,40
2025-01-06 18:00:00.000,18:00,40,40
2025-01-06 19:00:00.000,19:00,40,40
2025-01-06 20:00:00.000,20:00,40,40
2025-01-06 21:00:00.000,21:00,33,33
2025-01-06 22:00:00.000,22:00,40,40
2025-01-06 23:00:00.000,23:00,40,40
2025-01-07 00:00:00.000,00:00,40,40
2025-01-07 01:00:00.000,01:00,40,40
2025-01-07 02:00:00.000,02:00,40,40
2025-01-07 03:00:00.000,03:00,40,40
2025-01-07 04:00:00.000,04:00,49,49
2025-01-07 05:00:00.000,05:00,39.181818,39.18181818181818
2025-01-07 06:00:00.000,06:00,31.818182,31.81818181818182
2025-01-07 07:00:00.000,07:00,38,38
2025-01-07 08:00:00.000,08:00,40,40
2025-01-07 09:00:00.000,09:00,32,32
2025-01-07 10:00:00.000,10:00,38,38
2025-01-07 11:00:00.000,11:00,42,42
2025-01-07 12:00:00.000,12:00,50,50
2025-01-07 13:00:00.000,13:00,50,50
2025-01-07 14:00:00.000,14:00,47,47
2025-01-07 15:00:00.000,15:00,23,23
2025-01-07 16:00:00.000,16:00,21.818182,21.81818181818182
2025-01-07 17:00:00.000,17:00,72.18181799999999,72.18181818181819
2025-01-07 18:00:00.000,18:00,53,53
2025-01-07 19:00:00.000,19:00,50,50
2025-01-07 20:00:00.000,20:00,40,40
2025-01-07 21:00:00.000,21:00,60,60
