Date,Hour,D11_EC_MTH [kWh] [D11 - Futur l'expo (MTH)]
2025-01-01 00:00:00.000,00:00,5.899999999995842
2025-01-01 01:00:00.000,01:00,5.730000000010477
2025-01-01 02:00:00.000,02:00,5.669999999989523
2025-01-01 03:00:00.000,03:00,5.5
2025-01-01 04:00:00.000,04:00,5.520000000001164
2025-01-01 05:00:00.000,05:00,5.5
2025-01-01 06:00:00.000,06:00,5.399999999994179
2025-01-01 07:00:00.000,07:00,54.12000000000116
2025-01-01 08:00:00.000,08:00,69.8700000000099
2025-01-01 09:00:00.000,09:00,96.91999999999825
2025-01-01 10:00:00.000,10:00,107.58000000000175
2025-01-01 11:00:00.000,11:00,93.81999999998371
2025-01-01 12:00:00.000,12:00,84.37000000000407
2025-01-01 13:00:00.000,13:00,86.62000000000117
2025-01-01 14:00:00.000,14:00,76.30000000000581
2025-01-01 15:00:00.000,15:00,73.33999999999651
2025-01-01 16:00:00.000,16:00,66.31999999999533
2025-01-01 17:00:00.000,17:00,58
2025-01-01 18:00:00.000,18:00,55.44000000000233
2025-01-01 19:00:00.000,19:00,47.28000000001048
2025-01-01 20:00:00.000,20:00,40.10000000000582
2025-01-01 21:00:00.000,21:00,33.219999999995345
2025-01-01 22:00:00.000,22:00,38.65999999999185
2025-01-01 23:00:00.000,23:00,29.719999999995345
2025-01-02 00:00:00.000,00:00,0.10000000000582077
2025-01-02 01:00:00.000,01:00,0
2025-01-02 02:00:00.000,02:00,0.08000000000465661
2025-01-02 03:00:00.000,03:00,0.020000000001164156
2025-01-02 04:00:00.000,04:00,0
2025-01-02 05:00:00.000,05:00,0
2025-01-02 06:00:00.000,06:00,0.10000000000582077
2025-01-02 07:00:00.000,07:00,22.1199999999837
2025-01-02 08:00:00.000,08:00,51.25000000001455
2025-01-02 09:00:00.000,09:00,65.00999999999185
2025-01-02 10:00:00.000,10:00,65.8200000000099
2025-01-02 11:00:00.000,11:00,41.85999999998894
2025-01-02 12:00:00.000,12:00,32.2399999999936
2025-01-02 13:00:00.000,13:00,26.440000000013967
2025-01-02 14:00:00.000,14:00,16.059999999991852
2025-01-02 15:00:00.000,15:00,10.560000000009314
2025-01-02 16:00:00.000,16:00,8.55999999998603
2025-01-02 17:00:00.000,17:00,9.679999999998836
2025-01-02 18:00:00.000,18:00,20.900000000000002
2025-01-02 19:00:00.000,19:00,22.520000000001165
2025-01-02 20:00:00.000,20:00,19.2
2025-01-02 21:00:00.000,21:00,28.280000000004655
2025-01-02 22:00:00.000,22:00,42.220000000001164
2025-01-02 23:00:00.000,23:00,27.780000000010478
2025-01-03 00:00:00.000,00:00,0
2025-01-03 01:00:00.000,01:00,0
2025-01-03 02:00:00.000,02:00,6.319999999995343
2025-01-03 03:00:00.000,03:00,8.520000000001165
2025-01-03 04:00:00.000,04:00,5.319999999989522
2025-01-03 05:00:00.000,05:00,5.660000000009314
2025-01-03 06:00:00.000,06:00,72.15999999999767
2025-01-03 07:00:00.000,07:00,79.59999999999418
2025-01-03 08:00:00.000,08:00,79.76000000000349
2025-01-03 09:00:00.000,09:00,65.11000000000931
2025-01-03 10:00:00.000,10:00,61.5699999999837
2025-01-03 11:00:00.000,11:00,54.12999999999884
2025-01-03 12:00:00.000,12:00,43.91000000001513
2025-01-03 13:00:00.000,13:00,35.45999999999185
2025-01-03 14:00:00.000,14:00,31.160000000003492
2025-01-03 15:00:00.000,15:00,28.639999999990685
2025-01-03 16:00:00.000,16:00,29.480000000016297
2025-01-03 17:00:00.000,17:00,27.479999999987193
2025-01-03 18:00:00.000,18:00,30.180000000004657
2025-01-03 19:00:00.000,19:00,32.11999999999534
2025-01-03 20:00:00.000,20:00,43.47999999999884
2025-01-03 21:00:00.000,21:00,69.16000000000349
2025-01-03 22:00:00.000,22:00,75.77999999999301
2025-01-03 23:00:00.000,23:00,58.500000000017465
2025-01-04 00:00:00.000,00:00,4.979999999978463
2025-01-04 01:00:00.000,01:00,5.820000000015717
2025-01-04 02:00:00.000,02:00,5.500000000005821
2025-01-04 03:00:00.000,03:00,5.5
2025-01-04 04:00:00.000,04:00,5.439999999990687
2025-01-04 05:00:00.000,05:00,5.600000000005821
2025-01-04 06:00:00.000,06:00,5.679999999987194
2025-01-04 07:00:00.000,07:00,5.419999999995343
2025-01-04 08:00:00.000,08:00,28.889999999999418
2025-01-04 09:00:00.000,09:00,75.64000000000524
2025-01-04 10:00:00.000,10:00,76.17000000000408
2025-01-04 11:00:00.000,11:00,89.95999999999476
2025-01-04 12:00:00.000,12:00,72.66000000001513
2025-01-04 13:00:00.000,13:00,66.85999999999186
2025-01-04 14:00:00.000,14:00,69.9399999999965
2025-01-04 15:00:00.000,15:00,69.32000000000116
2025-01-04 16:00:00.000,16:00,54.52000000000117
2025-01-04 17:00:00.000,17:00,41.15999999999185
2025-01-04 18:00:00.000,18:00,24
2025-01-04 19:00:00.000,19:00,13.04000000001979
2025-01-04 20:00:00.000,20:00,0.4
2025-01-04 21:00:00.000,21:00,0
2025-01-04 22:00:00.000,22:00,0
2025-01-04 23:00:00.000,23:00,0
2025-01-05 00:00:00.000,00:00,0.09999999997671694
2025-01-05 01:00:00.000,01:00,0
2025-01-05 02:00:00.000,02:00,0
2025-01-05 03:00:00.000,03:00,0
2025-01-05 04:00:00.000,04:00,0.10000000000582077
2025-01-05 05:00:00.000,05:00,0
2025-01-05 06:00:00.000,06:00,0
2025-01-05 07:00:00.000,07:00,25.30000000000582
2025-01-05 08:00:00.000,08:00,44.91999999999534
2025-01-05 09:00:00.000,09:00,53.79000000000233
2025-01-05 10:00:00.000,10:00,63.71999999999243
2025-01-05 11:00:00.000,11:00,55.18000000000175
2025-01-05 12:00:00.000,12:00,47.989999999996506
2025-01-05 13:00:00.000,13:00,45.280000000010475
2025-01-05 14:00:00.000,14:00,31.419999999995344
2025-01-05 15:00:00.000,15:00,19.09999999999418
2025-01-05 16:00:00.000,16:00,1.2000000000000002
2025-01-05 17:00:00.000,17:00,0
2025-01-05 18:00:00.000,18:00,0.10000000000582077
2025-01-05 19:00:00.000,19:00,9.900000000017462
2025-01-05 20:00:00.000,20:00,0.5999999999825377
2025-01-05 21:00:00.000,21:00,9.200000000017463
2025-01-05 22:00:00.000,22:00,12.6
2025-01-05 23:00:00.000,23:00,12
2025-01-06 00:00:00.000,00:00,0
2025-01-06 01:00:00.000,01:00,0
2025-01-06 02:00:00.000,02:00,0
2025-01-06 03:00:00.000,03:00,0.09999999997671694
2025-01-06 04:00:00.000,04:00,0
2025-01-06 05:00:00.000,05:00,0
2025-01-06 06:00:00.000,06:00,0
2025-01-06 07:00:00.000,07:00,0
2025-01-06 08:00:00.000,08:00,0
2025-01-06 09:00:00.000,09:00,0.10000000000582077
2025-01-06 10:00:00.000,10:00,0
2025-01-06 11:00:00.000,11:00,0
2025-01-06 12:00:00.000,12:00,0
2025-01-06 13:00:00.000,13:00,0.10000000000582077
2025-01-06 14:00:00.000,14:00,0
2025-01-06 15:00:00.000,15:00,0
2025-01-06 16:00:00.000,16:00,0
2025-01-06 17:00:00.000,17:00,0.10000000000582077
2025-01-06 18:00:00.000,18:00,0
2025-01-06 19:00:00.000,19:00,0
2025-01-06 20:00:00.000,20:00,0.10000000000582077
2025-01-06 21:00:00.000,21:00,0
2025-01-06 22:00:00.000,22:00,0
2025-01-06 23:00:00.000,23:00,0.09999999997671694
2025-01-07 00:00:00.000,00:00,0
2025-01-07 01:00:00.000,01:00,0.20000000001164153
2025-01-07 02:00:00.000,02:00,0
2025-01-07 03:00:00.000,03:00,0.10000000000582077
2025-01-07 04:00:00.000,04:00,0
2025-01-07 05:00:00.000,05:00,0
2025-01-07 06:00:00.000,06:00,0.10000000000582077
2025-01-07 07:00:00.000,07:00,12.719999999995343
2025-01-07 08:00:00.000,08:00,4.2999999999883585
2025-01-07 09:00:00.000,09:00,4.940000000002328
2025-01-07 10:00:00.000,10:00,1.5400000000139697
2025-01-07 11:00:00.000,11:00,0.09999999997671694
2025-01-07 12:00:00.000,12:00,0
2025-01-07 13:00:00.000,13:00,0.10000000000582077
2025-01-07 14:00:00.000,14:00,0
2025-01-07 15:00:00.000,15:00,0
2025-01-07 16:00:00.000,16:00,0.06000000000349246
2025-01-07 17:00:00.000,17:00,0.04000000000232831
2025-01-07 18:00:00.000,18:00,0
2025-01-07 19:00:00.000,19:00,0
2025-01-07 20:00:00.000,20:00,0
2025-01-07 21:00:00.000,21:00,0
2025-01-07 22:00:00.000,22:00,0.10000000000582077
2025-01-07 23:00:00.000,23:00,0
2025-01-08 00:00:00.000,00:00,0.0900000000052387
2025-01-08 01:00:00.000,01:00,0.010000000000582078
2025-01-08 02:00:00.000,02:00,0
2025-01-08 03:00:00.000,03:00,0.09999999997671694
2025-01-08 04:00:00.000,04:00,0
2025-01-08 05:00:00.000,05:00,6.8
2025-01-08 06:00:00.000,06:00,4.0000000000174625
2025-01-08 07:00:00.000,07:00,0
2025-01-08 08:00:00.000,08:00,0.07000000000407454
2025-01-08 09:00:00.000,09:00,0.030000000001746227
2025-01-08 10:00:00.000,10:00,0.09999999997671694
2025-01-08 11:00:00.000,11:00,0
2025-01-08 12:00:00.000,12:00,0
2025-01-08 13:00:00.000,13:00,0
2025-01-08 14:00:00.000,14:00,0
2025-01-08 15:00:00.000,15:00,0.10000000000582077
2025-01-08 16:00:00.000,16:00,0
2025-01-08 17:00:00.000,17:00,0
2025-01-08 18:00:00.000,18:00,0
2025-01-08 19:00:00.000,19:00,0.022222222223515723
2025-01-08 20:00:00.000,20:00,0.07777777778230505
2025-01-08 21:00:00.000,21:00,0
2025-01-08 22:00:00.000,22:00,0
2025-01-08 23:00:00.000,23:00,0.10000000000582077
2025-01-09 00:00:00.000,00:00,0
2025-01-09 01:00:00.000,01:00,0.004166666666909198
2025-01-09 02:00:00.000,02:00,0.09583333333891157
2025-01-09 03:00:00.000,03:00,0
2025-01-09 04:00:00.000,04:00,3.6818181818181817
