Date,Hour,D22_EC_KEPLER [kWh] [D22 - KEPLER / Objectif Mars]
2025-01-01 00:00:00.000,00:00,6.8
2025-01-01 01:00:00.000,01:00,7.1
2025-01-01 02:00:00.000,02:00,7.1
2025-01-01 03:00:00.000,03:00,5.3999999999999995
2025-01-01 04:00:00.000,04:00,53.20000000000001
2025-01-01 05:00:00.000,05:00,60.2
2025-01-01 06:00:00.000,06:00,65
2025-01-01 07:00:00.000,07:00,67.8
2025-01-01 08:00:00.000,08:00,57.8
2025-01-01 09:00:00.000,09:00,51.4
2025-01-01 10:00:00.000,10:00,64.92727272727272
2025-01-01 11:00:00.000,11:00,74.37272727272727
2025-01-01 12:00:00.000,12:00,69.6
2025-01-01 13:00:00.000,13:00,61.6
2025-01-01 14:00:00.000,14:00,58.7
2025-01-01 15:00:00.000,15:00,61.6
2025-01-01 16:00:00.000,16:00,54.8
2025-01-01 17:00:00.000,17:00,60.6
2025-01-01 18:00:00.000,18:00,60
2025-01-01 19:00:00.000,19:00,65.4
2025-01-01 20:00:00.000,20:00,77.80000000000001
2025-01-01 21:00:00.000,21:00,49.6
2025-01-01 22:00:00.000,22:00,2.2
2025-01-01 23:00:00.000,23:00,1.8571428571428572
2025-01-02 00:00:00.000,00:00,2.1428571428571432
2025-01-02 01:00:00.000,01:00,2
2025-01-02 02:00:00.000,02:00,7.800000000000002
2025-01-02 03:00:00.000,03:00,9.8
2025-01-02 04:00:00.000,04:00,7.2
2025-01-02 05:00:00.000,05:00,5.4
2025-01-02 06:00:00.000,06:00,46.6
2025-01-02 07:00:00.000,07:00,62.4
2025-01-02 08:00:00.000,08:00,51.4
2025-01-02 09:00:00.000,09:00,43.8
2025-01-02 10:00:00.000,10:00,50.9
2025-01-02 11:00:00.000,11:00,41.2
2025-01-02 12:00:00.000,12:00,23.6
2025-01-02 13:00:00.000,13:00,22.233333333333334
2025-01-02 14:00:00.000,14:00,31.266666666666666
2025-01-02 15:00:00.000,15:00,35
2025-01-02 16:00:00.000,16:00,36
2025-01-02 17:00:00.000,17:00,32.8
2025-01-02 18:00:00.000,18:00,26
2025-01-02 19:00:00.000,19:00,23.6
2025-01-02 20:00:00.000,20:00,29.6
2025-01-02 21:00:00.000,21:00,37.6
2025-01-02 22:00:00.000,22:00,31.4
2025-01-02 23:00:00.000,23:00,7.4
2025-01-03 00:00:00.000,00:00,5.9
2025-01-03 01:00:00.000,01:00,8
2025-01-03 02:00:00.000,02:00,11
2025-01-03 03:00:00.000,03:00,9.7
2025-01-03 04:00:00.000,04:00,10
2025-01-03 05:00:00.000,05:00,9
2025-01-03 06:00:00.000,06:00,9
2025-01-03 07:00:00.000,07:00,46.4
2025-01-03 08:00:00.000,08:00,53.4
2025-01-03 09:00:00.000,09:00,51.599999999999994
2025-01-03 10:00:00.000,10:00,48.9
2025-01-03 11:00:00.000,11:00,38.6
2025-01-03 12:00:00.000,12:00,28
2025-01-03 13:00:00.000,13:00,26.045454545454547
2025-01-03 14:00:00.000,14:00,26.854545454545452
2025-01-03 15:00:00.000,15:00,28.6
2025-01-03 16:00:00.000,16:00,35.6
2025-01-03 17:00:00.000,17:00,39.6
2025-01-03 18:00:00.000,18:00,40.400000000000006
2025-01-03 19:00:00.000,19:00,48.8
2025-01-03 20:00:00.000,20:00,63.79999999999999
2025-01-03 21:00:00.000,21:00,74.4
2025-01-03 22:00:00.000,22:00,67.2
2025-01-03 23:00:00.000,23:00,51.48571428571429
2025-01-04 00:00:00.000,00:00,47.91428571428571
2025-01-04 01:00:00.000,01:00,52.9
2025-01-04 02:00:00.000,02:00,56
2025-01-04 03:00:00.000,03:00,54.3
2025-01-04 04:00:00.000,04:00,55.8
2025-01-04 05:00:00.000,05:00,55.8
2025-01-04 06:00:00.000,06:00,55.2
2025-01-04 07:00:00.000,07:00,48
2025-01-04 08:00:00.000,08:00,44.4
2025-01-04 09:00:00.000,09:00,49.599999999999994
2025-01-04 10:00:00.000,10:00,55.099999999999994
2025-01-04 11:00:00.000,11:00,50.3
2025-01-04 12:00:00.000,12:00,42.3
2025-01-04 13:00:00.000,13:00,40.3
2025-01-04 14:00:00.000,14:00,38.4
2025-01-04 15:00:00.000,15:00,40
2025-01-04 16:00:00.000,16:00,29.599999999999998
2025-01-04 17:00:00.000,17:00,14
2025-01-04 18:00:00.000,18:00,15.2
2025-01-04 19:00:00.000,19:00,22
2025-01-04 20:00:00.000,20:00,25
2025-01-04 21:00:00.000,21:00,19.8
2025-01-04 22:00:00.000,22:00,38.4
2025-01-04 23:00:00.000,23:00,6.257142857142858
2025-01-05 00:00:00.000,00:00,5.042857142857143
2025-01-05 01:00:00.000,01:00,5.1
2025-01-05 02:00:00.000,02:00,5.9
2025-01-05 03:00:00.000,03:00,10.7
2025-01-05 04:00:00.000,04:00,9
2025-01-05 05:00:00.000,05:00,10
2025-01-05 06:00:00.000,06:00,55.2
2025-01-05 07:00:00.000,07:00,57.2
2025-01-05 08:00:00.000,08:00,63
2025-01-05 09:00:00.000,09:00,45
2025-01-05 10:00:00.000,10:00,24.18181818181818
2025-01-05 11:00:00.000,11:00,22.618181818181817
2025-01-05 12:00:00.000,12:00,23
2025-01-05 13:00:00.000,13:00,22.745454545454546
2025-01-05 14:00:00.000,14:00,18.363636363636363
2025-01-05 15:00:00.000,15:00,21.490909090909092
2025-01-05 16:00:00.000,16:00,26
2025-01-05 17:00:00.000,17:00,24
2025-01-05 18:00:00.000,18:00,20
2025-01-05 19:00:00.000,19:00,28
2025-01-05 20:00:00.000,20:00,26
2025-01-05 21:00:00.000,21:00,24.4
2025-01-05 22:00:00.000,22:00,23.6
2025-01-05 23:00:00.000,23:00,3.6
2025-01-06 00:00:00.000,00:00,4
2025-01-06 01:00:00.000,01:00,4.9
2025-01-06 02:00:00.000,02:00,5
2025-01-06 03:00:00.000,03:00,9.7
2025-01-06 04:00:00.000,04:00,9
2025-01-06 05:00:00.000,05:00,10.2
2025-01-06 06:00:00.000,06:00,9.8
2025-01-06 07:00:00.000,07:00,9.2
2025-01-06 08:00:00.000,08:00,10
2025-01-06 09:00:00.000,09:00,6
2025-01-06 10:00:00.000,10:00,5.927272727272728
2025-01-06 11:00:00.000,11:00,6.972727272727273
