Date,Hour,F13_EC_Comptoir du Monde [kWh] [F13 - Comptoir du monde]
2025-01-01 00:00:00.000,00:00,50.25
2025-01-01 01:00:00.000,01:00,50
2025-01-01 02:00:00.000,02:00,41
2025-01-01 03:00:00.000,03:00,49
2025-01-01 04:00:00.000,04:00,50
2025-01-01 05:00:00.000,05:00,40
2025-01-01 06:00:00.000,06:00,49
2025-01-01 07:00:00.000,07:00,52
2025-01-01 08:00:00.000,08:00,58
2025-01-01 09:00:00.000,09:00,80
2025-01-01 10:00:00.000,10:00,70
2025-01-01 11:00:00.000,11:00,70
2025-01-01 12:00:00.000,12:00,60
2025-01-01 13:00:00.000,13:00,59
2025-01-01 14:00:00.000,14:00,60
2025-01-01 15:00:00.000,15:00,60
2025-01-01 16:00:00.000,16:00,60
2025-01-01 17:00:00.000,17:00,70
2025-01-01 18:00:00.000,18:00,60
2025-01-01 19:00:00.000,19:00,60
2025-01-01 20:00:00.000,20:00,60
2025-01-01 21:00:00.000,21:00,60
2025-01-01 22:00:00.000,22:00,60
2025-01-01 23:00:00.000,23:00,53
2025-01-02 00:00:00.000,00:00,40
2025-01-02 01:00:00.000,01:00,40
2025-01-02 02:00:00.000,02:00,49
2025-01-02 03:00:00.000,03:00,41
2025-01-02 04:00:00.000,04:00,30
2025-01-02 05:00:00.000,05:00,39
2025-01-02 06:00:00.000,06:00,39
2025-01-02 07:00:00.000,07:00,22
2025-01-02 08:00:00.000,08:00,58
2025-01-02 09:00:00.000,09:00,60
2025-01-02 10:00:00.000,10:00,50
2025-01-02 11:00:00.000,11:00,60
2025-01-02 12:00:00.000,12:00,69.77777777777777
2025-01-02 13:00:00.000,13:00,59.22222222222222
2025-01-02 14:00:00.000,14:00,70
2025-01-02 15:00:00.000,15:00,80
2025-01-02 16:00:00.000,16:00,70
2025-01-02 17:00:00.000,17:00,77
2025-01-02 18:00:00.000,18:00,73
2025-01-02 19:00:00.000,19:00,80
2025-01-02 20:00:00.000,20:00,87
2025-01-02 21:00:00.000,21:00,83
2025-01-02 22:00:00.000,22:00,90
2025-01-02 23:00:00.000,23:00,81.75
2025-01-03 00:00:00.000,00:00,50.25
2025-01-03 01:00:00.000,01:00,40
2025-01-03 02:00:00.000,02:00,50
2025-01-03 03:00:00.000,03:00,41
2025-01-03 04:00:00.000,04:00,49
2025-01-03 05:00:00.000,05:00,49.18181818181818
2025-01-03 06:00:00.000,06:00,31.81818181818182
