date,year,month,day,hour,week,is_weekend,is_open,jf,frequentation_park_daily,surface,duree,ouvert,interrompu,operation,visitor_count,temperature,humidite,rayonnement_solaire,day_degree_cold,day_degree_hot,temp_max,temp_min,temp_moy,humidite_max,humidite_min,humidite_moy,freq_HF,freq_MF,freq_THF,elec_1_real,elec_1_pred,elec_1_error_abs,elec_2_real,elec_2_pred,elec_2_error_abs
2026-01-01 00:00:00,2026,1,1,0,1,0,1,1,10600,1300,4.0,0.0,0.0,0.0,0,-2.4,87.774376,0.0,20.4,0.0,1.95,-6.2,-2.7354167,95.94826,58.720703,84.22679,1,0,0,16.95,19.772173515985756,2.8221735159857566,20.075,21.093540694876413,1.018540694876414
2026-01-01 01:00:00,2026,1,1,1,1,0,1,1,10600,1300,4.0,0.0,0.0,0.0,0,-2.95,88.05301,0.0,20.95,0.0,1.95,-6.2,-2.7354167,95.94826,58.720703,84.22679,1,0,0,14.1,19.772173515985756,5.672173515985756,20.9,21.191228869636976,0.2912288696369778
2026-01-01 02:00:00,2026,1,1,2,1,0,1,1,10600,1300,4.0,0.0,0.0,0.0,0,-3.45,88.00604,0.0,21.45,0.0,1.95,-6.2,-2.7354167,95.94826,58.720703,84.22679,1,0,0,13.9,19.338735863399286,5.438735863399286,20.0,21.191228869636976,1.1912288696369764
2026-01-01 03:00:00,2026,1,1,3,1,0,1,1,10600,1300,4.0,0.0,0.0,0.0,0,-3.75,88.3121,0.0,21.75,0.0,1.95,-6.2,-2.7354167,95.94826,58.720703,84.22679,1,0,0,14.0,19.338735863399286,5.338735863399286,20.1,21.191228869636976,1.091228869636975
2026-01-01 04:00:00,2026,1,1,4,1,0,1,1,10600,1300,4.0,0.0,0.0,0.0,0,-4.0,88.289055,0.0,22.0,0.0,1.95,-6.2,-2.7354167,95.94826,58.720703,84.22679,1,0,0,16.0,20.957970084893883,4.9579700848938835,20.0,21.191228869636976,1.1912288696369764
2026-01-01 05:00:00,2026,1,1,5,1,0,1,1,10600,1300,4.0,0.0,0.0,0.0,0,-4.8,88.55297,0.0,22.8,0.0,1.95,-6.2,-2.7354167,95.94826,58.720703,84.22679,1,0,0,15.7,23.136074093346544,7.436074093346544,19.7,21.191228869636976,1.491228869636977
2026-01-01 06:00:00,2026,1,1,6,1,0,1,1,10600,1300,4.0,0.0,0.0,0.0,0,-4.85,86.86869,0.0,22.85,0.0,1.95,-6.2,-2.7354167,95.94826,58.720703,84.22679,1,0,0,23.0,32.2625374615307,9.262537461530698,24.0,22.058869038140514,1.9411309618594856
2026-01-01 07:00:00,2026,1,1,7,1,0,1,1,10600,1300,4.0,0.0,0.0,0.0,0,-5.1,89.8928,0.0,23.1,0.0,1.95,-6.2,-2.7354167,95.94826,58.720703,84.22679,1,0,0,45.0,46.87981095305443,1.879810953054431,22.0,22.63499395089155,0.6349939508915483
2026-01-01 08:00:00,2026,1,1,8,1,0,1,1,10600,1300,4.0,0.0,0.0,0.0,0,-6.2,91.553314,0.0,24.2,0.0,1.95,-6.2,-2.7354167,95.94826,58.720703,84.22679,1,0,0,46.0,47.82552833266839,1.8255283326683909,24.200000000000003,22.694923001818797,1.505076998181206
2026-01-01 09:00:00,2026,1,1,9,1,0,1,1,10600,1300,4.0,0.8,0.0,0.8,231,-6.1,91.56014,1.0,24.1,0.0,1.95,-6.2,-2.7354167,95.94826,58.720703,84.22679,1,0,0,47.0,56.25643411920731,9.256434119207313,36.0,32.58409288831159,3.415907111688412
