date,hour,mode_saison,is_open,operation,visitor_count,temperature,elec_1_pred,statut_cta,consigne_affichee,elec_1_optimise,economie_kwh,conseil_action
2026-01-01 00:00:00,0,hiver,1,0.0,0,-2.4,19.77217351598576,OFF,OFF,21.06,-1.29,[HIVER] CTA OFF: Duy trì công suất nền (Đêm/Đóng cửa)
2026-01-01 01:00:00,1,hiver,1,0.0,0,-2.95,19.77217351598576,OFF,OFF,21.1,-1.33,[HIVER] CTA OFF: Duy trì công suất nền (Đêm/Đóng cửa)
2026-01-01 02:00:00,2,hiver,1,0.0,0,-3.45,19.33873586339929,OFF,OFF,21.14,-1.8,[HIVER] CTA OFF: Duy trì công suất nền (Đêm/Đóng cửa)
2026-01-01 03:00:00,3,hiver,1,0.0,0,-3.75,19.33873586339929,OFF,OFF,21.17,-1.83,[HIVER] CTA OFF: Duy trì công suất nền (Đêm/Đóng cửa)
2026-01-01 04:00:00,4,hiver,1,0.0,0,-4.0,20.957970084893883,OFF,OFF,21.19,-0.23,[HIVER] CTA OFF: Duy trì công suất nền (Đêm/Đóng cửa)
2026-01-01 05:00:00,5,hiver,1,0.0,0,-4.8,23.136074093346544,OFF,OFF,21.25,1.89,[HIVER] CTA OFF: Duy trì công suất nền (Đêm/Đóng cửa)
2026-01-01 06:00:00,6,hiver,1,0.0,0,-4.85,32.2625374615307,OFF,OFF,21.25,11.01,[HIVER] CTA OFF: Duy trì công suất nền (Đêm/Đóng cửa)
2026-01-01 07:00:00,7,hiver,1,0.0,0,-5.1,46.87981095305443,PRE_HEATING,18.5°C,52.52,-5.64,"[HIVER] PRE_HEATING: Tiền điều hòa đón đầu, cài 18.5°C"
2026-01-01 08:00:00,8,hiver,1,0.0,0,-6.2,47.82552833266839,PRE_HEATING,18.5°C,47.62,0.21,"[HIVER] PRE_HEATING: Tiền điều hòa đón đầu, cài 18.5°C"
2026-01-01 09:00:00,9,hiver,1,0.8,231,-6.1,56.25643411920731,ON,18.5°C,47.47,8.79,"[HIVER] CTA ON: Vận hành tối ưu năng lượng, cài 18.5°C"
2026-01-01 10:00:00,10,hiver,1,1.0,518,-4.5,57.07265718067463,ON,18.6°C,51.61,5.46,"[HIVER] CTA ON: Vận hành tối ưu năng lượng, cài 18.6°C"
2026-01-01 11:00:00,11,hiver,1,1.0,597,-2.4,57.539460159129824,ON,18.6°C,52.92,4.62,"[HIVER] CTA ON: Vận hành tối ưu năng lượng, cài 18.6°C"
2026-01-01 12:00:00,12,hiver,1,1.0,661,-0.45,57.88016227940819,ON,18.7°C,54.23,3.65,"[HIVER] CTA ON: Vận hành tối ưu năng lượng, cài 18.7°C"
