Horodatage,Heure,Température extérieure (°C),Statut ouverture,Fréquentation prévue,Consommation EC prédite (kWh),Consommation EC optimisée (kWh),Consigne de température (°C),État CTA,Économie réalisée (kWh),Recommandations opérationnelles
2026-01-01 00:00:00,0,-2.4,1,0,4.812612732285242,5.08,15.0,OFF,-0.27,[HIVER] EC OFF : Maintien hors-gel / Talon calculé (4.44 kWh)
2026-01-01 01:00:00,1,-2.95,1,0,4.2833255376323,5.15,15.0,OFF,-0.87,[HIVER] EC OFF : Maintien hors-gel / Talon calculé (4.44 kWh)
2026-01-01 02:00:00,2,-3.45,1,0,4.453549288616808,5.21,15.0,OFF,-0.76,[HIVER] EC OFF : Maintien hors-gel / Talon calculé (4.44 kWh)
2026-01-01 03:00:00,3,-3.75,1,0,4.715658333332245,5.25,15.0,OFF,-0.53,[HIVER] EC OFF : Maintien hors-gel / Talon calculé (4.44 kWh)
2026-01-01 04:00:00,4,-4.0,1,0,4.807224999999225,5.28,15.0,OFF,-0.47,[HIVER] EC OFF : Maintien hors-gel / Talon calculé (4.44 kWh)
2026-01-01 05:00:00,5,-4.8,1,0,4.790324999998214,5.37,15.0,OFF,-0.58,[HIVER] EC OFF : Maintien hors-gel / Talon calculé (4.44 kWh)
2026-01-01 06:00:00,6,-4.85,1,0,18.528435714288037,5.38,15.0,OFF,13.15,[HIVER] EC OFF : Maintien hors-gel / Talon calculé (4.44 kWh)
2026-01-01 07:00:00,7,-5.1,1,0,58.15787006802747,69.96,16.2,PRE_HEATING,-11.8,"[HIVER] PRE_HEATING : Pré-chauffage d'anticipation, consigne à 16.2°C"
2026-01-01 08:00:00,8,-6.2,1,0,104.34683680052676,123.95,17.4,PRE_HEATING,-19.6,"[HIVER] PRE_HEATING : Pré-chauffage d'anticipation, consigne à 17.4°C"
2026-01-01 09:00:00,9,-6.1,1,231,93.89857380952373,149.42,19.5,ON,-55.52,"[HIVER] EC ON : Chauffage optimisé, consigne à 19.5°C"
2026-01-01 10:00:00,10,-4.5,1,518,49.80276363636383,49.7,19.5,ON,0.1,"[HIVER] EC ON : Chauffage optimisé, consigne à 19.5°C"
2026-01-01 11:00:00,11,-2.4,1,597,24.74473964339675,19.58,19.5,ON,5.16,"[HIVER] EC ON : Chauffage optimisé, consigne à 19.5°C"
2026-01-01 12:00:00,12,-0.45,1,661,13.208029274527057,4.85,19.5,ON,8.36,"[HIVER] EC ON : Chauffage optimisé, consigne à 19.5°C"
2026-01-01 13:00:00,13,0.85,1,513,23.232356231660823,11.96,19.5,ON,11.27,"[HIVER] EC ON : Chauffage optimisé, consigne à 19.5°C"
