Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
GradientBoostingRegressor,0.49798612246866136,0.5045802510713002,30.958897945481336,1.289109706878662
ExtraTreesRegressor,0.45532017543636216,0.46247473623874,32.24766515084298,0.8965282440185547
LGBMRegressor,0.37585758012726533,0.38405591002850625,34.51989621752999,0.2937920093536377
XGBRegressor,0.33323109094453784,0.3419893347528049,35.679215896083015,1.0650739669799805
AdaBoostRegressor,0.2681052762747246,0.2777189705326808,37.38108814287468,0.20971989631652832
Ridge,0.2665642159601662,0.2761981525866174,37.42042181870212,0.16514015197753906
LinearRegression,0.2659658546644076,0.27560765097663975,37.43568311875023,0.019073963165283203
RandomForestRegressor,0.26396549643263234,0.27363356815282047,37.48665746958278,2.514618396759033
ElasticNet,0.1823131455405671,0.1930537495683038,39.51128362533434,0.018578052520751953
Lasso,0.1763940684999501,0.18721242168356012,39.65403302867567,0.023065805435180664
